problem_id,robot,stratum,kappa,method,repeat,theta,dual_updates,box_qp_updates,primal_upper,dual_lower,gap,converged,task_feasible_early,deadline,status,objective,feasible_box_violation,normal_residual,box_minorant_lower,task_squared,total_ns,solve_ns,conversion_ns,actual_verifier_calls,updated,raw_gap
panda_trajectory_30_k1_f85,panda,regular_first_subproblems,1,scalar_early,4,0.5,1,1,,0.11456754644708152,,False,True,False,task_feasible_early,0.11456780396566209,0.0,6.969229938411969e-14,0.11456754644708152,"[5.778613379855215e-07,1.092898499125852e-06]",203455,164203,5436,1,True,
panda_trajectory_30_k1_f106,panda,regular_first_subproblems,1,scalar_early,1,0.5,1,1,,0.1167406462422748,,False,True,False,task_feasible_early,0.11674066892227362,0.0,5.1544966085781526e-14,0.1167406462422748,"[1.421128449577848e-06,1.3757684519074245e-06]",223149,183496,4194,1,True,
panda_trajectory_30_k1_f106,panda,regular_first_subproblems,1,scalar_early,3,0.5,1,1,,0.1167406462422748,,False,True,False,task_feasible_early,0.11674066892227362,0.0,5.1544966085781526e-14,0.1167406462422748,"[1.421128449577848e-06,1.3757684519074245e-06]",206209,168745,3805,1,True,
panda_trajectory_30_k1_f106,panda,regular_first_subproblems,1,scalar_early,4,0.5,1,1,,0.1167406462422748,,False,True,False,task_feasible_early,0.11674066892227362,0.0,5.1544966085781526e-14,0.1167406462422748,"[1.421128449577848e-06,1.3757684519074245e-06]",217130,177871,3975,1,True,
panda_trajectory_30_k1_f106,panda,regular_first_subproblems,1,scalar_early,0,0.5,1,1,,0.1167406462422748,,False,True,False,task_feasible_early,0.11674066892227362,0.0,5.1544966085781526e-14,0.1167406462422748,"[1.421128449577848e-06,1.3757684519074245e-06]",210149,169918,3672,1,True,
panda_trajectory_30_k1_f106,panda,regular_first_subproblems,1,scalar_early,2,0.5,1,1,,0.1167406462422748,,False,True,False,task_feasible_early,0.11674066892227362,0.0,5.1544966085781526e-14,0.1167406462422748,"[1.421128449577848e-06,1.3757684519074245e-06]",200808,163022,3985,1,True,
panda_trajectory_30_k1_f127,panda,regular_first_subproblems,1,scalar_early,1,0.5,1,1,,0.11086123122907397,,False,True,False,task_feasible_early,0.11086142306424641,0.0,4.342221202383654e-14,0.11086123122907397,"[6.225136983943138e-07,2.388433535115013e-07]",204413,164677,3861,1,True,
panda_trajectory_30_k1_f127,panda,regular_first_subproblems,1,scalar_early,2,0.5,1,1,,0.11086123122907397,,False,True,False,task_feasible_early,0.11086142306424641,0.0,4.342221202383654e-14,0.11086123122907397,"[6.225136983943138e-07,2.388433535115013e-07]",209976,172136,3793,1,True,
panda_trajectory_30_k1_f127,panda,regular_first_subproblems,1,scalar_early,0,0.5,1,1,,0.11086123122907397,,False,True,False,task_feasible_early,0.11086142306424641,0.0,4.342221202383654e-14,0.11086123122907397,"[6.225136983943138e-07,2.388433535115013e-07]",199829,162652,3791,1,True,
panda_trajectory_30_k1_f127,panda,regular_first_subproblems,1,scalar_early,3,0.5,1,1,,0.11086123122907397,,False,True,False,task_feasible_early,0.11086142306424641,0.0,4.342221202383654e-14,0.11086123122907397,"[6.225136983943138e-07,2.388433535115013e-07]",216900,177813,4086,1,True,
panda_trajectory_30_k1_f127,panda,regular_first_subproblems,1,scalar_early,4,0.5,1,1,,0.11086123122907397,,False,True,False,task_feasible_early,0.11086142306424641,0.0,4.342221202383654e-14,0.11086123122907397,"[6.225136983943138e-07,2.388433535115013e-07]",222139,183541,3666,1,True,
panda_trajectory_30_k1_f149,panda,regular_first_subproblems,1,scalar_early,0,0.5,1,1,,0.11762064873235276,,False,True,False,task_feasible_early,0.1176207130648722,0.0,4.4938668397781776e-14,0.11762064873235276,"[8.610864870094392e-07,7.324214480888747e-07]",197014,159995,3762,1,True,
panda_trajectory_30_k1_f149,panda,regular_first_subproblems,1,scalar_early,2,0.5,1,1,,0.11762064873235276,,False,True,False,task_feasible_early,0.1176207130648722,0.0,4.4938668397781776e-14,0.11762064873235276,"[8.610864870094392e-07,7.324214480888747e-07]",223984,184476,3785,1,True,
panda_trajectory_30_k1_f149,panda,regular_first_subproblems,1,scalar_early,3,0.5,1,1,,0.11762064873235276,,False,True,False,task_feasible_early,0.1176207130648722,0.0,4.4938668397781776e-14,0.11762064873235276,"[8.610864870094392e-07,7.324214480888747e-07]",219387,181007,3635,1,True,
panda_trajectory_30_k1_f149,panda,regular_first_subproblems,1,scalar_early,4,0.5,1,1,,0.11762064873235276,,False,True,False,task_feasible_early,0.1176207130648722,0.0,4.4938668397781776e-14,0.11762064873235276,"[8.610864870094392e-07,7.324214480888747e-07]",197836,160841,3695,1,True,
panda_trajectory_30_k1_f149,panda,regular_first_subproblems,1,scalar_early,1,0.5,1,1,,0.11762064873235276,,False,True,False,task_feasible_early,0.1176207130648722,0.0,4.4938668397781776e-14,0.11762064873235276,"[8.610864870094392e-07,7.324214480888747e-07]",210554,169389,3756,1,True,
panda_trajectory_31_k0_f0,panda,regular_first_subproblems,0,scalar_early,0,0.5,1,1,,0.0022234816005962366,,False,True,False,task_feasible_early,0.0022238679615725686,0.0,3.256115871121665e-14,0.0022234816005962366,"[1.1333534884882541e-08,7.840554875492761e-07]",227972,187698,4314,1,True,
panda_trajectory_31_k0_f0,panda,regular_first_subproblems,0,scalar_early,3,0.5,1,1,,0.0022234816005962366,,False,True,False,task_feasible_early,0.0022238679615725686,0.0,3.256115871121665e-14,0.0022234816005962366,"[1.1333534884882541e-08,7.840554875492761e-07]",206398,167099,3984,1,True,
panda_trajectory_31_k0_f0,panda,regular_first_subproblems,0,scalar_early,4,0.5,1,1,,0.0022234816005962366,,False,True,False,task_feasible_early,0.0022238679615725686,0.0,3.256115871121665e-14,0.0022234816005962366,"[1.1333534884882541e-08,7.840554875492761e-07]",203508,165839,3927,1,True,
panda_trajectory_31_k0_f0,panda,regular_first_subproblems,0,scalar_early,2,0.5,1,1,,0.0022234816005962366,,False,True,False,task_feasible_early,0.0022238679615725686,0.0,3.256115871121665e-14,0.0022234816005962366,"[1.1333534884882541e-08,7.840554875492761e-07]",218078,178128,3783,1,True,
panda_trajectory_31_k0_f0,panda,regular_first_subproblems,0,scalar_early,1,0.5,1,1,,0.0022234816005962366,,False,True,False,task_feasible_early,0.0022238679615725686,0.0,3.256115871121665e-14,0.0022234816005962366,"[1.1333534884882541e-08,7.840554875492761e-07]",215402,174471,3693,1,True,
panda_trajectory_31_k0_f21,panda,regular_first_subproblems,0,scalar_early,3,0.5,1,1,,0.0004423583283683025,,False,True,False,task_feasible_early,0.0004424468572723977,0.0,1.5280799322856756e-14,0.0004423583283683025,"[1.539748282474845e-08,1.9245529101516214e-07]",203520,165746,3723,1,True,
panda_trajectory_31_k0_f21,panda,regular_first_subproblems,0,scalar_early,1,0.5,1,1,,0.0004423583283683025,,False,True,False,task_feasible_early,0.0004424468572723977,0.0,1.5280799322856756e-14,0.0004423583283683025,"[1.539748282474845e-08,1.9245529101516214e-07]",234997,193774,3797,1,True,
panda_trajectory_31_k0_f21,panda,regular_first_subproblems,0,scalar_early,0,0.5,1,1,,0.0004423583283683025,,False,True,False,task_feasible_early,0.0004424468572723977,0.0,1.5280799322856756e-14,0.0004423583283683025,"[1.539748282474845e-08,1.9245529101516214e-07]",210323,171302,4143,1,True,
panda_trajectory_31_k0_f21,panda,regular_first_subproblems,0,scalar_early,4,0.5,1,1,,0.0004423583283683025,,False,True,False,task_feasible_early,0.0004424468572723977,0.0,1.5280799322856756e-14,0.0004423583283683025,"[1.539748282474845e-08,1.9245529101516214e-07]",205864,168327,3656,1,True,
panda_trajectory_31_k0_f21,panda,regular_first_subproblems,0,scalar_early,2,0.5,1,1,,0.0004423583283683025,,False,True,False,task_feasible_early,0.0004424468572723977,0.0,1.5280799322856756e-14,0.0004423583283683025,"[1.539748282474845e-08,1.9245529101516214e-07]",200963,162113,3745,1,True,
panda_trajectory_31_k0_f42,panda,regular_first_subproblems,0,scalar_early,2,0.44494883459916634,2,2,0.007658281710538513,0.007658280232777496,1.4777610168534294e-09,True,False,False,gap_converged,0.007658281710538513,0.0,3.0613308282699766e-13,0.007658280232777496,"[6.012172010614771e-07,6.045383942000571e-07]",405383,368346,4035,2,True,1.4777610168534294e-09
