robot,method,trajectory_uid,family,frame_count,whole_trajectory_completed,cumulative_latency_ns,cumulative_latency_ms,p50_frame_latency_ms,p95_frame_latency_ms,p99_frame_latency_ms,mean_fev,learned_seed_invocation_count,learned_seed_invocation_rate,anchor_frame_count,periodic_reanchor_count,local_frame_count,robust_frame_count,longest_robust_run
panda,counterfactual_cghik_v4,e6919ea8b0132d7a9aa9ccb03374f412674d8477555a564a7aa0e81aa677dd3a,central_joint_limit_skim_return,150,False,2731402004,2731.402004,1.981965,89.89169474999998,102.04063759999991,40.12,150,1.0,,,,,
panda,counterfactual_cghik_v4,1c1631d56a81bf5d4d73fbdc5ca640c63b25f6252d8a94dd783da783033b09ea,regular_near_singular_regular,150,True,275858985,275.858985,1.856099,2.2558456999999996,2.46239078,2.3066666666666666,150,1.0,,,,,
panda,counterfactual_cghik_v4,e1da70af53028eb936666cd649e73d6a3c1de0502ac7aa1abcae16e56f1c8f37,slow_high_curvature_high_speed_slow,150,False,28862229711,28862.229711,231.2446385,368.3832582,369.02140938,223.32,150,1.0,,,,,
panda,counterfactual_cghik_v4,e3404ff39c672423534145d6a3139a519140f9190db1c69b0b57370909eefe2a,central_joint_limit_skim_return,150,True,275428049,275.428049,1.846748,2.0869355999999994,2.9227751299999962,2.52,150,1.0,,,,,
panda,counterfactual_cghik_v4,940a4b11b71c475a2c7e059f8b7f2f5630010e780fc593dee0e90bdbb28a897e,smooth_fast_orientation_smooth,150,True,293009218,293.009218,1.8656655,2.4150649,2.649242459999999,2.986666666666667,150,1.0,,,,,
panda,counterfactual_cghik_v4,93a4fb3754f88806063c0d1f649cd7852ca9ecbdcac8169df2497878392c415a,slow_high_curvature_high_speed_slow,150,False,2827424452,2827.424452,1.8298125,159.35453554999802,217.10022656999996,27.96,150,1.0,,,,,
panda,counterfactual_cghik_v4,fe5637148f2476c6a60c726efa6c697cf47f48a359f533ea3d4c07fdb1c526d1,regular_near_singular_regular,150,True,304805030,304.80503,2.1772455,2.505173249999998,3.0922177699999986,3.54,150,1.0,,,,,
panda,counterfactual_cghik_v4,0865291368da6b0639999962a5fe1053d9eea35d77dda1d1310ef4d8d9772567,slow_high_curvature_high_speed_slow,150,False,8418491893,8418.491893,55.686839,226.62947834999994,274.6024808899994,97.38666666666667,150,1.0,,,,,
panda,counterfactual_cghik_v4,0e9d5d8e2a4f5a9e6c77b3f34c3d194f3e9d46f96146f28e21bcfdd6aa37a85a,central_joint_limit_skim_return,150,True,264006726,264.006726,1.8307255,1.9926255999999998,2.257376929999998,2.4133333333333336,150,1.0,,,,,
panda,counterfactual_cghik_v4,900cb7bbe390bb0721c58bac88578e814a93f764ae0217c71f654206d00a7e67,regular_near_singular_regular,150,False,8308215384,8308.215384,2.1882365,316.3724356,366.30790358999997,73.64666666666666,150,1.0,,,,,
panda,counterfactual_cghik_v4,d73381f987ada4c427290193db482eca23c6fbeb2f8504baff9a37b8e3c87c23,smooth_fast_orientation_smooth,150,True,278196791,278.196791,1.8422745,1.98368645,2.07829602,2.986666666666667,150,1.0,,,,,
panda,temporal_event_cghik_v6,384fdf4291bb88d953a38c81e0b9d554485c1bfbcd4f24c866738a615d039528,central_joint_limit_skim_return,150,True,71404425,71.404425,0.54619,0.5677978,0.5798109,2.52,1,0.006666666666666667,0,0,149,1,1
panda,temporal_event_cghik_v6,4ba7460adc1d8a2f8f9c9bde6f55b48f490f7ce0a05847e05cd8db694d77b091,smooth_fast_orientation_smooth,150,True,84683681,84.683681,0.552542,0.57272625,0.9307932299999992,2.986666666666667,1,0.006666666666666667,0,0,149,1,1
panda,temporal_event_cghik_v6,dea0b18d45429372570672568199621ca941787b47387ab597adfe520ee5cdc3,regular_near_singular_regular,150,True,66960671,66.960671,0.5457125,0.56685105,0.5898441499999997,2.3333333333333335,1,0.006666666666666667,0,0,149,1,1
panda,temporal_event_cghik_v6,02bae2a84c6c969ce7bbdd1fe8f19951e97db9622d29781679d6791c70e3901e,slow_high_curvature_high_speed_slow,150,False,26074715379,26074.715379,209.9713385,361.422315,364.19039796,222.85333333333332,111,0.74,0,0,40,110,109
panda,temporal_event_cghik_v6,5ec9065816c3f53f0f577cb09bec76d2fb3f5692f79981799e9bb295e0dbf34b,slow_high_curvature_high_speed_slow,150,False,22397487832,22397.487832,196.9998605,346.9981090999996,360.84934429000003,202.27333333333334,111,0.74,0,0,40,110,109
panda,temporal_event_cghik_v6,fb6617cd2411151431ac915a92fd4c1d3791c66a0b11850682c7dd4dc72fa258,smooth_fast_orientation_smooth,150,True,81537495,81.537495,0.5456415,0.5675412,0.5790585699999999,2.9066666666666667,1,0.006666666666666667,0,0,149,1,1
panda,temporal_event_cghik_v6,89660d7e6987a84d47ea747c85128cd7ae1ab44329bfed223f201f5c1cc00336,regular_near_singular_regular,150,True,199279015,199.279015,1.68853,2.7634917,2.990952329999999,3.5866666666666664,81,0.54,0,0,69,81,40
panda,temporal_event_cghik_v6,dde7e903c77b268f7f1c5f819b038cf31ec73b4cc80326ebc38d8752ce904919,central_joint_limit_skim_return,150,False,10675787667,10675.787667,40.732897,223.68706554999997,233.37695929,140.97333333333333,83,0.5533333333333333,0,0,68,82,56
panda,temporal_event_cghik_v6,ef30d643539c282f528bff5ab80f1b66b434299972e8584ff883e1fe4ecaed65,smooth_fast_orientation_smooth,150,True,84270546,84.270546,0.5513355,0.57593335,0.7915651299999967,2.986666666666667,1,0.006666666666666667,0,0,149,1,1
panda,temporal_event_cghik_v6,cebfe3638d073c3b8003f366c2cfe9bc4899d3df99821888109273d224ac9a0a,central_joint_limit_skim_return,150,False,2960271287,2960.271287,0.5505915,152.23397434999993,212.07674366999998,42.02,26,0.17333333333333334,0,0,124,26,25
panda,temporal_event_cghik_v6,e92dd7b2ef02b6eb4fce5e95645a625ab8b06b3d2a22566c1ae0b5ef6778a6b0,regular_near_singular_regular,150,True,65597218,65.597218,0.5455205,0.5666183,0.58147387,2.2933333333333334,1,0.006666666666666667,0,0,149,1,1
panda,temporal_event_cghik_v6,03d063ad08cc24622a37de78a5e18e6d3bcd5bd03d8c07e97e201ac9cc0ec564,slow_high_curvature_high_speed_slow,150,False,14631891434,14631.891434,74.3891595,219.28553165,225.77738463,149.7,107,0.7133333333333334,0,0,44,106,105
panda,temporal_event_cghik_v6,c7ce5895f9e508ea014336312b7451e5774c14ed405fc52a6ab6e1a5dec93188,central_joint_limit_skim_return,150,False,2139018053,2139.018053,0.5492885,86.7241074,126.33702889999947,38.76,26,0.17333333333333334,0,0,124,26,25
panda,temporal_event_cghik_v6,af0c253cf52e8fa97d8cae2ae462fce2e8b18b7b011ed353eed409309e920dad,regular_near_singular_regular,150,True,100384427,100.384427,0.5445715,0.5764351999999999,2.249390489999995,2.6066666666666665,6,0.04,0,0,144,6,5
panda,temporal_event_cghik_v6,0a2dfa865596bc46a849dee449f40645f3520acbdf7f93cd7884270b2d40bbe4,slow_high_curvature_high_speed_slow,150,False,7782820234,7782.820234,0.5643905,266.59145914999914,329.1987592299995,72.66,56,0.37333333333333335,0,0,94,56,30
panda,temporal_event_cghik_v6,34b3debceaa18f21cd7e422a25fa686430efb997212493dc24b2cb7df27ecf42,smooth_fast_orientation_smooth,150,True,81587199,81.587199,0.5510495,0.572804,0.58657385,2.8933333333333335,1,0.006666666666666667,0,0,149,1,1
