robot,subset,method,reference,query_count,latency_ratio,latency_ratio_ci_low,latency_ratio_ci_high,fev_ratio,fev_ratio_ci_low,fev_ratio_ci_high,success_difference,success_difference_ci_low,success_difference_ci_high,deadline_difference,deadline_difference_ci_low,deadline_difference_ci_high,paired_latency_difference_ms,paired_latency_difference_ms_ci_low,paired_latency_difference_ms_ci_high,p50_ratio,p50_ratio_ci_low,p50_ratio_ci_high,p95_ratio,p95_ratio_ci_low,p95_ratio_ci_high,p99_ratio,p99_ratio_ci_low,p99_ratio_ci_high
panda,feasible,full_cghik,geometry_threshold,2500,1.0008672641216088,0.9997087193806246,1.002228600717302,1.000505531683226,1.000111055172269,1.0010744044251656,0.0,0.0,0.0,0.0,-0.0004,0.0004,0.013525934933333338,-0.0044939919000000755,0.03473414310000016,0.9997057175452813,0.9928377180514236,1.0060790887948468,1.001845342791778,0.9919516690317386,1.038820182543306,0.9999902405142516,0.9985960084711566,1.0024457770036301
panda,feasible,full_cghik,routing_only,2500,0.9998663876397967,0.9986635930843678,1.0013243669860574,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0004,0.0004,-0.002085917200000026,-0.02128270074666689,0.020165436403333282,,,,,,,,,
panda,feasible,full_cghik,trac_ik_100ms,2500,59.34090570513668,52.20503122003257,66.40760221589441,,,,-0.0296,-0.03746666666666666,-0.022,-0.04573333333333333,-0.0536,-0.038266666666666664,15.346572484266668,13.384056586266668,17.29849418529667,,,,,,,,,
panda,feasible,full_cghik,trac_ik_20ms,2500,59.17772588063216,52.037511202735686,66.23479054002908,,,,-0.029066666666666664,-0.03679999999999999,-0.0216,-0.0452,-0.052933333333333325,-0.037733333333333334,15.345847136266666,13.381965465943331,17.299490032993333,,,,,,,,,
panda,feasible,full_cghik,trac_ik_400ms,2500,59.13742126204921,52.079108067643176,66.21548357914007,,,,-0.03013333333333333,-0.037733333333333334,-0.022533333333333336,-0.046266666666666664,-0.054133333333333325,-0.038933333333333334,15.3456673624,13.3822144037,17.298601623326668,,,,,,,,,
panda,feasible,full_cghik,trac_ik_5ms,2500,59.31468511452998,52.20468402232852,66.38422939468248,,,,-0.029866666666666663,-0.03746666666666666,-0.022533333333333332,-0.046,-0.053733333333333334,-0.03866666666666666,15.346456200666667,13.382505770693333,17.299372806323337,,,,,,,,,
panda,local,geometry_threshold,always_hard,1000,1.3127052664136014,1.3046151574967941,1.3208368053213777,1.006056527590848,1.0020093770931011,1.0108108108108107,0.0,0.0,0.0,0.0,0.0,0.0,0.47971068066666667,0.46865082376666667,0.49074782471666667,,,,,,,,,
panda,local,reject_only_hard,always_hard,1000,1.3093851003116692,1.301501775786489,1.3172453649931015,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47461732500000003,0.46400763315000004,0.4854770061916666,,,,,,,,,
panda,local,routing_only,always_hard,1000,1.315760277130164,1.3075981786904258,1.323907689323279,1.006056527590848,1.0020093770931011,1.0108108108108107,0.0,0.0,0.0,0.0,0.0,0.0,0.48439727033333335,0.4736585427833333,0.4951069238,,,,,,,,,
panda,local,p50_selection,always_hard,1000,1.314153640588061,1.306076690887758,1.3221713742151135,1.006056527590848,1.0020093770931011,1.0108108108108107,0.0,0.0,0.0,0.0,0.0,0.0,0.48193258299999997,0.471206487925,0.492660841725,,,,,,,,,
panda,local,full_cghik,always_hard,1000,1.314933981585216,1.3067648270937278,1.3230798446923837,1.006056527590848,1.0020093770931011,1.0108108108108107,0.0,0.0,0.0,0.0,0.0,0.0,0.483129678,0.47204210802499996,0.494314476975,,,,,,,,,
panda,local,full_cghik,reject_only_hard,1000,1.0042377763976587,0.9986127344848821,1.010061529230204,1.006056527590848,1.0020093770931011,1.0108108108108107,0.0,0.0,0.0,0.0,0.0,0.0,0.008512353,-0.002796860341666664,0.020211342866666687,,,,,,,,,
panda,local,full_cghik,p50_selection,1000,1.000593797386435,0.9952958301340975,1.005820287703833,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001197094999999997,-0.009516517791666665,0.011682135175000006,,,,,,,,,
panda,local,full_cghik,geometry_threshold,1000,1.0016978031768728,0.9960473560236738,1.0071244159809287,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034189973333333293,-0.007963820924999991,0.014292936950000007,,,,,,,,,
panda,local,full_cghik,routing_only,1000,0.9993720014509404,0.9940221023360457,1.0047808456239709,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012675923333333406,-0.012110039924999993,0.009632591358333335,,,,,,,,,
panda,local,full_cghik,trac_ik_100ms,1000,8.488402554392877,8.399178801537944,8.57697267034962,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.7795547613333333,1.7696699901250001,1.7892044309500001,,,,,,,,,
panda,local,full_cghik,trac_ik_20ms,1000,8.486758567363571,8.397463007574336,8.575281826206671,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.7795087273333337,1.7696232677416668,1.78903735545,,,,,,,,,
panda,local,full_cghik,trac_ik_400ms,1000,8.508093984967411,8.426849662769028,8.592260218282126,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.780104767,1.7702872983416669,1.7896184584083334,,,,,,,,,
panda,local,full_cghik,trac_ik_5ms,1000,8.517394506322836,8.432113983555514,8.602358577845603,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.7803636576666666,1.7703957954916665,1.7899829380499999,,,,,,,,,
panda,near_singular,geometry_threshold,always_hard,500,1.302356323111886,1.2899749113751562,1.314264721509855,1.006720430107527,1.0013368983957218,1.0135135135135136,0.0,0.0,0.0,0.0,0.0,0.0,0.4676843,0.4516805443333333,0.48316330468333335,,,,,,,,,
panda,near_singular,reject_only_hard,always_hard,500,1.30518379378716,1.2931416913183962,1.3175832959135756,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4720578273333334,0.4561656534,0.4884082479833333,,,,,,,,,
