robot,method,reference,family,group,trajectory_count,method_total_ns,reference_total_ns,saved_ns,saved_fraction_of_total,method_total_fev,reference_total_fev,latency_ratio,latency_ratio_ci_low,latency_ratio_ci_high
ur5e,routing_only,always_hard,joint_limit_return,neither_complete,1,1304594704,1225816174,-78778530,0.11624709619207042,3496,3464,1.0642661858041367,1.0642661858041367,1.0642661858041367
ur5e,routing_only,always_hard,high_curvature,both_complete,10,2714691935,2055319581,-659372354,1.0,4500,4500,1.3208125685637595,1.3124290220145725,1.3296296544306039
ur5e,routing_only,always_hard,high_curvature,only_cghik_complete,0,0,0,0,-0.0,0,0,,,
ur5e,routing_only,always_hard,high_curvature,only_hard_complete,0,0,0,0,-0.0,0,0,,,
ur5e,routing_only,always_hard,high_curvature,neither_complete,0,0,0,0,-0.0,0,0,,,
ur5e,full_cghik,routing_only,all,both_complete,36,9763762321,9776099253,12336932,0.0074832314428870325,16052,16052,0.9987380516829129,0.9964051033515582,1.0010578405943924
ur5e,full_cghik,routing_only,all,only_cghik_complete,0,0,0,0,0.0,0,0,,,
ur5e,full_cghik,routing_only,all,only_hard_complete,0,0,0,0,0.0,0,0,,,
ur5e,full_cghik,routing_only,all,neither_complete,4,7257126967,8893400277,1636273310,0.992516768557113,18326,22359,0.8160126319477928,0.7376196811792771,0.9128703337781514
ur5e,full_cghik,routing_only,smooth,both_complete,8,2181547561,2180279982,-1267579,-0.0007802085768678791,3594,3594,1.0005813835885597,0.9952776639441828,1.005622687955134
ur5e,full_cghik,routing_only,smooth,only_cghik_complete,0,0,0,0,0.0,0,0,,,
ur5e,full_cghik,routing_only,smooth,only_hard_complete,0,0,0,0,0.0,0,0,,,
ur5e,full_cghik,routing_only,smooth,neither_complete,2,3039161571,4665095986,1625934415,1.0007802085768678,6548,10581,0.6514681756003637,0.5414288572411867,0.8168228212021951
ur5e,full_cghik,routing_only,near_singular,both_complete,9,2420892429,2422091826,1199397,0.22540531336942132,3908,3908,0.9995048094431742,0.9969124730998921,1.0022500846236
ur5e,full_cghik,routing_only,near_singular,only_cghik_complete,0,0,0,0,0.0,0,0,,,
ur5e,full_cghik,routing_only,near_singular,only_hard_complete,0,0,0,0,0.0,0,0,,,
ur5e,full_cghik,routing_only,near_singular,neither_complete,1,2919587916,2923709587,4121671,0.7745946866305786,8282,8282,0.9985902597787665,0.9985902597787665,0.9985902597787665
