case_id,horizon,initialization,found,best_found_rho,optimizer_status,total_ms,fk_calls,jacobian_calls,run_file
state_18_candidate_03,1,historical_prefix,True,0.10300208201056088,0,5.613581,23,15,runs/state_18_candidate_03_L1_historical_prefix.json
state_18_candidate_03,1,dls_prediction,True,0.10300208199923576,0,6.007755,27,15,runs/state_18_candidate_03_L1_dls_prediction.json
state_08_candidate_05,5,hold,True,0.1875769738714317,0,58.470955,225,185,runs/state_08_candidate_05_L5_hold.json
state_08_candidate_05,5,historical_prefix,True,0.18757697387597955,0,55.668636,225,185,runs/state_08_candidate_05_L5_historical_prefix.json
state_08_candidate_05,5,dls_prediction,True,0.18757697387619854,0,62.439001,250,205,runs/state_08_candidate_05_L5_dls_prediction.json
state_18_candidate_04,10,hold,True,0.1257089080347861,0,190.410591,620,550,runs/state_18_candidate_04_L10_hold.json
state_18_candidate_04,10,historical_prefix,True,0.12570890803376755,0,97.761878,360,290,runs/state_18_candidate_04_L10_historical_prefix.json
state_18_candidate_04,10,dls_prediction,True,0.1257089080167679,0,213.165914,680,590,runs/state_18_candidate_04_L10_dls_prediction.json
state_18_candidate_02,10,hold,True,0.12626600778619296,0,192.042833,630,560,runs/state_18_candidate_02_L10_hold.json
state_18_candidate_02,10,historical_prefix,True,0.1262660077691933,0,94.477707,350,280,runs/state_18_candidate_02_L10_historical_prefix.json
state_18_candidate_02,10,dls_prediction,True,0.12626600778675315,0,203.680471,670,580,runs/state_18_candidate_02_L10_dls_prediction.json
state_13_candidate_04,10,hold,True,0.13800032961114572,0,141.18937,500,430,runs/state_13_candidate_04_L10_hold.json
state_13_candidate_04,10,historical_prefix,True,0.13800032961947747,0,153.116966,530,450,runs/state_13_candidate_04_L10_historical_prefix.json
state_13_candidate_04,10,dls_prediction,True,0.13800032961182815,0,132.686941,480,380,runs/state_13_candidate_04_L10_dls_prediction.json
state_08_candidate_05,30,hold,False,,9,1518.251595,3210,3030,runs/state_08_candidate_05_L30_hold.json
state_08_candidate_05,30,historical_prefix,True,0.2229844168474444,9,1389.728664,3300,3030,runs/state_08_candidate_05_L30_historical_prefix.json
state_08_candidate_05,30,dls_prediction,True,0.22333919103048275,9,1411.419434,3420,3060,runs/state_08_candidate_05_L30_dls_prediction.json
state_08_candidate_00,1,hold,True,0.16722352080050362,0,6.750675,26,18,runs/state_08_candidate_00_L1_hold.json
state_08_candidate_00,1,historical_prefix,True,0.16722352078576969,0,7.65562,31,20,runs/state_08_candidate_00_L1_historical_prefix.json
state_08_candidate_00,1,dls_prediction,True,0.16722352080119116,0,7.953957,34,21,runs/state_08_candidate_00_L1_dls_prediction.json
state_13_candidate_01,10,hold,True,0.13947788064009448,0,165.706337,560,500,runs/state_13_candidate_01_L10_hold.json
state_13_candidate_01,10,historical_prefix,True,0.13947788063955974,0,175.375212,580,500,runs/state_13_candidate_01_L10_historical_prefix.json
state_13_candidate_01,10,dls_prediction,True,0.13947788064001299,0,143.628826,510,410,runs/state_13_candidate_01_L10_dls_prediction.json
state_18_candidate_03,5,hold,True,0.12124269773214678,0,50.450964,200,165,runs/state_18_candidate_03_L5_hold.json
state_18_candidate_03,5,historical_prefix,True,0.12124269773064823,0,31.988339,140,100,runs/state_18_candidate_03_L5_historical_prefix.json
state_18_candidate_03,5,dls_prediction,True,0.1212426977200973,0,49.634101,205,160,runs/state_18_candidate_03_L5_dls_prediction.json
state_13_candidate_01,5,hold,True,0.13695290315294853,0,40.198715,160,130,runs/state_13_candidate_01_L5_hold.json
state_13_candidate_01,5,historical_prefix,True,0.13695290316764624,0,55.213384,255,165,runs/state_13_candidate_01_L5_historical_prefix.json
state_13_candidate_01,5,dls_prediction,True,0.13695290316814535,0,40.468656,170,125,runs/state_13_candidate_01_L5_dls_prediction.json
state_13_candidate_00,10,hold,True,0.13858584960275047,0,145.637836,490,440,runs/state_13_candidate_00_L10_hold.json
state_13_candidate_00,10,historical_prefix,True,0.13858584959736486,0,184.015744,610,530,runs/state_13_candidate_00_L10_historical_prefix.json
state_13_candidate_00,10,dls_prediction,True,0.13858584960263892,0,138.488318,500,400,runs/state_13_candidate_00_L10_dls_prediction.json
state_13_candidate_00,1,hold,True,0.10926970649793796,0,4.095823,16,10,runs/state_13_candidate_00_L1_hold.json
state_13_candidate_00,1,historical_prefix,True,0.10926970649793255,0,3.957169,16,10,runs/state_13_candidate_00_L1_historical_prefix.json
state_13_candidate_00,1,dls_prediction,True,0.10926970649372082,0,4.168685,20,9,runs/state_13_candidate_00_L1_dls_prediction.json
state_14_candidate_03,1,hold,True,0.0643416041768995,0,3.745566,15,9,runs/state_14_candidate_03_L1_hold.json
state_14_candidate_03,1,historical_prefix,True,0.06434160416228327,0,4.225024,18,10,runs/state_14_candidate_03_L1_historical_prefix.json
state_14_candidate_03,1,dls_prediction,True,0.06434160417714622,0,4.65984,21,11,runs/state_14_candidate_03_L1_dls_prediction.json
state_14_candidate_03,10,hold,True,0.09973543807379882,0,177.341007,590,520,runs/state_14_candidate_03_L10_hold.json
state_14_candidate_03,10,historical_prefix,True,0.0997354380597377,0,159.012677,560,470,runs/state_14_candidate_03_L10_historical_prefix.json
state_14_candidate_03,10,dls_prediction,True,0.09973543807385485,0,135.717448,500,390,runs/state_14_candidate_03_L10_dls_prediction.json
state_08_candidate_02,10,hold,True,0.1969264405879488,0,321.633214,990,900,runs/state_08_candidate_02_L10_hold.json
state_08_candidate_02,10,historical_prefix,True,0.19692644058885533,0,284.70361,910,830,runs/state_08_candidate_02_L10_historical_prefix.json
state_08_candidate_02,10,dls_prediction,True,0.19692644057988187,0,275.820838,910,810,runs/state_08_candidate_02_L10_dls_prediction.json
state_08_candidate_03,1,hold,True,0.16747048671948667,0,7.410857,29,20,runs/state_08_candidate_03_L1_hold.json
state_08_candidate_03,1,historical_prefix,True,0.16747048671946121,0,7.638373,31,20,runs/state_08_candidate_03_L1_historical_prefix.json
state_08_candidate_03,1,dls_prediction,True,0.16747048671949685,0,8.095571,34,21,runs/state_08_candidate_03_L1_dls_prediction.json
state_18_candidate_02,5,hold,True,0.11979847830887946,0,45.371491,180,145,runs/state_18_candidate_02_L5_hold.json
