case_id,horizon,found,best_found_rho_upper_bound,successful_initializations,initial_path_verified,selected_run,optimizer_statuses,all_three_starts_total_ms,all_three_starts_fk_calls,all_three_starts_jacobian_calls,selected_max_position_excess,selected_max_orientation_excess,selected_minimum_joint_margin
state_18_candidate_01,10,True,0.12736948602843004,3,2,runs/state_18_candidate_01_L10_historical_prefix.json,"[{'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 54, 'scipy_nfev': 55, 'scipy_njev': 54}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 29, 'scipy_nfev': 30, 'scipy_njev': 29}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 54, 'scipy_nfev': 55, 'scipy_njev': 54}]",465.117209,1600,1380,-4.771363425887243e-12,-3.166527109965678e-11,0.3528100247345435
state_18_candidate_01,30,True,0.1922317769952728,1,1,runs/state_18_candidate_01_L30_dls_prediction.json,"[{'success': False, 'code': 9, 'message': 'Iteration limit reached', 'iterations': 100, 'scipy_nfev': 103, 'scipy_njev': 101}, {'success': False, 'code': 9, 'message': 'Iteration limit reached', 'iterations': 100, 'scipy_nfev': 199, 'scipy_njev': 101}, {'success': False, 'code': 9, 'message': 'Iteration limit reached', 'iterations': 100, 'scipy_nfev': 101, 'scipy_njev': 101}]",5152.956441,12622,9141,-1.9712757193322654e-07,-0.00792373819865193,0.3186255339047803
state_18_candidate_02,1,True,0.10223007969259634,3,2,runs/state_18_candidate_02_L1_historical_prefix.json,"[{'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 14, 'scipy_nfev': 17, 'scipy_njev': 14}, {'success': False, 'code': 8, 'message': 'Positive directional derivative for linesearch', 'iterations': 21, 'scipy_nfev': 21, 'scipy_njev': 17}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 15, 'scipy_nfev': 18, 'scipy_njev': 15}]",18.490182,77,47,-6.633567393304896e-13,-0.007150613682846198,0.35139342957329534
state_18_candidate_02,5,True,0.11979847828528978,3,2,runs/state_18_candidate_02_L5_dls_prediction.json,"[{'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 29, 'scipy_nfev': 31, 'scipy_njev': 29}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 17, 'scipy_nfev': 19, 'scipy_njev': 17}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 26, 'scipy_nfev': 27, 'scipy_njev': 26}]",116.304825,485,365,-4.002952483372901e-12,-1.1326280191514826e-11,0.35215941175193666
state_18_candidate_02,10,True,0.1262660077691933,3,2,runs/state_18_candidate_02_L10_historical_prefix.json,"[{'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 56, 'scipy_nfev': 58, 'scipy_njev': 56}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 28, 'scipy_nfev': 29, 'scipy_njev': 28}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 57, 'scipy_nfev': 58, 'scipy_njev': 57}]",490.201011,1650,1420,-3.102243071803623e-12,-1.1052117554477547e-11,0.35244139603743474
state_18_candidate_02,30,False,,0,0,,"[{'success': False, 'code': 9, 'message': 'Iteration limit reached', 'iterations': 100, 'scipy_nfev': 102, 'scipy_njev': 101}, {'success': False, 'code': 9, 'message': 'Iteration limit reached', 'iterations': 100, 'scipy_nfev': 168, 'scipy_njev': 101}, {'success': False, 'code': 9, 'message': 'Iteration limit reached', 'iterations': 100, 'scipy_nfev': 102, 'scipy_njev': 101}]",5167.639373,11732,9163,,,
state_18_candidate_03,1,True,0.10300208199923576,3,2,runs/state_18_candidate_03_L1_dls_prediction.json,"[{'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 12, 'scipy_nfev': 14, 'scipy_njev': 12}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 15, 'scipy_nfev': 17, 'scipy_njev': 15}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 15, 'scipy_nfev': 18, 'scipy_njev': 14}]",16.312495,69,42,-4.425670550520233e-12,-0.006790689951389898,0.3519903965159946
state_18_candidate_03,5,True,0.1212426977200973,3,2,runs/state_18_candidate_03_L5_dls_prediction.json,"[{'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 33, 'scipy_nfev': 35, 'scipy_njev': 33}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 20, 'scipy_nfev': 22, 'scipy_njev': 20}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 31, 'scipy_nfev': 32, 'scipy_njev': 31}]",132.073404,545,425,-3.296621222531604e-12,-3.885813198989396e-11,0.3527856873614238
state_18_candidate_03,10,True,0.1279161094992599,3,2,runs/state_18_candidate_03_L10_dls_prediction.json,"[{'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 54, 'scipy_nfev': 55, 'scipy_njev': 54}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 29, 'scipy_nfev': 30, 'scipy_njev': 29}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 52, 'scipy_nfev': 53, 'scipy_njev': 52}]",464.418653,1580,1360,-4.787527796076829e-12,-3.175329617299827e-11,0.3530766481149953
state_18_candidate_03,30,True,0.18953028550249518,1,1,runs/state_18_candidate_03_L30_dls_prediction.json,"[{'success': False, 'code': 9, 'message': 'Iteration limit reached', 'iterations': 100, 'scipy_nfev': 102, 'scipy_njev': 101}, {'success': False, 'code': 9, 'message': 'Iteration limit reached', 'iterations': 100, 'scipy_nfev': 263, 'scipy_njev': 101}, {'success': False, 'code': 9, 'message': 'Iteration limit reached', 'iterations': 100, 'scipy_nfev': 101, 'scipy_njev': 101}]",5476.857505,14480,9130,-1.130316408753376e-06,-0.007924719792564578,0.3133238119855424
state_18_candidate_04,1,True,0.10195072053261714,3,2,runs/state_18_candidate_04_L1_historical_prefix.json,"[{'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 18, 'scipy_nfev': 21, 'scipy_njev': 16}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 15, 'scipy_nfev': 18, 'scipy_njev': 15}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 17, 'scipy_nfev': 20, 'scipy_njev': 17}]",18.985462,79,49,-3.342386697274824e-12,-0.007035351680487606,0.35130218922345047
state_18_candidate_04,5,True,0.11939871118473538,3,2,runs/state_18_candidate_04_L5_historical_prefix.json,"[{'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 29, 'scipy_nfev': 30, 'scipy_njev': 29}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 18, 'scipy_nfev': 20, 'scipy_njev': 18}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 26, 'scipy_nfev': 26, 'scipy_njev': 26}]",117.241592,485,370,-4.945013799481646e-12,-3.89350912621822e-11,0.3520629216158827
state_18_candidate_04,10,True,0.1257089080167679,3,2,runs/state_18_candidate_04_L10_dls_prediction.json,"[{'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 55, 'scipy_nfev': 56, 'scipy_njev': 55}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 30, 'scipy_nfev': 30, 'scipy_njev': 29}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 58, 'scipy_nfev': 59, 'scipy_njev': 58}]",501.338383,1660,1430,-3.959715151255483e-12,-6.447314904178825e-12,0.3523380461977592
state_18_candidate_04,30,False,,0,0,,"[{'success': False, 'code': 9, 'message': 'Iteration limit reached', 'iterations': 100, 'scipy_nfev': 102, 'scipy_njev': 101}, {'success': False, 'code': 9, 'message': 'Iteration limit reached', 'iterations': 100, 'scipy_nfev': 162, 'scipy_njev': 101}, {'success': False, 'code': 9, 'message': 'Iteration limit reached', 'iterations': 100, 'scipy_nfev': 101, 'scipy_njev': 101}]",5266.766889,11591,9180,,,
state_18_candidate_05,1,True,0.10260246355373623,3,2,runs/state_18_candidate_05_L1_dls_prediction.json,"[{'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 13, 'scipy_nfev': 16, 'scipy_njev': 13}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 15, 'scipy_nfev': 17, 'scipy_njev': 15}, {'success': False, 'code': 8, 'message': 'Positive directional derivative for linesearch', 'iterations': 25, 'scipy_nfev': 73, 'scipy_njev': 21}]",25.250991,126,50,-2.074757032843877e-12,-0.006752882048318231,0.35161109984062344
state_18_candidate_05,5,True,0.12041874931080028,3,2,runs/state_18_candidate_05_L5_dls_prediction.json,"[{'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 32, 'scipy_nfev': 34, 'scipy_njev': 32}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 19, 'scipy_nfev': 21, 'scipy_njev': 19}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 29, 'scipy_nfev': 30, 'scipy_njev': 29}]",128.908944,525,405,-3.680418600091051e-12,-3.4846691504553107e-11,0.352387889899631
