robot,method,baseline,metric,difference,difference_ci,ratio,ratio_ci
panda,trac_then_current_trf,trac_task_5ms,acceleration_rms,0.6520848029728241,"[0.2586731350263053,1.0748728357480992]",1.153851638259527,"[1.0560682237623578,1.262603688660054]"
panda,trac_then_current_trf,pink_qp,completion,0.008333333333333331,"[-0.03333333333333334,0.06666666666666667]",1.0090090090090091,"[0.9649122807017543,1.0761904761904761]"
panda,trac_then_current_trf,pink_qp,deadline_completion,-0.01666666666666667,"[-0.06666666666666668,0.041666666666666664]",0.9819819819819818,"[0.9298245614035087,1.0505050505050504]"
panda,trac_then_current_trf,pink_qp,total_latency_ns,-101890616.13333334,"[-136755446.0777083,-61411569.020833336]",0.5038109702347348,"[0.3427825105905609,0.69611880400582]"
panda,trac_then_current_trf,pink_qp,frame_success,0.0023888888888888874,"[-0.011559722222222226,0.02055694444444446]",1.002429790359948,"[0.9881828255635374,1.0212900683019686]"
panda,trac_then_current_trf,pink_qp,successful_prefix,-0.10833333333333321,"[-2.4833333333333334,2.6166666666666667]",0.9992654122167599,"[0.9831530313274737,1.0180180180180178]"
panda,trac_then_current_trf,pink_qp,acceleration_rms,0.6860361854554301,"[-0.868059191049263,2.152122403257447]",1.1631691161714266,"[0.8338540068442843,1.6423949863680216]"
panda,trac_then_current_trf,current_trf,completion,0.20833333333333331,"[0.1,0.3166666666666667]",1.2873563218390804,"[1.1226415094339621,1.5270656370656372]"
panda,trac_then_current_trf,current_trf,deadline_completion,0.19166666666666665,"[0.09166666666666667,0.3]",1.2674418604651163,"[1.112216553287982,1.4935000000000005]"
panda,trac_then_current_trf,current_trf,total_latency_ns,-354957492.8833333,"[-411224377.6402083,-306557371.5091666]",0.22568229574125082,"[0.16604145042721713,0.2922699817680967]"
panda,trac_then_current_trf,current_trf,frame_success,0.013111111111111115,"[-0.0031111111111110923,0.03294722222222225]",1.0134826325411335,"[0.9968672600153684,1.034666093959184]"
panda,trac_then_current_trf,current_trf,successful_prefix,16.275,"[6.574583333333334,27.691875000000003]",1.124149767974064,"[1.0468761817428238,1.2319845713500255]"
panda,trac_then_current_trf,current_trf,acceleration_rms,-23.411358508787632,"[-24.955406743676235,-21.88106883442057]",0.1727973988572496,"[0.14347855703767476,0.20478822140082553]"
ur5e,current_trf,trac_task_5ms,completion,-0.008333333333333331,"[-0.1,0.08333333333333334]",0.9913043478260871,"[0.8974358974358975,1.090909090909091]"
ur5e,current_trf,trac_task_5ms,deadline_completion,0.008333333333333335,"[-0.075,0.09166666666666667]",1.0089285714285716,"[0.9203539823008849,1.101851851851852]"
ur5e,current_trf,trac_task_5ms,total_latency_ns,114356360.075,"[87928770.50645834,135910434.6975]",2.5665197996992606,"[1.935198791584508,3.2941214773449357]"
ur5e,current_trf,trac_task_5ms,frame_success,-0.004888888888888892,"[-0.04777777777777778,0.03488888888888888]",0.9950243130159447,"[0.952019638473555,1.036150126640571]"
ur5e,current_trf,trac_task_5ms,successful_prefix,-0.7333333333333336,"[-7.166666666666667,5.2333333333333325]",0.9950243130159449,"[0.952019638473555,1.036150126640571]"
ur5e,current_trf,trac_task_5ms,acceleration_rms,-0.26979550558804083,"[-2.996252712510738,2.4401516008964257]",0.9744560880215434,"[0.7681864031711634,1.2888253044625269]"
ur5e,current_trf,pink_qp,completion,0.0,"[-0.1,0.1]",1.0,"[0.8999358974358975,1.1111111111111112]"
