panel,site_id,condition,completed,repeats,center_id,candidate_id,center_completed,position_match_error,orientation_match_error,scope,predictor,informative_pairs,comparable_pairs,unknown_pairs,concordant,discordant,ties,score,contributing_sites,note,repeat,cumulative_ms
d,case_01_pre_failure,B,,,,,,,,,,,,,,,,,,,2,163.893943
d,case_01_pre_failure,B,,,,,,,,,,,,,,,,,,,3,164.333774
d,case_01_pre_failure,B,,,,,,,,,,,,,,,,,,,4,163.389574
d,case_02_pre_failure,A,,,,,,,,,,,,,,,,,,,0,162.718304
d,case_02_pre_failure,A,,,,,,,,,,,,,,,,,,,1,163.654276
d,case_02_pre_failure,A,,,,,,,,,,,,,,,,,,,2,162.875505
d,case_02_pre_failure,A,,,,,,,,,,,,,,,,,,,3,162.209265
d,case_02_pre_failure,A,,,,,,,,,,,,,,,,,,,4,163.057199
d,case_02_pre_failure,current_only,,,,,,,,,,,,,,,,,,,0,162.255214
d,case_02_pre_failure,current_only,,,,,,,,,,,,,,,,,,,1,163.567776
d,case_02_pre_failure,current_only,,,,,,,,,,,,,,,,,,,2,161.56833
d,case_02_pre_failure,current_only,,,,,,,,,,,,,,,,,,,3,163.930562
d,case_02_pre_failure,current_only,,,,,,,,,,,,,,,,,,,4,162.489843
d,case_02_pre_failure,B,,,,,,,,,,,,,,,,,,,0,163.955616
d,case_02_pre_failure,B,,,,,,,,,,,,,,,,,,,1,164.120158
d,case_02_pre_failure,B,,,,,,,,,,,,,,,,,,,2,164.42135
d,case_02_pre_failure,B,,,,,,,,,,,,,,,,,,,3,163.442267
d,case_02_pre_failure,B,,,,,,,,,,,,,,,,,,,4,164.50584
d,case_03_pre_failure,A,,,,,,,,,,,,,,,,,,,0,161.988875
d,case_03_pre_failure,A,,,,,,,,,,,,,,,,,,,1,161.804544
d,case_03_pre_failure,A,,,,,,,,,,,,,,,,,,,2,163.331881
d,case_03_pre_failure,A,,,,,,,,,,,,,,,,,,,3,162.37108
d,case_03_pre_failure,A,,,,,,,,,,,,,,,,,,,4,162.342857
d,case_03_pre_failure,current_only,,,,,,,,,,,,,,,,,,,0,162.243602
d,case_03_pre_failure,current_only,,,,,,,,,,,,,,,,,,,1,159.330788
d,case_03_pre_failure,current_only,,,,,,,,,,,,,,,,,,,2,167.637892
d,case_03_pre_failure,current_only,,,,,,,,,,,,,,,,,,,3,158.258136
d,case_03_pre_failure,current_only,,,,,,,,,,,,,,,,,,,4,160.534458
d,case_03_pre_failure,B,,,,,,,,,,,,,,,,,,,0,164.606823
d,case_03_pre_failure,B,,,,,,,,,,,,,,,,,,,1,330.710739
d,case_03_pre_failure,B,,,,,,,,,,,,,,,,,,,2,286.949804
d,case_03_pre_failure,B,,,,,,,,,,,,,,,,,,,3,333.600796
d,case_03_pre_failure,B,,,,,,,,,,,,,,,,,,,4,335.084857
