robot,method,baseline,metric,trajectories,difference,difference_ci,ratio,ratio_ci
panda,cr_ik_elastic_mu025,trac_task_20ms,total_latency_ns,160,-330987581.0479167,"[-497098386.1834376,-178493195.36958328]",0.5655303211190469,"[0.49407555799131797,0.6811089531300375]"
panda,cr_ik_elastic_mu025,trac_task_20ms,frame_success,160,-0.0013611111111111087,"[-0.010833680555555556,0.00876440972222223]",0.9984590710399699,"[0.9876855214777842,1.0100292041375363]"
panda,cr_ik_elastic_mu025,trac_task_20ms,acceleration_rms,160,0.14514827613469755,"[-0.13384279661082416,0.4133190292411267]",1.0224095947329348,"[0.9807547637760202,1.06783409807118]"
panda,cr_ik_elastic_mu025,trac_task_20ms,successful_prefix,160,-0.39374999999999966,"[-4.750156249999998,4.356562500000002]",0.9984648624061863,"[0.9817115176808415,1.0169692543901585]"
panda,cr_ik_elastic_mu025,trac_task_20ms,frame_deadline_success,160,-0.0014444444444444455,"[-0.010916840277777786,0.008688194444444452]",0.9983646255936096,"[0.9876228066842353,1.0099238895273126]"
panda,cr_ik_elastic_mu025,pink_qp,completion,160,-0.03541666666666667,"[-0.10208333333333335,0.03125]",0.9543010752688172,"[0.8736491414520298,1.0434782608695652]"
panda,cr_ik_elastic_mu025,pink_qp,deadline_completion,160,-0.06458333333333334,"[-0.13125,0.006249999999999994]",0.9155313351498638,"[0.8342391304347827,1.0087976539589443]"
panda,cr_ik_elastic_mu025,pink_qp,total_latency_ns,160,153863503.5625,"[97625902.91385415,216569617.21052083]",1.5555267587842587,"[1.3503154545045548,1.7854920027285217]"
panda,cr_ik_elastic_mu025,pink_qp,frame_success,160,-0.006805555555555556,"[-0.03608472222222223,0.02232100694444445]",0.992342553523988,"[0.9598575809824477,1.0256093309129974]"
panda,cr_ik_elastic_mu025,pink_qp,acceleration_rms,160,-0.18060012340422724,"[-0.9000844360849173,0.5217484575030186]",0.9734521202389735,"[0.8789260863725474,1.0847456115651066]"
panda,cr_ik_elastic_mu025,pink_qp,successful_prefix,160,-3.1583333333333328,"[-14.54005208333333,8.15890625000001]",0.9878177157413436,"[0.9455305690317175,1.0326406540519104]"
