split,robot,group,queries,min_witness_utilization,max_witness_utilization,queries_with_physical_clipping
validation,ur5e,near_singular/high_utilization/alpha=0.95,80,0.5718129496286759,0.9748307921200994,0
validation,ur5e,near_singular/multijoint_boundary/alpha=0.0,80,0.9974125685940609,0.9974125685940645,0
validation,ur5e,near_singular/multijoint_boundary/alpha=0.5,80,0.9974125685940609,0.9974125685940645,0
validation,ur5e,near_singular/multijoint_boundary/alpha=0.95,80,0.9974125685940609,0.9974125685940645,0
validation,ur5e,near_limit/regular/alpha=0.0,80,0.00012463894938816923,0.5585666723030177,0
validation,ur5e,near_limit/regular/alpha=0.5,80,0.00012463894938816923,0.5585666723030177,0
validation,ur5e,near_limit/regular/alpha=0.95,80,0.00012463894938816923,0.5585666723030177,0
validation,ur5e,near_limit/high_utilization/alpha=0.0,80,0.2213916594280793,0.9642235824291606,16
validation,ur5e,near_limit/high_utilization/alpha=0.5,80,0.2213916594280793,0.9642235824291606,16
validation,ur5e,near_limit/high_utilization/alpha=0.95,80,0.2213916594280793,0.9642235824291606,16
validation,ur5e,near_limit/multijoint_boundary/alpha=0.0,80,0.26477475814995993,0.997412568594068,23
validation,ur5e,near_limit/multijoint_boundary/alpha=0.5,80,0.26477475814995993,0.997412568594068,23
validation,ur5e,near_limit/multijoint_boundary/alpha=0.95,80,0.26477475814995993,0.997412568594068,23
