robot,method,baseline,family,metric,trajectories,difference,difference_ci,ratio,ratio_ci
panda,single_gn_k1,trac_task_5ms,near_singular,frame_success,40,0.009166666666666665,"[-0.017777777777777778,0.03427916666666667]",1.0094210346008907,"[0.981895332390382,1.0360475148406814]"
panda,single_gn_k1,trac_task_5ms,near_singular,acceleration_rms,40,-1.1122104852635089,"[-3.5478881080083173,1.207860534920866]",0.8317098044275776,"[0.5526637786946187,1.2245376937794883]"
panda,single_gn_k1,trac_task_5ms,near_singular,successful_prefix,40,3.725,"[-0.8918749999999996,8.333333333333332]",1.0259401114206128,"[0.9938685633809373,1.0593054735066416]"
panda,single_gn_k1,trac_task_5ms,joint_limit_return,completion,40,0.0,"[-0.075,0.075]",1.0,"[0.9230769230769231,1.0833333333333333]"
panda,single_gn_k1,trac_task_5ms,joint_limit_return,deadline_completion,40,0.0,"[-0.075,0.075]",1.0,"[0.9230769230769231,1.0833333333333333]"
panda,single_gn_k1,trac_task_5ms,joint_limit_return,total_latency_ns,40,6282298.00833333,"[-24992685.901041675,29090869.62583333]",1.146869126424397,"[0.6409800781480928,1.9619873607844438]"
panda,single_gn_k1,trac_task_5ms,joint_limit_return,frame_success,40,0.005055555555555552,"[-0.03455555555555556,0.049722222222222216]",1.0051642926054138,"[0.9651149747616377,1.0525450595902075]"
panda,single_gn_k1,trac_task_5ms,joint_limit_return,acceleration_rms,40,0.20250576630712672,"[-0.23863609846568018,0.7139187944448049]",1.1354586655850678,"[0.8365758261926048,1.490585185987611]"
panda,single_gn_k1,trac_task_5ms,joint_limit_return,successful_prefix,40,0.7583333333333332,"[-5.1833333333333345,7.458333333333333]",1.0051642926054138,"[0.9651149747616375,1.0525450595902073]"
panda,single_gn_k1,trac_task_5ms,high_curvature,completion,40,0.05,"[0.0,0.125]",1.0555555555555556,"[1.0,1.1515151515151516]"
panda,single_gn_k1,trac_task_5ms,high_curvature,deadline_completion,40,0.06666666666666668,"[0.008333333333333335,0.14166666666666666]",1.0754716981132078,"[1.0086206896551724,1.180851063829787]"
panda,single_gn_k1,trac_task_5ms,high_curvature,total_latency_ns,40,-7658377.125,"[-31427720.032916665,11499923.952500002]",0.8735365379748493,"[0.6441823700227515,1.345391264441487]"
panda,single_gn_k1,trac_task_5ms,high_curvature,frame_success,40,0.01355555555555556,"[-0.010666666666666661,0.04301111111111115]",1.014170393170335,"[0.9891708967851099,1.0473714057160102]"
panda,single_gn_k1,trac_task_5ms,high_curvature,acceleration_rms,40,-0.07891852361591174,"[-0.48908688996898525,0.42415985630917413]",0.9885243658260991,"[0.9321270022600853,1.061954970001094]"
panda,single_gn_k1,trac_task_5ms,high_curvature,successful_prefix,40,1.5333333333333334,"[-2.6,5.883333333333334]",1.0106858702595969,"[0.9823191733639495,1.0428567196566831]"
panda,single_gn_k1,trac_task_20ms,all,completion,160,0.020833333333333336,"[-0.0125,0.052083333333333336]",1.0221238938053097,"[0.9871794871794872,1.0567396034816248]"
panda,single_gn_k1,trac_task_20ms,all,deadline_completion,160,0.027083333333333338,"[-0.00625,0.060416666666666674]",1.029017857142857,"[0.9934640522875817,1.065428239217235]"
