run_id,site_id,uid,family,candidate_id,repeat,complete,accepted_frames,prefix_frames,first_failure_frame,first_failure_kind,total_latency_ns
state_00_candidate_00_r0,state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,candidate_00,0,True,30,30,,,18059542
state_00_candidate_04_r4,state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,candidate_04,4,True,30,30,,,16199284
state_05_candidate_05_r1,state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,candidate_05,1,True,30,30,,,19383705
state_05_candidate_04_r3,state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,candidate_04,3,True,30,30,,,16465819
state_05_candidate_04_r4,state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,candidate_04,4,True,30,30,,,20561870
state_05_candidate_04_r0,state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,candidate_04,0,True,30,30,,,16910507
state_05_candidate_03_r4,state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,candidate_03,4,True,30,30,,,18162565
state_05_candidate_03_r3,state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,candidate_03,3,True,30,30,,,19348616
state_05_candidate_02_r1,state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,candidate_02,1,True,30,30,,,16370028
state_05_candidate_00_r0,state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,candidate_00,0,True,30,30,,,17195185
state_05_candidate_02_r3,state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,candidate_02,3,True,30,30,,,17524578
state_05_candidate_00_r1,state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,candidate_00,1,True,30,30,,,17607342
state_05_candidate_05_r0,state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,candidate_05,0,True,30,30,,,17359048
state_05_candidate_01_r2,state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,candidate_01,2,True,30,30,,,20793071
state_05_candidate_03_r2,state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,candidate_03,2,True,30,30,,,16330766
state_05_candidate_00_r3,state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,candidate_00,3,True,30,30,,,17223322
state_05_candidate_03_r1,state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,candidate_03,1,True,30,30,,,21613531
state_05_candidate_02_r2,state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,candidate_02,2,True,30,30,,,16813179
state_05_candidate_00_r2,state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,candidate_00,2,True,30,30,,,18227131
state_05_candidate_05_r4,state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,candidate_05,4,True,30,30,,,20569260
state_05_candidate_05_r2,state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,candidate_05,2,True,30,30,,,19080169
state_05_candidate_01_r4,state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,candidate_01,4,True,30,30,,,17841186
state_05_candidate_01_r3,state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,candidate_01,3,True,30,30,,,19684877
state_05_candidate_03_r0,state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,candidate_03,0,True,30,30,,,17007831
state_05_candidate_04_r2,state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,candidate_04,2,True,30,30,,,18937875
state_05_candidate_04_r1,state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,candidate_04,1,True,30,30,,,20365511
state_05_candidate_01_r0,state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,candidate_01,0,True,30,30,,,19246513
state_05_candidate_02_r0,state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,candidate_02,0,True,30,30,,,17953948
state_05_candidate_01_r1,state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,candidate_01,1,True,30,30,,,16349537
state_05_candidate_02_r4,state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,candidate_02,4,True,30,30,,,16548994
state_05_candidate_05_r3,state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,candidate_05,3,True,30,30,,,19064779
state_05_candidate_00_r4,state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,candidate_00,4,True,30,30,,,15819613
state_23_candidate_00_r1,state_23,9310ffc5bfdd2b254668c43a676e00ab7e7ee2ea68349d74b82f7e2a4731a397,joint_limit_return,candidate_00,1,True,30,30,,,17815979
state_23_candidate_04_r2,state_23,9310ffc5bfdd2b254668c43a676e00ab7e7ee2ea68349d74b82f7e2a4731a397,joint_limit_return,candidate_04,2,True,30,30,,,16061696
state_23_candidate_00_r4,state_23,9310ffc5bfdd2b254668c43a676e00ab7e7ee2ea68349d74b82f7e2a4731a397,joint_limit_return,candidate_00,4,True,30,30,,,16740534
state_23_candidate_02_r0,state_23,9310ffc5bfdd2b254668c43a676e00ab7e7ee2ea68349d74b82f7e2a4731a397,joint_limit_return,candidate_02,0,True,30,30,,,21038329
state_23_candidate_03_r3,state_23,9310ffc5bfdd2b254668c43a676e00ab7e7ee2ea68349d74b82f7e2a4731a397,joint_limit_return,candidate_03,3,True,30,30,,,15849326
state_23_candidate_01_r4,state_23,9310ffc5bfdd2b254668c43a676e00ab7e7ee2ea68349d74b82f7e2a4731a397,joint_limit_return,candidate_01,4,True,30,30,,,17172185
state_23_candidate_04_r4,state_23,9310ffc5bfdd2b254668c43a676e00ab7e7ee2ea68349d74b82f7e2a4731a397,joint_limit_return,candidate_04,4,True,30,30,,,17881810
state_23_candidate_00_r3,state_23,9310ffc5bfdd2b254668c43a676e00ab7e7ee2ea68349d74b82f7e2a4731a397,joint_limit_return,candidate_00,3,True,30,30,,,17099804
state_23_candidate_04_r3,state_23,9310ffc5bfdd2b254668c43a676e00ab7e7ee2ea68349d74b82f7e2a4731a397,joint_limit_return,candidate_04,3,True,30,30,,,17594501
state_23_candidate_04_r1,state_23,9310ffc5bfdd2b254668c43a676e00ab7e7ee2ea68349d74b82f7e2a4731a397,joint_limit_return,candidate_04,1,True,30,30,,,16864202
state_23_candidate_01_r3,state_23,9310ffc5bfdd2b254668c43a676e00ab7e7ee2ea68349d74b82f7e2a4731a397,joint_limit_return,candidate_01,3,True,30,30,,,18702131
state_23_candidate_03_r4,state_23,9310ffc5bfdd2b254668c43a676e00ab7e7ee2ea68349d74b82f7e2a4731a397,joint_limit_return,candidate_03,4,True,30,30,,,17175448
state_23_candidate_00_r2,state_23,9310ffc5bfdd2b254668c43a676e00ab7e7ee2ea68349d74b82f7e2a4731a397,joint_limit_return,candidate_00,2,True,30,30,,,16917821
state_23_candidate_02_r3,state_23,9310ffc5bfdd2b254668c43a676e00ab7e7ee2ea68349d74b82f7e2a4731a397,joint_limit_return,candidate_02,3,True,30,30,,,16530337
state_23_candidate_04_r0,state_23,9310ffc5bfdd2b254668c43a676e00ab7e7ee2ea68349d74b82f7e2a4731a397,joint_limit_return,candidate_04,0,True,30,30,,,18226422
state_23_candidate_01_r0,state_23,9310ffc5bfdd2b254668c43a676e00ab7e7ee2ea68349d74b82f7e2a4731a397,joint_limit_return,candidate_01,0,True,30,30,,,18837111
state_23_candidate_02_r4,state_23,9310ffc5bfdd2b254668c43a676e00ab7e7ee2ea68349d74b82f7e2a4731a397,joint_limit_return,candidate_02,4,True,30,30,,,18679482
state_23_candidate_01_r2,state_23,9310ffc5bfdd2b254668c43a676e00ab7e7ee2ea68349d74b82f7e2a4731a397,joint_limit_return,candidate_01,2,True,30,30,,,18662413
state_23_candidate_00_r0,state_23,9310ffc5bfdd2b254668c43a676e00ab7e7ee2ea68349d74b82f7e2a4731a397,joint_limit_return,candidate_00,0,True,30,30,,,19818302
state_23_candidate_03_r0,state_23,9310ffc5bfdd2b254668c43a676e00ab7e7ee2ea68349d74b82f7e2a4731a397,joint_limit_return,candidate_03,0,True,30,30,,,17294682
state_23_candidate_02_r1,state_23,9310ffc5bfdd2b254668c43a676e00ab7e7ee2ea68349d74b82f7e2a4731a397,joint_limit_return,candidate_02,1,True,30,30,,,17215638
state_23_candidate_03_r1,state_23,9310ffc5bfdd2b254668c43a676e00ab7e7ee2ea68349d74b82f7e2a4731a397,joint_limit_return,candidate_03,1,True,30,30,,,21140291
state_23_candidate_02_r2,state_23,9310ffc5bfdd2b254668c43a676e00ab7e7ee2ea68349d74b82f7e2a4731a397,joint_limit_return,candidate_02,2,True,30,30,,,17409024
state_23_candidate_01_r1,state_23,9310ffc5bfdd2b254668c43a676e00ab7e7ee2ea68349d74b82f7e2a4731a397,joint_limit_return,candidate_01,1,True,30,30,,,20590021
state_23_candidate_03_r2,state_23,9310ffc5bfdd2b254668c43a676e00ab7e7ee2ea68349d74b82f7e2a4731a397,joint_limit_return,candidate_03,2,True,30,30,,,17355516
state_33_candidate_04_r3,state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,candidate_04,3,True,30,30,,,16560773
state_33_candidate_05_r4,state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,candidate_05,4,True,30,30,,,15377002
state_33_candidate_05_r1,state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,candidate_05,1,True,30,30,,,20684435
state_33_candidate_02_r3,state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,candidate_02,3,True,30,30,,,20551674
state_33_candidate_02_r1,state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,candidate_02,1,True,30,30,,,16878376
state_33_candidate_01_r1,state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,candidate_01,1,True,30,30,,,16676201
state_33_candidate_00_r4,state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,candidate_00,4,True,30,30,,,18506226
state_33_candidate_01_r3,state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,candidate_01,3,True,30,30,,,15761855
state_33_candidate_00_r0,state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,candidate_00,0,True,30,30,,,16608450
state_33_candidate_02_r0,state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,candidate_02,0,True,30,30,,,17517690
state_33_candidate_01_r4,state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,candidate_01,4,True,30,30,,,17533490
state_33_candidate_03_r3,state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,candidate_03,3,True,30,30,,,16374115
state_33_candidate_04_r1,state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,candidate_04,1,True,30,30,,,18267818
state_33_candidate_01_r2,state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,candidate_01,2,True,30,30,,,15929228
state_33_candidate_04_r2,state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,candidate_04,2,True,30,30,,,16055766
state_33_candidate_03_r4,state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,candidate_03,4,True,30,30,,,18246405
state_33_candidate_05_r3,state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,candidate_05,3,True,30,30,,,17481593
state_33_candidate_04_r4,state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,candidate_04,4,True,30,30,,,16627934
state_33_candidate_05_r2,state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,candidate_05,2,True,30,30,,,16468316
state_33_candidate_01_r0,state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,candidate_01,0,True,30,30,,,16375633
state_33_candidate_03_r2,state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,candidate_03,2,True,30,30,,,17536349
state_33_candidate_00_r2,state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,candidate_00,2,True,30,30,,,17139883
state_33_candidate_00_r1,state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,candidate_00,1,True,30,30,,,16448241
state_33_candidate_03_r0,state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,candidate_03,0,True,30,30,,,16014668
state_33_candidate_04_r0,state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,candidate_04,0,True,30,30,,,16290362
