robot,run_id,uid,family,method,repeat,complete,complete_within_20ms,total_latency_ns,source
panda,trajectory_05_trac_task_20ms_r1,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,smooth,trac_task_20ms,1,True,True,26683172,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_05_trac_task_20ms_r1.jsonl.gz
panda,trajectory_05_trac_task_20ms_r2,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,smooth,trac_task_20ms,2,True,True,33813268,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_05_trac_task_20ms_r2.jsonl.gz
panda,trajectory_05_trac_task_5ms_r0,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,smooth,trac_task_5ms,0,True,True,32434186,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_05_trac_task_5ms_r0.jsonl.gz
panda,trajectory_05_trac_task_5ms_r1,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,smooth,trac_task_5ms,1,True,True,33058512,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_05_trac_task_5ms_r1.jsonl.gz
panda,trajectory_05_trac_task_5ms_r2,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,smooth,trac_task_5ms,2,True,True,26045776,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_05_trac_task_5ms_r2.jsonl.gz
panda,trajectory_06_dls_strict_r0,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,dls_strict,0,True,True,149299588,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_06_dls_strict_r0.jsonl.gz
panda,trajectory_06_dls_task_r0,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,dls_task,0,True,True,89029595,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_06_dls_task_r0.jsonl.gz
panda,trajectory_06_trac_strict_20ms_r0,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,trac_strict_20ms,0,True,True,35951779,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_06_trac_strict_20ms_r0.jsonl.gz
panda,trajectory_06_trac_strict_20ms_r1,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,trac_strict_20ms,1,True,True,36670208,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_06_trac_strict_20ms_r1.jsonl.gz
panda,trajectory_06_trac_strict_20ms_r2,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,trac_strict_20ms,2,True,True,34606882,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_06_trac_strict_20ms_r2.jsonl.gz
panda,trajectory_06_trac_strict_5ms_r0,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,trac_strict_5ms,0,True,True,33093764,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_06_trac_strict_5ms_r0.jsonl.gz
panda,trajectory_06_trac_strict_5ms_r1,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,trac_strict_5ms,1,True,True,32644056,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_06_trac_strict_5ms_r1.jsonl.gz
panda,trajectory_06_trac_strict_5ms_r2,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,trac_strict_5ms,2,True,True,35817938,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_06_trac_strict_5ms_r2.jsonl.gz
