uid,method,robot,anchor_uid,anchor_family,displacement,alpha,accepted,timely,latency_ns,success_by_repeat,condition
07acaf53293cecd7e7afab7eb58d0293082a09ebef761fcc22eaaff83f57dc84,relative,panda,2d98976f97d2217cf4f35bf2f87f7c6a5fb90dbe3e9b07f35ff17bb05b577b9e,near_singular,high_utilization,0.0,1.0,1.0,501847.6666666667,"[true,true,true]",nominal
0810f4384c076df119cb1366008690f37b8eb707709a1a5eb7efcf9641772e02,direct_sqp,panda,4917bcb39e340db95a137e8ebeefb7ebb43f4027d4773edbf617674790d7f096,ordinary,regular,0.0,1.0,1.0,2067447.3333333333,"[true,true,true]",nominal
0810f4384c076df119cb1366008690f37b8eb707709a1a5eb7efcf9641772e02,eta010,panda,4917bcb39e340db95a137e8ebeefb7ebb43f4027d4773edbf617674790d7f096,ordinary,regular,0.0,1.0,1.0,282359.6666666667,"[true,true,true]",nominal
0810f4384c076df119cb1366008690f37b8eb707709a1a5eb7efcf9641772e02,eta050,panda,4917bcb39e340db95a137e8ebeefb7ebb43f4027d4773edbf617674790d7f096,ordinary,regular,0.0,1.0,1.0,282477.3333333333,"[true,true,true]",nominal
0810f4384c076df119cb1366008690f37b8eb707709a1a5eb7efcf9641772e02,gn,panda,4917bcb39e340db95a137e8ebeefb7ebb43f4027d4773edbf617674790d7f096,ordinary,regular,0.0,1.0,1.0,306816.3333333333,"[true,true,true]",nominal
0810f4384c076df119cb1366008690f37b8eb707709a1a5eb7efcf9641772e02,relative,panda,4917bcb39e340db95a137e8ebeefb7ebb43f4027d4773edbf617674790d7f096,ordinary,regular,0.0,1.0,1.0,295534.6666666667,"[true,true,true]",nominal
085c5ed31a11b0ae5d60dfe4982d5f45e791f393a8d4ac264663012f066c1208,direct_sqp,panda,a1b6580b2774a40ff6f2596067a6c281becb75ec597dddb3bba15cd2d93e91d2,near_limit,high_utilization,0.95,1.0,1.0,1798966.6666666667,"[true,true,true]",nominal
085c5ed31a11b0ae5d60dfe4982d5f45e791f393a8d4ac264663012f066c1208,eta010,panda,a1b6580b2774a40ff6f2596067a6c281becb75ec597dddb3bba15cd2d93e91d2,near_limit,high_utilization,0.95,1.0,1.0,281700.3333333333,"[true,true,true]",nominal
085c5ed31a11b0ae5d60dfe4982d5f45e791f393a8d4ac264663012f066c1208,eta050,panda,a1b6580b2774a40ff6f2596067a6c281becb75ec597dddb3bba15cd2d93e91d2,near_limit,high_utilization,0.95,1.0,1.0,280232.0,"[true,true,true]",nominal
085c5ed31a11b0ae5d60dfe4982d5f45e791f393a8d4ac264663012f066c1208,gn,panda,a1b6580b2774a40ff6f2596067a6c281becb75ec597dddb3bba15cd2d93e91d2,near_limit,high_utilization,0.95,1.0,1.0,304492.6666666667,"[true,true,true]",nominal
085c5ed31a11b0ae5d60dfe4982d5f45e791f393a8d4ac264663012f066c1208,relative,panda,a1b6580b2774a40ff6f2596067a6c281becb75ec597dddb3bba15cd2d93e91d2,near_limit,high_utilization,0.95,1.0,1.0,285043.0,"[true,true,true]",nominal
0a6266dad62291ab29a24d763b31e8e8d394902a64c2ad32de00258c173e78c0,direct_sqp,panda,6540670baac25b39cfa7ecf5f04b9d750d33c7adf7238139b66acbd66217b5ba,near_limit,regular,0.0,1.0,1.0,1023288.3333333334,"[true,true,true]",nominal
0a6266dad62291ab29a24d763b31e8e8d394902a64c2ad32de00258c173e78c0,eta010,panda,6540670baac25b39cfa7ecf5f04b9d750d33c7adf7238139b66acbd66217b5ba,near_limit,regular,0.0,1.0,1.0,278953.6666666667,"[true,true,true]",nominal
0a6266dad62291ab29a24d763b31e8e8d394902a64c2ad32de00258c173e78c0,eta050,panda,6540670baac25b39cfa7ecf5f04b9d750d33c7adf7238139b66acbd66217b5ba,near_limit,regular,0.0,1.0,1.0,283455.3333333333,"[true,true,true]",nominal
0a6266dad62291ab29a24d763b31e8e8d394902a64c2ad32de00258c173e78c0,gn,panda,6540670baac25b39cfa7ecf5f04b9d750d33c7adf7238139b66acbd66217b5ba,near_limit,regular,0.0,1.0,1.0,313069.3333333333,"[true,true,true]",nominal
0a6266dad62291ab29a24d763b31e8e8d394902a64c2ad32de00258c173e78c0,relative,panda,6540670baac25b39cfa7ecf5f04b9d750d33c7adf7238139b66acbd66217b5ba,near_limit,regular,0.0,1.0,1.0,291979.0,"[true,true,true]",nominal
0a6f8f88bac9aec4ea1c2cb8382bb1241da0a4e3345ed3410cd4b7ec47eaeede,direct_sqp,panda,d93b60ab43917a1e2581f7775aa3d51d66f5b22eb2a63d6c5537d67219199ad5,near_limit,high_utilization,0.95,1.0,1.0,2461005.3333333335,"[true,true,true]",nominal
0a6f8f88bac9aec4ea1c2cb8382bb1241da0a4e3345ed3410cd4b7ec47eaeede,eta010,panda,d93b60ab43917a1e2581f7775aa3d51d66f5b22eb2a63d6c5537d67219199ad5,near_limit,high_utilization,0.95,1.0,1.0,448591.0,"[true,true,true]",nominal
0a6f8f88bac9aec4ea1c2cb8382bb1241da0a4e3345ed3410cd4b7ec47eaeede,eta050,panda,d93b60ab43917a1e2581f7775aa3d51d66f5b22eb2a63d6c5537d67219199ad5,near_limit,high_utilization,0.95,1.0,1.0,432975.6666666667,"[true,true,true]",nominal
0a6f8f88bac9aec4ea1c2cb8382bb1241da0a4e3345ed3410cd4b7ec47eaeede,gn,panda,d93b60ab43917a1e2581f7775aa3d51d66f5b22eb2a63d6c5537d67219199ad5,near_limit,high_utilization,0.95,1.0,1.0,433424.6666666667,"[true,true,true]",nominal
