group,method,queries,repeats,success_by_repeat,within20_by_repeat,verified_success,within20_success,mean_ms,p50_ms,p95_ms,p99_ms,total_ms_per_repeat,late_calls,witness_queries,witness_success_by_repeat,witness_confirmed_missed_uids,accepted_position_p50_p95_max_m,accepted_orientation_p50_p95_max_rad,edge_fraction,command_step_utilization_p50_p95_max,mean_local_qps,first_half_accepted_fraction,no_qp_fraction,continued_after_first_fraction,extra_weighted_qp_fraction,relative_stop_fraction,mean_iterations,failure_counts,native_status_counts,robot,condition
regular/alpha=0.95,relative,30,3,"[30,30,30]","[30,30,30]",1.0,1.0,0.2994708666666667,0.2907455,0.34572685,0.4529543,8.984126000000002,0,30,"[30,30,30]",[],"[0.00016250704992591314,0.0006238460078046921,0.0006857308489588293]","[0.0002638695117872718,0.003972100505358194,0.006010860005694438]",0.0,"[0.5450677010460825,0.9999999999990011,0.9999999999990026]",1.0333333333333334,0.9666666666666667,0.0,0.03333333333333333,0.0,0.03333333333333333,1.0333333333333334,{},"{""native_task_candidate"":90}",panda,nominal
regular/alpha=0.95,eta010,30,3,"[30,30,30]","[30,30,30]",1.0,1.0,0.3007531222222222,0.296373,0.328974,0.45408805999999996,9.022593666666667,0,30,"[30,30,30]",[],"[0.00016250704992591314,0.0006238460078046921,0.0006857308489588293]","[0.0002638695117872718,0.003972100505358194,0.006010860005694438]",0.0,"[0.5450677010460825,0.9999999999990011,0.9999999999990026]",1.0333333333333334,0.9666666666666667,,0.03333333333333333,0.0,0.03333333333333333,1.0333333333333334,{},"{""native_task_candidate"":90}",panda,nominal
regular/alpha=0.95,eta050,30,3,"[30,30,30]","[30,30,30]",1.0,1.0,0.29726963333333334,0.29187549999999995,0.33830994999999997,0.46660471,8.918089,0,30,"[30,30,30]",[],"[0.00016250704992591314,0.0006238460078046921,0.0006857308489588293]","[0.0002638695117872718,0.003972100505358194,0.006010860005694438]",0.0,"[0.5450677010460825,0.9999999999990011,0.9999999999990026]",1.0333333333333334,0.9666666666666667,,0.03333333333333333,0.0,0.03333333333333333,1.0333333333333334,{},"{""native_task_candidate"":90}",panda,nominal
regular/alpha=0.95,gn,30,3,"[30,30,30]","[30,30,30]",1.0,1.0,0.32038896666666666,0.31314200000000003,0.35056604999999996,0.45754131,9.611669,0,30,"[30,30,30]",[],"[0.00016250704992591314,0.0006238460078046921,0.0006857308489588293]","[0.0002638695117872718,0.003972100505358194,0.006010860005694438]",0.0,"[0.5450677010460825,0.9999999999990011,0.9999999999990026]",,,,,,,2.033333333333333,{},"{""task_candidate"":90}",panda,nominal
regular/alpha=0.95,direct_sqp,30,3,"[30,30,30]","[30,30,30]",1.0,1.0,1.561500788888889,1.5610365,2.0970714999999998,2.26495859,46.84502366666667,0,30,"[30,30,30]",[],"[0.0009999999532348692,0.000999999978051344,0.0009999999835652086]","[0.00872664582485301,0.008726646069356721,0.00872664616466447]",1.0,"[0.19599476649388492,0.4547263551244442,0.4747423066426898]",,,,,,,10.833333333333334,{},"{""task_accepted_early"":90}",panda,nominal
high_utilization/alpha=0.0,relative,30,3,"[30,30,30]","[30,30,30]",1.0,1.0,0.3959851777777778,0.3830565,0.5400853999999999,0.5738197899999999,11.879555333333334,0,30,"[30,30,30]",[],"[0.0004183157459643538,0.0009631039540174901,0.0009762568938732473]","[0.000873276890759827,0.004920172199235006,0.008217289448036843]",0.1,"[0.9999999999989984,0.9999999999990037,0.9999999999990037]",1.4333333333333333,0.5666666666666667,0.0,0.43333333333333335,0.0,0.43333333333333335,1.4333333333333333,{},"{""native_task_candidate"":90}",panda,nominal
high_utilization/alpha=0.0,eta010,30,3,"[30,30,30]","[30,30,30]",1.0,1.0,0.3975852555555555,0.383429,0.543466,0.5647607099999999,11.927557666666665,0,30,"[30,30,30]",[],"[0.0004183157459643538,0.0009631039540174901,0.0009762568938732473]","[0.000873276890759827,0.004920172199235006,0.008217289448036843]",0.1,"[0.9999999999989984,0.9999999999990037,0.9999999999990037]",1.4333333333333333,0.5666666666666667,,0.43333333333333335,0.0,0.43333333333333335,1.4333333333333333,{},"{""native_task_candidate"":90}",panda,nominal
high_utilization/alpha=0.0,eta050,30,3,"[30,30,30]","[30,30,30]",1.0,1.0,0.39398570000000005,0.3730695,0.5324306999999999,0.55193045,11.819571000000002,0,30,"[30,30,30]",[],"[0.0004183157459643538,0.0009631039540174901,0.0009762568938732473]","[0.000873276890759827,0.004920172199235006,0.008217289448036843]",0.1,"[0.9999999999989984,0.9999999999990037,0.9999999999990037]",1.4333333333333333,0.5666666666666667,,0.43333333333333335,0.0,0.43333333333333335,1.4333333333333333,{},"{""native_task_candidate"":90}",panda,nominal
high_utilization/alpha=0.0,gn,30,3,"[30,30,30]","[30,30,30]",1.0,1.0,0.4022664666666667,0.391776,0.5204306,0.54428025,12.067994,0,30,"[30,30,30]",[],"[0.0004183157459643538,0.0009631039540174901,0.0009762568938732473]","[0.000873276890759827,0.004920172199235006,0.008217289448036843]",0.1,"[0.9999999999989984,0.9999999999990037,0.9999999999990037]",,,,,,,2.433333333333333,{},"{""task_candidate"":90}",panda,nominal
high_utilization/alpha=0.0,direct_sqp,30,3,"[30,30,30]","[30,30,30]",1.0,1.0,2.327193088888889,2.3199715,2.8108862,2.84696755,69.81579266666667,0,30,"[30,30,30]",[],"[0.0009999999541061878,0.000999999983137903,0.000999999990725167]","[0.008726645831506483,0.008726645939913218,0.00872664597425332]",1.0,"[0.8912946837429278,0.9999999999989999,0.9999999999990037]",,,,,,,17.1,{},"{""task_accepted_early"":90}",panda,nominal
