robot,trajectory_uid,family,group,frames,hard_complete,hard_total_latency_ns,hard_total_fev,hard_reject_count,hard_defer_count,hard_fallback_count,hard_first_failure_frame,hard_first_failure_reason,cghik_complete,cghik_total_latency_ns,cghik_total_fev,cghik_reject_count,cghik_defer_count,cghik_fallback_count,cghik_first_failure_frame,cghik_first_failure_reason,saved_latency_ns
ur5e,16c2a29e7d791412671e69732304b38a53c952d512f314ea4c93f293c8cf8e54,central_joint_limit_skim_return,neither_complete,150,False,3240377222,11873,0,0,105,22,all_cascade_stages_failed,False,887369205,2641,83,12,22,22,all_cascade_stages_failed,2353008017
ur5e,202d27311ea262a96a99c19ad25fd961409afbcf37b95a4b2dbf4c950c827ec5,central_joint_limit_skim_return,neither_complete,150,False,3148164687,11725,0,0,105,22,all_cascade_stages_failed,False,657475634,1797,89,6,16,22,all_cascade_stages_failed,2490689053
ur5e,272ff8ef3713d478a884f5e72d1b8aa39a4436ec8eba09cf7e827e8ebcb1e5b0,regular_near_singular_regular,neither_complete,150,False,2434304167,7089,0,0,49,50,all_cascade_stages_failed,False,733583501,2253,31,10,18,50,all_cascade_stages_failed,1700720666
ur5e,28d1afc1c13cc583e58f711c3719e48e374737124eca153693dd4286fef7573b,central_joint_limit_skim_return,neither_complete,150,False,3389815000,12335,0,0,105,22,all_cascade_stages_failed,False,813423466,2423,85,12,20,22,all_cascade_stages_failed,2576391534
ur5e,299b451413d8bf44542383d290fd22cc29ca92f3ff722c00d571cde43f16ff44,slow_high_curvature_high_speed_slow,neither_complete,150,False,4582847031,8984,0,0,108,42,all_cascade_stages_failed,False,4079029677,7921,17,18,91,42,all_cascade_stages_failed,503817354
ur5e,2f103e9e3bdd28f0ac9e41247ec05a0cc8b96404c386eafbcb5fdd1abc83f9d9,smooth_fast_orientation_smooth,both_complete,150,True,232443207,446,0,0,0,,,True,263850744,448,0,0,0,,,-31407537
ur5e,35b6a97812699e0b4708daaf020375484ac96e499e840719ae20d8f0ca5e44f5,regular_near_singular_regular,both_complete,150,True,222014225,378,0,0,0,,,True,246768345,354,0,0,0,,,-24754120
ur5e,3a0480f4ebc37fc123f33f81b2dcf2660486b594f32ebbd1a0d5c61c9e3d5e5d,smooth_fast_orientation_smooth,both_complete,150,True,236009371,448,0,0,0,,,True,263478791,442,0,0,0,,,-27469420
ur5e,4247584df6d0e0c996db60f92870e879732d4a11b13461e45220bb2e05dc8548,slow_high_curvature_high_speed_slow,neither_complete,150,False,2943694024,8825,0,0,79,72,all_cascade_stages_failed,False,2772973468,8108,6,6,73,72,all_cascade_stages_failed,170720556
ur5e,46c0f997f7d265b02b151f645b22b1d4bb9c90454e68e6b2226cf73c6846a3a4,regular_near_singular_regular,both_complete,150,True,219711137,360,0,0,0,,,True,247060180,352,0,0,0,,,-27349043
ur5e,4735b9e48578451118e02275966433fd4ed742a768f5b534f2553238e88c8304,central_joint_limit_skim_return,neither_complete,150,False,4223778932,14054,0,0,105,22,all_cascade_stages_failed,False,793247061,2353,85,10,20,22,all_cascade_stages_failed,3430531871
ur5e,483791bbbe7d9807310405bb731e8c301819ac633da1a3f5245ad46277dec817,regular_near_singular_regular,both_complete,150,True,221613372,368,0,0,0,,,True,248168566,360,0,0,0,,,-26555194
