robot,subset,method,elapsed_limit_ms,verified_within_rate
panda,feasible,routing_only,10,0.9288
panda,feasible,routing_only,20,0.9330666666666667
panda,feasible,routing_only,50,0.9372
panda,feasible,routing_only,100,0.9482666666666667
panda,feasible,routing_only,200,0.9492
panda,feasible,routing_only,400,0.9492
panda,feasible,routing_only,800,0.9492
panda,feasible,trac_ik_100ms,0.1,0.0
panda,feasible,trac_ik_100ms,0.25,0.6494666666666666
panda,feasible,trac_ik_100ms,0.5,0.9502666666666667
panda,feasible,trac_ik_100ms,1,0.9786666666666667
panda,feasible,trac_ik_100ms,2,0.9788
panda,feasible,trac_ik_100ms,5,0.9788
panda,feasible,trac_ik_100ms,10,0.9788
panda,feasible,trac_ik_100ms,20,0.9788
panda,feasible,trac_ik_100ms,50,0.9788
panda,feasible,trac_ik_100ms,100,0.9788
panda,feasible,trac_ik_100ms,200,0.9788
panda,feasible,trac_ik_100ms,400,0.9788
panda,feasible,trac_ik_100ms,800,0.9788
panda,feasible,trac_ik_20ms,0.1,0.0
panda,feasible,trac_ik_20ms,0.25,0.6488
panda,feasible,trac_ik_20ms,0.5,0.9497333333333333
panda,feasible,trac_ik_20ms,1,0.9778666666666667
panda,feasible,trac_ik_20ms,2,0.9781333333333333
panda,feasible,trac_ik_20ms,5,0.9782666666666666
panda,feasible,trac_ik_20ms,10,0.9782666666666666
panda,feasible,trac_ik_20ms,20,0.9782666666666666
panda,feasible,trac_ik_20ms,50,0.9782666666666666
panda,feasible,trac_ik_20ms,100,0.9782666666666666
panda,feasible,trac_ik_20ms,200,0.9782666666666666
panda,feasible,trac_ik_20ms,400,0.9782666666666666
panda,feasible,trac_ik_20ms,800,0.9782666666666666
panda,feasible,trac_ik_400ms,0.1,0.0
panda,feasible,trac_ik_400ms,0.25,0.6381333333333333
panda,feasible,trac_ik_400ms,0.5,0.9488
panda,feasible,trac_ik_400ms,1,0.9792
panda,feasible,trac_ik_400ms,2,0.9793333333333333
panda,feasible,trac_ik_400ms,5,0.9793333333333333
panda,feasible,trac_ik_400ms,10,0.9793333333333333
panda,feasible,trac_ik_400ms,20,0.9793333333333333
panda,feasible,trac_ik_400ms,50,0.9793333333333333
panda,feasible,trac_ik_400ms,100,0.9793333333333333
panda,feasible,trac_ik_400ms,200,0.9793333333333333
panda,feasible,trac_ik_400ms,400,0.9793333333333333
panda,feasible,trac_ik_400ms,800,0.9793333333333333
panda,feasible,trac_ik_5ms,0.1,0.0
panda,feasible,trac_ik_5ms,0.25,0.6453333333333333
panda,feasible,trac_ik_5ms,0.5,0.9513333333333334
panda,feasible,trac_ik_5ms,1,0.9789333333333333
panda,feasible,trac_ik_5ms,2,0.9789333333333333
panda,feasible,trac_ik_5ms,5,0.9790666666666666
panda,feasible,trac_ik_5ms,10,0.9790666666666666
panda,feasible,trac_ik_5ms,20,0.9790666666666666
panda,feasible,trac_ik_5ms,50,0.9790666666666666
panda,feasible,trac_ik_5ms,100,0.9790666666666666
panda,feasible,trac_ik_5ms,200,0.9790666666666666
panda,feasible,trac_ik_5ms,400,0.9790666666666666
panda,feasible,trac_ik_5ms,800,0.9790666666666666
ur5e,all,always_hard,0.1,0.0
ur5e,all,always_hard,0.25,0.0
ur5e,all,always_hard,0.5,0.0
ur5e,all,always_hard,1,0.0028888888888888888
ur5e,all,always_hard,2,0.7901111111111111
ur5e,all,always_hard,5,0.826
ur5e,all,always_hard,10,0.8326666666666667
ur5e,all,always_hard,20,0.8333333333333334
ur5e,all,always_hard,50,0.8333333333333334
ur5e,all,always_hard,100,0.8333333333333334
ur5e,all,always_hard,200,0.8333333333333334
ur5e,all,always_hard,400,0.8333333333333334
ur5e,all,always_hard,800,0.8333333333333334
ur5e,all,full_cghik,0.1,0.0
ur5e,all,full_cghik,0.25,0.0
ur5e,all,full_cghik,0.5,0.0
ur5e,all,full_cghik,1,0.0
ur5e,all,full_cghik,2,0.5978888888888889
ur5e,all,full_cghik,5,0.826
ur5e,all,full_cghik,10,0.8326666666666667
ur5e,all,full_cghik,20,0.8333333333333334
ur5e,all,full_cghik,50,0.8333333333333334
ur5e,all,full_cghik,100,0.8333333333333334
ur5e,all,full_cghik,200,0.8333333333333334
ur5e,all,full_cghik,400,0.8333333333333334
ur5e,all,full_cghik,800,0.8333333333333334
ur5e,all,geometry_threshold,0.1,0.0
ur5e,all,geometry_threshold,0.25,0.0
ur5e,all,geometry_threshold,0.5,0.0
ur5e,all,geometry_threshold,1,0.0
ur5e,all,geometry_threshold,2,0.6024444444444444
ur5e,all,geometry_threshold,5,0.8255555555555556
ur5e,all,geometry_threshold,10,0.8326666666666667
ur5e,all,geometry_threshold,20,0.8333333333333334
ur5e,all,geometry_threshold,50,0.8333333333333334
ur5e,all,geometry_threshold,100,0.8333333333333334
ur5e,all,geometry_threshold,200,0.8333333333333334
