robot,method,uid,family,latency,latency_samples_ns,success,fev,deadline,all_success
panda,trac_ik_5ms,a8e067b6b3a300cdf704e0dfe2195ee4faf74da06e2ebf3d249684c07ed28904,constructed_inexecutable,5132209.333333333,"[5091031, 5201161, 5104436]",0.0,,0.0,False
panda,trac_ik_5ms,a90f3806b80166aaf61d65c249e65083f96d8989994591ed09956b8a67b78845,constructed_inexecutable,5141541.0,"[5141594, 5140222, 5142807]",0.0,,0.0,False
panda,trac_ik_5ms,a92330f4deaa50f5dd9459be891604818aad57f41456a109ff1039f72468bf2c,near_singular,241033.0,"[299695, 180001, 243403]",1.0,,1.0,True
panda,trac_ik_5ms,a951ef008c90888c399a0208950051ca7e7f0afb37826a66587c7ce8029680f8,near_limit,233107.33333333334,"[206536, 257444, 235342]",1.0,,1.0,True
panda,trac_ik_5ms,a95454f888424ed4267762f145ccbd60f8e70e6cf5337e1302cafedbed758f0f,constructed_inexecutable,5149858.0,"[5150799, 5102182, 5196593]",0.0,,0.0,False
panda,trac_ik_5ms,a975d5d32c9ed4c7c6827f75201de9b6db3846c502868b1e33eb7cb242d6e954,local,236029.33333333334,"[252575, 215481, 240032]",1.0,,1.0,True
panda,trac_ik_5ms,a97e2f945323ea89581d6c82ec5e38057861d5caff134f359d1a5cbe0b7be2b8,near_limit,222843.66666666666,"[226858, 224788, 216885]",1.0,,1.0,True
panda,trac_ik_5ms,a9904633ce6dcb73a915d86b9e96dc505fef59c57a27d1827ae13bd046fc45c3,constructed_inexecutable,5197690.666666667,"[5241143, 5160229, 5191700]",0.0,,0.0,False
panda,trac_ik_5ms,a995b1ca6abcec4fed0a15c0fe40836cb7bec65e8cee78db2ee8be16a492fd23,near_singular,197899.33333333334,"[190916, 180864, 221918]",1.0,,1.0,True
panda,trac_ik_5ms,a99629488af49826904ce121d09da7a2ed0c63484eeb9de9e8c8a58d51cee97c,local,205272.0,"[207549, 205273, 202994]",1.0,,1.0,True
panda,trac_ik_5ms,a9c7e03513de0b07ec02dc3faff47cdd39fec611b130df49525d8ff95f64eb04,local,230865.0,"[223936, 212965, 255694]",1.0,,1.0,True
panda,trac_ik_5ms,a9d74d4574a5afa27b74dbe10dc07f094b4da346cee7a7edeaaa41e62b164a23,near_limit,219839.66666666666,"[208442, 253630, 197447]",1.0,,1.0,True
panda,trac_ik_5ms,a9f0af1d473ad7ec1271e6ba44d402d9163959c9339c3006109b145a8e9f13c2,local,272422.6666666667,"[281309, 294270, 241689]",1.0,,1.0,True
panda,trac_ik_5ms,aa0934c1d1d4840f25cd8b6ac8be5f7c63e714fc3bca55ae7f53e855159fbdd1,near_singular,252695.66666666666,"[241946, 310280, 205861]",1.0,,1.0,True
panda,trac_ik_5ms,aa10abd4bd070817c1ced46fb35814e5a7166859782ecbd9e6bf846b38f27928,constructed_inexecutable,5128211.666666667,"[5124432, 5127361, 5132842]",0.0,,0.0,False
panda,trac_ik_5ms,aa1299e4327ee42ff93915ec9350570a1608a5035a4b6a08018547963dcafb2b,hard_feasible,385470.6666666667,"[349029, 383922, 423461]",1.0,,1.0,True
panda,trac_ik_5ms,aa8e7793a16e732135a321f977f89da3358173fc61960fa14448b9bc75343e99,local,200856.66666666666,"[221234, 188766, 192570]",1.0,,1.0,True
panda,trac_ik_5ms,aac13a668b7cf6232bc8610874a9273743dce3433f6afa8d4525f8b0a2fa9430,near_limit,192211.33333333334,"[207617, 187195, 181822]",1.0,,1.0,True
panda,trac_ik_5ms,aac4769e6db7a2aad8a2493e0ebb19f7f87d7c9caee36ce2c4af293fbbce3565,constructed_inexecutable,5178501.333333333,"[5245013, 5159476, 5131015]",0.0,,0.0,False
panda,trac_ik_5ms,aac5165d611096deae22745701efa56106d9671b9115d7b032a0327a17d7b733,constructed_inexecutable,5151816.333333333,"[5151140, 5150950, 5153359]",0.0,,0.0,False
panda,trac_ik_5ms,aac6f80dbb70546db591051bcc8716e63de0fcc2fbe3a926efaf110027888530,hard_feasible,286376.3333333333,"[212944, 333908, 312277]",1.0,,1.0,True
