robot,subset,method,query_count,calls,verified_success_rate,accepted_within_20ms_rate,accepted_contract_violations,total_latency_ns,p50_ms,p95_ms,p99_ms,mean_fev,reject_count,defer_count,fallback_count,fallback_rate,route_counts,accepted_position_error_median,accepted_position_error_max,accepted_orientation_error_median,accepted_orientation_error_max,accepted_max_joint_step_median,accepted_max_joint_step_max,accepted_max_velocity_utilization_median,accepted_max_velocity_utilization_max,witness_false_reject_rate,all_repeats_success_query_count
ur5e,near_limit,reject_only_hard,500,1500,1.0,1.0,0,2802220423,1.772911,2.3236327,3.1840031199999994,3.04,0,0,0,0.0,"{""hard"": 1500}",0.00010563437222614778,0.0009702788050351906,0.00018138447796302401,0.008346914046530346,0.018309475518738294,0.05267368439914222,0.2914043534227244,0.8383277242985935,0.0,500
ur5e,near_limit,routing_only,500,1500,1.0,1.0,0,2808033506,1.7791625,2.3509705999999997,3.2164708,3.036,0,0,0,0.0,"{""hard"": 1143, ""easy"": 357}",0.00010870275638890563,0.0009702788050351906,0.00018138447796302401,0.008346914046530346,0.01831629240019894,0.05267368439914222,0.29151284746081774,0.8383277242985935,0.0,500
ur5e,near_limit,trac_ik_100ms,500,1500,1.0,1.0,0,339088993,0.2078105,0.3439848499999999,0.42320274999999996,,0,0,0,0.0,"{""trac_ik_speed"": 1500}",6.71078309417224e-08,1.2351228331795422e-05,4.231323156703046e-08,1.2340072380932172e-05,0.01862653983537027,0.03946401992270587,0.2964505887497277,0.6280893844975677,0.0,500
ur5e,near_limit,trac_ik_20ms,500,1500,1.0,1.0,0,342813598,0.2106345,0.3433067,0.4136341899999999,,0,0,0,0.0,"{""trac_ik_speed"": 1500}",6.720329770000193e-08,1.2351228331795422e-05,4.231323156703046e-08,1.2340072380932172e-05,0.01862653983537027,0.03946401992270587,0.2964505887497277,0.6280893844975677,0.0,500
ur5e,near_limit,trac_ik_400ms,500,1500,1.0,1.0,0,345940972,0.2126945,0.34718895,0.41930245999999993,,0,0,0,0.0,"{""trac_ik_speed"": 1500}",6.649464072329589e-08,1.2351228331795422e-05,4.231323156703046e-08,1.2340072380932172e-05,0.01862653983537027,0.03946401992270587,0.2964505887497277,0.6280893844975677,0.0,500
ur5e,near_limit,trac_ik_5ms,500,1500,1.0,1.0,0,345960428,0.2126475,0.3516069,0.42944916999999994,,0,0,0,0.0,"{""trac_ik_speed"": 1500}",6.71078309417224e-08,1.2351228331795422e-05,4.231323156703046e-08,1.2340072380932172e-05,0.01862653983537027,0.03946401992270587,0.2964505887497277,0.6280893844975677,0.0,500
ur5e,near_singular,always_hard,500,1500,1.0,1.0,0,2143066938,1.3332235,1.89528715,2.64925687,3.048,0,0,0,0.0,"{""hard"": 1500}",0.00028163147968832185,0.0009993577841478913,0.0008087126960701092,0.0059604572827445185,0.014835632265924992,0.041800403264584785,0.23611642090155782,0.6652740802793267,0.0,500
ur5e,near_singular,full_cghik,500,1500,1.0,1.0,0,2809020049,1.7830485,2.349669349999999,2.90919905,3.048,0,0,0,0.0,"{""hard"": 1500}",0.00028163147968832185,0.0009993577841478913,0.0008087126960701092,0.0059604572827445185,0.014835632265924992,0.041800403264584785,0.23611642090155782,0.6652740802793267,0.0,500
ur5e,near_singular,geometry_threshold,500,1500,1.0,1.0,0,2827633709,1.774796,2.3919677999999998,3.34251041,3.068,0,0,0,0.0,"{""hard"": 1080, ""easy"": 420}",0.00028184312771926083,0.0009993577841478913,0.0008140207061911131,0.0066579568109183555,0.014835632265924992,0.041800403264584785,0.23611642090155782,0.6652740802793267,0.0,500
ur5e,near_singular,p50_selection,500,1500,1.0,1.0,0,2845018854,1.7778040000000002,2.5118988999999994,3.37677406,3.22,0,0,0,0.0,"{""easy"": 1341, ""hard"": 159}",0.00028110745460020617,0.0009993577841478913,0.0008129412113828483,0.0066579568109183555,0.014770091994551926,0.041800403264584785,0.23507331508549706,0.6652740802793267,0.0,500
ur5e,near_singular,reject_only_hard,500,1500,1.0,1.0,0,2805954076,1.775359,2.30364135,3.1320818399999997,3.048,0,0,0,0.0,"{""hard"": 1500}",0.00028163147968832185,0.0009993577841478913,0.0008087126960701092,0.0059604572827445185,0.014835632265924992,0.041800403264584785,0.23611642090155782,0.6652740802793267,0.0,500
ur5e,near_singular,routing_only,500,1500,1.0,1.0,0,2817188629,1.7812670000000002,2.34445265,3.1652983199999993,3.048,0,0,0,0.0,"{""hard"": 1500}",0.00028163147968832185,0.0009993577841478913,0.0008087126960701092,0.0059604572827445185,0.014835632265924992,0.041800403264584785,0.23611642090155782,0.6652740802793267,0.0,500
ur5e,near_singular,trac_ik_100ms,500,1500,0.998,0.9973333333333333,0,427454527,0.2234985,0.3719901,0.5101797499999997,,0,0,0,0.0,"{""trac_ik_speed"": 1500}",7.960006830952244e-07,1.4551914692136981e-05,8.90401421958555e-08,1.3496629143849555e-05,0.017017956516848898,0.05376307308796324,0.27084919009794356,0.8556658837760199,0.0,499
ur5e,near_singular,trac_ik_20ms,500,1500,0.9973333333333333,0.9973333333333333,0,416086355,0.221908,0.37030325,0.48319749999999995,,0,0,0,0.0,"{""trac_ik_speed"": 1500}",7.205993846860731e-07,1.4551914692136981e-05,8.137001481843846e-08,1.2677294805130734e-05,0.016991216346317728,0.05376307308796324,0.27042360706602797,0.8556658837760199,0.0,498
ur5e,near_singular,trac_ik_400ms,500,1500,0.998,0.998,0,382590089,0.22591699999999998,0.3803697,0.4893417799999996,,0,0,0,0.0,"{""trac_ik_speed"": 1500}",7.893624080581389e-07,1.4562394044243868e-05,9.446917143409321e-08,1.2677294805130734e-05,0.016991216346317728,0.05376307308796324,0.27042360706602797,0.8556658837760199,0.0,499
ur5e,near_singular,trac_ik_5ms,500,1500,0.9973333333333333,0.9973333333333333,0,375031986,0.2197565,0.36170084999999996,0.5138418499999996,,0,0,0,0.0,"{""trac_ik_speed"": 1500}",7.05196875954371e-07,1.560848110405206e-05,8.643516620805289e-08,1.2677294805130734e-05,0.017004586431583313,0.05376307308796324,0.27063639858198574,0.8556658837760199,0.0,498
