robot,workload,uid,family,frame,repeat,same_complete_query,routing_only_accepted,same_query_verified_rescue,original_point_witness,full_latency_ns,routing_only_latency_ns
panda,points,3a72124ba4d4d0f92d0ffa7538ef414624bc8f01f5205b42760c0e88b0e07d98,constructed_inexecutable,0,2,True,False,False,False,2522979,295264566
panda,points,41f4d716d7dc94e9d56eb574396850d59d5ea736d43352030fbbfbdc1bab2d9d,constructed_inexecutable,0,0,True,False,False,False,1931175,215344289
panda,points,41f4d716d7dc94e9d56eb574396850d59d5ea736d43352030fbbfbdc1bab2d9d,constructed_inexecutable,0,1,True,False,False,False,2119579,215965306
panda,points,41f4d716d7dc94e9d56eb574396850d59d5ea736d43352030fbbfbdc1bab2d9d,constructed_inexecutable,0,2,True,False,False,False,1836959,215738621
panda,points,7cb2e5ca5292219ed7b93b24736412b418c6e3bc39ba9db33736b652d13dc4ff,constructed_inexecutable,0,0,True,False,False,False,1446968,300027917
panda,points,7cb2e5ca5292219ed7b93b24736412b418c6e3bc39ba9db33736b652d13dc4ff,constructed_inexecutable,0,1,True,False,False,False,1576422,297860642
panda,points,7cb2e5ca5292219ed7b93b24736412b418c6e3bc39ba9db33736b652d13dc4ff,constructed_inexecutable,0,2,True,False,False,False,1408395,300537033
panda,points,274db12d0573f3bebd711ed228faba49a82f163afc9a40d7efbca07bf9017858,constructed_inexecutable,0,0,True,False,False,False,1356224,304759263
panda,points,274db12d0573f3bebd711ed228faba49a82f163afc9a40d7efbca07bf9017858,constructed_inexecutable,0,1,True,False,False,False,1315204,305321507
panda,points,274db12d0573f3bebd711ed228faba49a82f163afc9a40d7efbca07bf9017858,constructed_inexecutable,0,2,True,False,False,False,1486417,308064242
panda,points,878dca37a52854adadc0e79046b54c34a5dfdf6737a5aa62366129eb9b8a12a1,constructed_inexecutable,0,0,True,False,False,False,1954077,280560021
panda,points,878dca37a52854adadc0e79046b54c34a5dfdf6737a5aa62366129eb9b8a12a1,constructed_inexecutable,0,1,True,False,False,False,1861314,281201083
panda,points,878dca37a52854adadc0e79046b54c34a5dfdf6737a5aa62366129eb9b8a12a1,constructed_inexecutable,0,2,True,False,False,False,1921172,283136772
panda,points,38155b1cfe36cdeec6a658ef4b7c1c3ad1162868112fc46d03bd33aa3441d17e,constructed_inexecutable,0,0,True,False,False,False,1805300,290767902
panda,points,38155b1cfe36cdeec6a658ef4b7c1c3ad1162868112fc46d03bd33aa3441d17e,constructed_inexecutable,0,1,True,False,False,False,1889803,290592276
panda,points,38155b1cfe36cdeec6a658ef4b7c1c3ad1162868112fc46d03bd33aa3441d17e,constructed_inexecutable,0,2,True,False,False,False,1530536,288246774
panda,points,01e549f81fd10de7a782009c6d6d622e8ca2b834b886bfdde9d5e384c094ed35,constructed_inexecutable,0,0,True,False,False,False,1801590,170801055
panda,points,01e549f81fd10de7a782009c6d6d622e8ca2b834b886bfdde9d5e384c094ed35,constructed_inexecutable,0,1,True,False,False,False,1918090,179717104
panda,points,01e549f81fd10de7a782009c6d6d622e8ca2b834b886bfdde9d5e384c094ed35,constructed_inexecutable,0,2,True,False,False,False,1940098,170130061
panda,points,ec8e89e45a9739a06a7fafbfe951c4c630d70695c50d12925115620ee453a9d3,constructed_inexecutable,0,0,True,False,False,False,2003956,297361134
panda,points,ec8e89e45a9739a06a7fafbfe951c4c630d70695c50d12925115620ee453a9d3,constructed_inexecutable,0,1,True,False,False,False,1970033,296271416
panda,points,ec8e89e45a9739a06a7fafbfe951c4c630d70695c50d12925115620ee453a9d3,constructed_inexecutable,0,2,True,False,False,False,1384537,296872692
panda,points,45a830a887f83a618fb3ff82e82f67cfe007e4d181294e78ef0b212743fbe410,constructed_inexecutable,0,0,True,False,False,False,1558715,284220531
panda,points,45a830a887f83a618fb3ff82e82f67cfe007e4d181294e78ef0b212743fbe410,constructed_inexecutable,0,1,True,False,False,False,1801299,284133655
panda,points,45a830a887f83a618fb3ff82e82f67cfe007e4d181294e78ef0b212743fbe410,constructed_inexecutable,0,2,True,False,False,False,1478037,286252338
panda,points,6991e7c65f33558e2df856244b6ec92104885a5b70f56e6918bbc8a96e1030b0,constructed_inexecutable,0,0,True,False,False,False,2142528,299417454
panda,points,6991e7c65f33558e2df856244b6ec92104885a5b70f56e6918bbc8a96e1030b0,constructed_inexecutable,0,1,True,False,False,False,1964255,297276917
panda,points,6991e7c65f33558e2df856244b6ec92104885a5b70f56e6918bbc8a96e1030b0,constructed_inexecutable,0,2,True,False,False,False,1925366,298338365
panda,points,5e1921765c2a5ead0b29e8f18cd2926247498dac52a9c4ff31c82f00b2f22a15,constructed_inexecutable,0,0,True,False,False,False,1439254,301012037
panda,points,5e1921765c2a5ead0b29e8f18cd2926247498dac52a9c4ff31c82f00b2f22a15,constructed_inexecutable,0,1,True,False,False,False,1386848,299093915
panda,points,5e1921765c2a5ead0b29e8f18cd2926247498dac52a9c4ff31c82f00b2f22a15,constructed_inexecutable,0,2,True,False,False,False,1489738,297025971
panda,points,e7592e11cb32bbf3d2d53c61ad9870e82ffd076357aaf7ad41e52b00b5635469,constructed_inexecutable,0,0,True,False,False,False,1953109,296670174
panda,points,e7592e11cb32bbf3d2d53c61ad9870e82ffd076357aaf7ad41e52b00b5635469,constructed_inexecutable,0,1,True,False,False,False,1485468,295295459
panda,points,e7592e11cb32bbf3d2d53c61ad9870e82ffd076357aaf7ad41e52b00b5635469,constructed_inexecutable,0,2,True,False,False,False,1507541,296629984
panda,points,3d8c69a98cf3fea3fd30ce8225f3af49852259fbf4c65619f2ef4cf52047e130,constructed_inexecutable,0,0,True,False,False,False,2024467,308739518
panda,points,3d8c69a98cf3fea3fd30ce8225f3af49852259fbf4c65619f2ef4cf52047e130,constructed_inexecutable,0,1,True,False,False,False,1955371,311159426
panda,points,3d8c69a98cf3fea3fd30ce8225f3af49852259fbf4c65619f2ef4cf52047e130,constructed_inexecutable,0,2,True,False,False,False,1965981,312235868
panda,points,add671a12213f9bde20013e75fd7905029c4040aa7fb2384cb09b9561503bbdd,constructed_inexecutable,0,0,True,False,False,False,1877049,291617724
panda,points,add671a12213f9bde20013e75fd7905029c4040aa7fb2384cb09b9561503bbdd,constructed_inexecutable,0,1,True,False,False,False,1870206,292954641
panda,points,add671a12213f9bde20013e75fd7905029c4040aa7fb2384cb09b9561503bbdd,constructed_inexecutable,0,2,True,False,False,False,1845845,292724751
panda,points,a9904633ce6dcb73a915d86b9e96dc505fef59c57a27d1827ae13bd046fc45c3,constructed_inexecutable,0,0,True,False,False,False,1865759,264780996
panda,points,a9904633ce6dcb73a915d86b9e96dc505fef59c57a27d1827ae13bd046fc45c3,constructed_inexecutable,0,1,True,False,False,False,1628078,259665934
panda,points,a9904633ce6dcb73a915d86b9e96dc505fef59c57a27d1827ae13bd046fc45c3,constructed_inexecutable,0,2,True,False,False,False,2088899,260298895
panda,points,2d10ae491375efc2d86d6034e64cffe62a267019e0ab2824f192423a133d556a,constructed_inexecutable,0,0,True,False,False,False,1951003,308628423
panda,points,2d10ae491375efc2d86d6034e64cffe62a267019e0ab2824f192423a133d556a,constructed_inexecutable,0,1,True,False,False,False,1902932,305354135
panda,points,2d10ae491375efc2d86d6034e64cffe62a267019e0ab2824f192423a133d556a,constructed_inexecutable,0,2,True,False,False,False,1910112,304942429
panda,points,92a624ebc8db9a85a351f1d4245c074940e653ead5ceac7fce2ce24a2238d893,constructed_inexecutable,0,0,True,False,False,False,1847534,310443395
panda,points,92a624ebc8db9a85a351f1d4245c074940e653ead5ceac7fce2ce24a2238d893,constructed_inexecutable,0,1,True,False,False,False,1917452,310724905
panda,points,92a624ebc8db9a85a351f1d4245c074940e653ead5ceac7fce2ce24a2238d893,constructed_inexecutable,0,2,True,False,False,False,1844344,315857325
panda,points,04555434a989000979f6481220584cfc4248617cefc1112a576c3e907f46a996,constructed_inexecutable,0,0,True,False,False,False,1969139,284961925
panda,points,04555434a989000979f6481220584cfc4248617cefc1112a576c3e907f46a996,constructed_inexecutable,0,1,True,False,False,False,1938533,275569417
panda,points,04555434a989000979f6481220584cfc4248617cefc1112a576c3e907f46a996,constructed_inexecutable,0,2,True,False,False,False,1918719,279832451
panda,points,20c322f98088bd6ce53b745ad8707dee8d0923c4b8111876959c80a0337c8ea9,constructed_inexecutable,0,0,True,False,False,False,2051578,297784853
panda,points,20c322f98088bd6ce53b745ad8707dee8d0923c4b8111876959c80a0337c8ea9,constructed_inexecutable,0,1,True,False,False,False,2076048,295713070
