robot,baseline,uid,family,free_fraction,baseline_fraction,change,stable_all_vs_none
panda,tar_nominal,8ffc69b10a990e9806b11a88aa9d56ad2edaf960a5dbd463eff00cf8c0b24859,high_curvature,1.0,1.0,same,False
panda,tar_nominal,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,smooth,1.0,1.0,same,False
panda,tar_nominal,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,smooth,1.0,1.0,same,False
panda,tar_nominal,9a94337fb5b3319c8ba9dcce20e827630b16d9a348f1f3aa8709c5d0df3406af,near_singular,0.6666666666666666,1.0,lost,False
panda,tar_nominal,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,smooth,1.0,1.0,same,False
panda,tar_nominal,a74d26d3694c4e4d15b8817c29ef75a4bd43cb4d8d1ebf3ae4154e26d80ab4a4,smooth,1.0,1.0,same,False
panda,tar_nominal,b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a,joint_limit_return,0.0,0.0,same,False
panda,tar_nominal,b88225558b53c7528d4fc1a56455ceac395ea6a65306515006580362af026e1e,high_curvature,1.0,1.0,same,False
panda,tar_nominal,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,smooth,1.0,1.0,same,False
panda,tar_nominal,bb2d7133de7083285ff7ede00b959e62fc3bf5dc626bfa521b77361d0f3f759e,high_curvature,1.0,1.0,same,False
panda,tar_nominal,c27c85dfc1ac902402f2c27d5ecd007325d528654413acef4dab0af30af48583,high_curvature,1.0,1.0,same,False
panda,tar_nominal,c99e2c9b46eb1858a0dd2f525833e49b6f0b7c25001781f1b00044934372d935,near_singular,1.0,1.0,same,False
panda,tar_nominal,ca9065ec04392f64d1cce7cea6e6ae7ba224495be6a41fa0902e34ddeb925465,near_singular,0.3333333333333333,0.0,gained,False
panda,tar_nominal,cdb906e5ffe0888b5856461ef6bee1b8809232e928fd853beb25f1903a7d798a,smooth,1.0,1.0,same,False
panda,tar_nominal,d8e06950cec2579c739f7f6d3dbb3628755dfd76be5740fad3bec38b4ef94cc6,near_singular,0.6666666666666666,1.0,lost,False
panda,tar_nominal,e7257c22abc9d850802582540365f4bc972868280e40708e45700776b6ad2aca,high_curvature,1.0,1.0,same,False
panda,tar_nominal,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,smooth,1.0,1.0,same,False
panda,tar_nominal,ea5503530085a4b7fba1457389f090742de31c9aa6ebe8907aa867289b032370,near_singular,0.3333333333333333,0.6666666666666666,lost,False
panda,tar_nominal,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,smooth,1.0,1.0,same,False
panda,tar_nominal,f77f30aad07c01747cccac5f99de0454266b5b9453dc6357da97f2c8d2529cfc,high_curvature,1.0,1.0,same,False
panda,tar_nominal,f786741c9f59d7d552811f1959141226fb4d169d5c149b34b1fb99edb7839b2c,high_curvature,1.0,1.0,same,False
panda,tar_nominal,fd96ca4300b705b343cbde5bb7d97076acca0d187b1d78fc9094c6cac23b640b,high_curvature,1.0,1.0,same,False
panda,tar_fixed,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,1.0,1.0,same,False
panda,tar_fixed,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,joint_limit_return,1.0,1.0,same,False
panda,tar_fixed,166f9f9c01b7bdb7e23bb78eb834aa40e45e3eac2d5c263419996286861ad9dc,joint_limit_return,1.0,1.0,same,False
