robot,method,baseline,metric,difference,difference_ci,ratio,ratio_ci
panda,single_gn_k0,trac_task_5ms,frame_success,0.018611111111111113,"[0.0026666666666666726,0.04011111111111111]",1.0190546612820657,"[1.0026990553306343,1.041787243893969]"
panda,single_gn_k0,trac_task_5ms,successful_prefix,3.425,"[0.4,7.800208333333334]",1.0234790059982861,"[1.0026990553306343,1.0551115876594608]"
panda,single_gn_k0,trac_task_5ms,acceleration_rms,-0.9728665366745343,"[-1.9882598676463477,-0.0306611328362324]",0.7607432433504376,"[0.5781678727755866,0.991486899922939]"
panda,single_gn_k0,pink_qp,completion,0.05,"[0.0,0.125]",1.054054054054054,"[1.0,1.1470588235294117]"
panda,single_gn_k0,pink_qp,deadline_completion,0.05,"[0.0,0.125]",1.054054054054054,"[1.0,1.1470588235294117]"
panda,single_gn_k0,pink_qp,total_latency_ns,-93167505.76666667,"[-98381154.33125,-86460653.13229167]",0.31651136235054556,"[0.2917958401458771,0.35848920173129284]"
panda,single_gn_k0,pink_qp,frame_success,0.01216666666666667,"[0.0,0.030000000000000016]",1.0123749788099676,"[1.0,1.0310811222064176]"
panda,single_gn_k0,pink_qp,successful_prefix,1.825,"[0.0,4.5]",1.0123749788099679,"[1.0,1.0310811222064173]"
panda,single_gn_k0,pink_qp,acceleration_rms,-1.1111123009480888,"[-2.409439129936543,0.29564781338362667]",0.7357293741108674,"[0.5366255317547509,1.0879242855910545]"
ur5e,single_gn_k1,single_gn_k0,completion,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,single_gn_k1,single_gn_k0,deadline_completion,0.008333333333333335,"[0.0,0.025]",1.0084033613445378,"[1.0,1.0256410256410255]"
ur5e,single_gn_k1,single_gn_k0,total_latency_ns,-493611.325,"[-1316111.8697916667,-40385.34958333363]",0.9874717738605744,"[0.9672850593277272,0.9989643251818504]"
ur5e,single_gn_k1,single_gn_k0,frame_success,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,single_gn_k1,single_gn_k0,successful_prefix,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,single_gn_k1,single_gn_k0,acceleration_rms,0.05218407467956154,"[-0.2542843601966833,0.3223334874774152]",1.009085201696091,"[0.9576591207009062,1.0614285456539387]"
ur5e,single_gn_k1,trac_task_5ms,completion,0.03333333333333334,"[0.0,0.09166666666666667]",1.0344827586206897,"[1.0,1.1009174311926606]"
