robot,uid,site_id,family,method,fixed_updates,repeat,known_zero,zero_found,objective,tau,accepted,changed_exact,max_change_rad,numerical_ns,saved_backup_ns,reconstructed_outer_ns,fixed_actual_updates,joint_actual_updates,zero_found_stage,numerical_phase_times_ns
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,tar_corrected,6,0,True,True,0.0,0.0,True,False,0.0,3313046,192213,3505259,0,0,initialization,"{""initialization_ns"":193653,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2961032}"
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,tar_old,0,1,True,False,2.6474231096295263e-20,0.0,True,True,8.5087492607272e-12,5355639,192213,5547852,0,2,,
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,tar_corrected,4,1,True,True,0.0,0.0,True,False,0.0,3331172,192213,3523385,0,0,initialization,"{""initialization_ns"":208275,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2958468}"
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,tar_corrected,2,2,True,True,0.0,0.0,True,False,0.0,3328348,192213,3520561,0,0,initialization,"{""initialization_ns"":203910,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2963105}"
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,tar_old,0,0,True,False,2.6474231096295263e-20,0.0,True,True,8.5087492607272e-12,5241431,192213,5433644,0,2,,
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,tar_corrected,2,0,True,True,0.0,0.0,True,False,0.0,3294816,192213,3487029,0,0,initialization,"{""initialization_ns"":191829,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2941380}"
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,tar_corrected,2,1,True,True,0.0,0.0,True,False,0.0,3278831,192213,3471044,0,0,initialization,"{""initialization_ns"":193218,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2928390}"
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,tar_old,0,2,True,False,2.6474231096295263e-20,0.0,True,True,8.5087492607272e-12,5238699,192213,5430912,0,2,,
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,tar_corrected,4,2,True,True,0.0,0.0,True,False,0.0,3290730,192213,3482943,0,0,initialization,"{""initialization_ns"":189596,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2941553}"
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,tar_corrected,6,2,True,True,0.0,0.0,True,False,0.0,3299456,192213,3491669,0,0,initialization,"{""initialization_ns"":187292,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2949826}"
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,tar_corrected,4,0,True,True,0.0,0.0,True,False,0.0,3299782,192213,3491995,0,0,initialization,"{""initialization_ns"":192047,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2948451}"
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trajectory_04,smooth,tar_corrected,2,0,True,True,0.0,0.0,True,False,0.0,3462713,317832,3780545,0,0,initialization,"{""initialization_ns"":245871,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2974471}"
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trajectory_04,smooth,tar_corrected,4,2,True,True,0.0,0.0,True,False,0.0,3286791,317832,3604623,0,0,initialization,"{""initialization_ns"":198156,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2929317}"
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trajectory_04,smooth,tar_corrected,6,0,True,True,0.0,0.0,True,False,0.0,3368389,317832,3686221,0,0,initialization,"{""initialization_ns"":199916,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":3009701}"
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trajectory_04,smooth,tar_corrected,2,1,True,True,0.0,0.0,True,False,0.0,3389440,317832,3707272,0,0,initialization,"{""initialization_ns"":189887,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":3042197}"
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trajectory_04,smooth,tar_corrected,2,2,True,True,0.0,0.0,True,False,0.0,3322017,317832,3639849,0,0,initialization,"{""initialization_ns"":187505,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2977964}"
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trajectory_04,smooth,tar_old,0,1,True,False,1.1553825686866392e-19,0.0,True,True,1.2572609620065123e-11,5165583,317832,5483415,0,2,,
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trajectory_04,smooth,tar_corrected,4,0,True,True,0.0,0.0,True,False,0.0,3320811,317832,3638643,0,0,initialization,"{""initialization_ns"":206482,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2948399}"
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trajectory_04,smooth,tar_corrected,4,1,True,True,0.0,0.0,True,False,0.0,3278238,317832,3596070,0,0,initialization,"{""initialization_ns"":191030,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2923471}"
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trajectory_04,smooth,tar_corrected,6,1,True,True,0.0,0.0,True,False,0.0,3277676,317832,3595508,0,0,initialization,"{""initialization_ns"":193325,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2925773}"
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trajectory_04,smooth,tar_old,0,2,True,False,1.1553825686866392e-19,0.0,True,True,1.2572609620065123e-11,5112998,317832,5430830,0,2,,
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trajectory_04,smooth,tar_corrected,6,2,True,True,0.0,0.0,True,False,0.0,3297485,317832,3615317,0,0,initialization,"{""initialization_ns"":199216,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2934847}"
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trajectory_04,smooth,tar_old,0,0,True,False,1.1553825686866392e-19,0.0,True,True,1.2572609620065123e-11,5109928,317832,5427760,0,2,,
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,trajectory_05,smooth,tar_old,0,0,True,False,7.350631913116086e-19,0.0,True,True,3.7283898191020626e-11,5488475,188021,5676496,0,2,,
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,trajectory_05,smooth,tar_corrected,2,0,True,True,0.0,0.0,True,False,0.0,3393012,188021,3581033,0,0,initialization,"{""initialization_ns"":215574,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":3011504}"
