robot,uid,method,repeat,accepted,latency_ns,reason,raw_file,line
panda,d94e278cfa19dfa045173adaf1e7d366ea36f3e9e9393cb670caed0fa9db87d3,range_loss_matched,2,False,1386715,position_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,23737
panda,d94e278cfa19dfa045173adaf1e7d366ea36f3e9e9393cb670caed0fa9db87d3,range_loss_matched,0,False,1386692,position_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,23744
panda,d94e278cfa19dfa045173adaf1e7d366ea36f3e9e9393cb670caed0fa9db87d3,range_loss_matched,1,False,1391329,position_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,23745
panda,4df9445ef79b670b9eb35058d551b913833ed68b5c69fb8b322cb1ddb5958d89,range_loss_matched,1,False,3052739,position_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,24272
panda,4df9445ef79b670b9eb35058d551b913833ed68b5c69fb8b322cb1ddb5958d89,range_loss_matched,2,False,3032364,position_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,24282
panda,4df9445ef79b670b9eb35058d551b913833ed68b5c69fb8b322cb1ddb5958d89,range_loss_matched,0,False,3057218,position_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,24284
panda,7441315237603f91e2322f63d4c3377bd0e87088c26f7c510a314f90dfbfd392,range_loss_matched,1,False,5384881,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,25013
panda,7441315237603f91e2322f63d4c3377bd0e87088c26f7c510a314f90dfbfd392,range_loss_matched,0,False,5352708,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,25021
panda,7441315237603f91e2322f63d4c3377bd0e87088c26f7c510a314f90dfbfd392,range_loss_matched,2,False,5341414,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,25027
panda,4eed2b58f403258dfcc5e734efce3edbe11021bd07a6bd34385ee0e17fb2f364,range_loss_matched,0,False,6685076,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,25084
panda,4eed2b58f403258dfcc5e734efce3edbe11021bd07a6bd34385ee0e17fb2f364,range_loss_matched,1,False,5634911,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,25087
panda,4eed2b58f403258dfcc5e734efce3edbe11021bd07a6bd34385ee0e17fb2f364,range_loss_matched,2,False,5647908,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,25096
panda,772edfc546a97728e7f39f19a01993a5927b81b54f6f66f4cde8beba82ce9ce4,fixed_qp1,2,False,1291845,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,26715
panda,772edfc546a97728e7f39f19a01993a5927b81b54f6f66f4cde8beba82ce9ce4,gn,2,False,3516114,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,26719
panda,772edfc546a97728e7f39f19a01993a5927b81b54f6f66f4cde8beba82ce9ce4,fixed_qp2,0,False,2024148,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,26721
panda,772edfc546a97728e7f39f19a01993a5927b81b54f6f66f4cde8beba82ce9ce4,fixed_qp1,1,False,1006352,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,26725
panda,772edfc546a97728e7f39f19a01993a5927b81b54f6f66f4cde8beba82ce9ce4,gn,1,False,3509563,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,26726
panda,772edfc546a97728e7f39f19a01993a5927b81b54f6f66f4cde8beba82ce9ce4,fixed_qp2,1,False,2042855,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,26729
panda,772edfc546a97728e7f39f19a01993a5927b81b54f6f66f4cde8beba82ce9ce4,gn,0,False,3520896,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,26732
