robot,uid,method,anchor_uid,displacement,alpha,accepted,mean_ms,mean_total_local_qp_calls,max_qps_one_local_model,exit_reasons
panda,a42c20de8a0637b5077bb5079c3931ed3d86a5a47ba65938c9b987499d9eb09e,relative,a08ec57059ecc9b35ca849dec8f3cc2e1c63ee3be8066bb028dde63c615b987c,regular,0.5,1.0,0.267695,1.0,1,{}
panda,a42c20de8a0637b5077bb5079c3931ed3d86a5a47ba65938c9b987499d9eb09e,fixed_qp1,a08ec57059ecc9b35ca849dec8f3cc2e1c63ee3be8066bb028dde63c615b987c,regular,0.5,1.0,0.2840346666666667,1.0,1,{}
panda,a42c20de8a0637b5077bb5079c3931ed3d86a5a47ba65938c9b987499d9eb09e,fixed_qp2,a08ec57059ecc9b35ca849dec8f3cc2e1c63ee3be8066bb028dde63c615b987c,regular,0.5,1.0,0.27444266666666667,1.0,1,{}
panda,a42c20de8a0637b5077bb5079c3931ed3d86a5a47ba65938c9b987499d9eb09e,tight,a08ec57059ecc9b35ca849dec8f3cc2e1c63ee3be8066bb028dde63c615b987c,regular,0.5,1.0,0.270923,1.0,1,{}
panda,a42c20de8a0637b5077bb5079c3931ed3d86a5a47ba65938c9b987499d9eb09e,clarabel,a08ec57059ecc9b35ca849dec8f3cc2e1c63ee3be8066bb028dde63c615b987c,regular,0.5,1.0,0.2672346666666667,1.0,1,{}
panda,e3d6510a849f7e86d1c083638e68dd094fbf7af2009f1a98d7269e6157373a41,relative,a08ec57059ecc9b35ca849dec8f3cc2e1c63ee3be8066bb028dde63c615b987c,regular,0.95,1.0,0.2870246666666667,1.0,1,{}
panda,e3d6510a849f7e86d1c083638e68dd094fbf7af2009f1a98d7269e6157373a41,fixed_qp1,a08ec57059ecc9b35ca849dec8f3cc2e1c63ee3be8066bb028dde63c615b987c,regular,0.95,1.0,0.2748873333333333,1.0,1,{}
panda,e3d6510a849f7e86d1c083638e68dd094fbf7af2009f1a98d7269e6157373a41,fixed_qp2,a08ec57059ecc9b35ca849dec8f3cc2e1c63ee3be8066bb028dde63c615b987c,regular,0.95,1.0,0.286786,1.0,1,{}
panda,e3d6510a849f7e86d1c083638e68dd094fbf7af2009f1a98d7269e6157373a41,tight,a08ec57059ecc9b35ca849dec8f3cc2e1c63ee3be8066bb028dde63c615b987c,regular,0.95,1.0,0.2658606666666667,1.0,1,{}
panda,e3d6510a849f7e86d1c083638e68dd094fbf7af2009f1a98d7269e6157373a41,clarabel,a08ec57059ecc9b35ca849dec8f3cc2e1c63ee3be8066bb028dde63c615b987c,regular,0.95,1.0,0.2807783333333333,1.0,1,{}
