robot,group,method,queries,anchors,repeats,success_by_repeat,within20_by_repeat,mean_success_count,verified_success,within20_success,all_repeat_success_queries,witness_missed_unique_queries,p50_ms,p95_ms,p99_ms,mean_ms,cumulative_ms_per_repeat,late_calls,accepted_position_p95_m,accepted_position_max_m,accepted_orientation_p95_rad,accepted_orientation_max_rad,accepted_pose_utilization_p95,accepted_edge_fraction,accepted_position_margin_p05_m,accepted_orientation_margin_p05_rad,max_accepted_step_utilization,mean_iterations,mean_evaluations,first_half_accepted_call_fraction,continued_after_first_call_fraction,multiple_local_qp_call_fraction,relative_stop_call_fraction,relative_stop_subproblem_fraction,mean_dual_updates,internal_status_counts,failure_counts
ur5e,near_singular/regular/alpha=0.5,gn,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,0.29961099999999996,0.35044339999999996,0.4016424,0.3042331041666666,24.338648333333328,0,0.0006052715951107261,0.0008900806265813526,0.0033043452211880655,0.0044131979106412055,0.605271595110726,0.0,0.0003947284048892737,0.0054223010388119285,0.9999999999990026,2.0125,4.025,,,,,,,"{""task_candidate"":240}",{}
ur5e,near_singular/regular/alpha=0.5,tight,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,0.265628,0.3041627,0.5544259799999969,0.27597276666666665,22.077821333333333,0,0.0006052715951107261,0.0008900806265813526,0.0033043452211880655,0.0044131979106412055,0.605271595110726,0.0,0.0003947284048892737,0.0054223010388119285,0.9999999999990026,1.0125,2.0375,0.9875,0.0125,0.0125,0.0,0.0,1.0375,"{""native_task_candidate"":240}",{}
ur5e,near_singular/regular/alpha=0.5,clarabel,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,0.272611,0.30673655,0.5467494599999966,0.28048209583333333,22.438567666666668,0,0.0006052715951107261,0.0008900806265813526,0.0033043452211880655,0.0044131979106412055,0.605271595110726,0.0,0.0003947284048892737,0.0054223010388119285,0.9999999999990026,1.0125,2.025,0.9875,0.0125,0.0125,0.0,0.0,1.025,"{""native_task_candidate"":240}",{}
ur5e,near_singular/regular/alpha=0.5,range_loss_matched,80,80,3,"[79,79,79]","[79,79,79]",79.0,0.9875,0.9875,79,1,1.252311,2.563862149999998,3.540822149999993,1.3799746666666666,110.39797333333333,0,0.0009512203903882985,0.0009971856018094916,0.008513126995739142,0.008691868519421693,0.9912507682946204,0.20253164556962025,4.877960961170125e-05,0.00021351926426085686,0.7194129126290192,5.475,16.575,,0.0,0.0,0.0,,0.0,"{""task_accepted_early"":237,""optimizer:CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"":3}","{""position_tolerance+orientation_tolerance"":3}"
ur5e,near_singular/regular/alpha=0.5,direct_sqp,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,1.4127715,1.9304758,2.177746699999998,1.3717566458333332,109.74053166666666,0,0.0009999999876679432,0.0009999999956679137,0.008726646008115013,0.00872664624692482,0.9999999895246652,1.0,1.233205689258818e-11,2.518849872602813e-10,0.6265181548538277,9.525,14.7375,,0.0,0.0,0.0,,0.0,"{""task_accepted_early"":240}",{}
ur5e,near_singular/regular/alpha=0.5,fixed_qp1,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,0.26996549999999997,0.3147089999999999,0.40736091999999996,0.2767171083333333,22.137368666666664,0,0.0006052715951107261,0.0008900806265813526,0.0033043452211880655,0.0044131979106412055,0.605271595110726,0.0,0.0003947284048892737,0.0054223010388119285,0.9999999999990026,1.0125,2.0125,0.9875,0.0125,0.0,0.0,0.0,1.0125,"{""native_task_candidate"":240}",{}
ur5e,near_singular/regular/alpha=0.5,fixed_qp2,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,0.2695145,0.31152625,0.468477539999999,0.2775993375,22.207947,0,0.0006052715951107261,0.0008900806265813526,0.0033043452211880655,0.0044131979106412055,0.605271595110726,0.0,0.0003947284048892737,0.0054223010388119285,0.9999999999990026,1.0125,2.025,0.9875,0.0125,0.0125,0.0,0.0,1.025,"{""native_task_candidate"":240}",{}
ur5e,near_singular/regular/alpha=0.95,relative,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,0.27729800000000004,0.31868289999999994,0.4838802499999998,0.2838861583333333,22.710892666666666,0,0.000815518742629881,0.0009977637159824958,0.006394485057913794,0.008503107270234903,0.885485156412444,0.05,0.00018448125737011845,0.0023321612020861977,0.9999999999990026,1.025,2.025,0.975,0.025,0.0,0.025,1.0,1.025,"{""native_task_candidate"":240}",{}
ur5e,near_singular/regular/alpha=0.95,gn,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,0.3027755,0.3393642,0.47791607999999985,0.3077040291666666,24.61632233333333,0,0.000815518742629881,0.0009977637159824958,0.006394485057913794,0.008503107270234903,0.885485156412444,0.05,0.00018448125737011845,0.0023321612020861977,0.9999999999990026,2.025,4.05,,,,,,,"{""task_candidate"":240}",{}
ur5e,near_singular/regular/alpha=0.95,tight,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,0.27333050000000003,0.3176650999999998,1.338646729999986,0.29981762500000003,23.98541,0,0.000815277932024576,0.0009977637159824958,0.006394485057913794,0.008503107270234903,0.885485156412444,0.05,0.0001847220679754234,0.0023321612020861977,0.9999999999990026,1.025,2.175,0.975,0.025,0.025,0.0,0.0,1.175,"{""native_task_candidate"":240}",{}
