robot,query_sha256,family,entry,predicted_p95_ms,observed_empirical_p95_ms,selected_action,semantic_success
ur5e,cfe317c7f085c8b28f771a09a5eb9c7310fd9962343365d105d8229518314557,workspace_boundary,easy,2.836977005004883,1.6345744,hard,True
ur5e,6cb535fb282f3fda44e98a7aeff73a3c9c1d6528d38713d8c276ec950e01bdea,unreachable,easy,157.78562927246094,67.4028578,defer,False
ur5e,6bdfd6e91c5601334a55c7bb40732a278d8543f79a2479e646141edc00017bfc,id,easy,3.5943026542663574,3.8051543999999997,hard,True
ur5e,07a852f2ed9d568fe7953ea64f4225b9a21e05e045ef470880b1fed066abdce0,unreachable,easy,190.09068298339844,71.4311558,reject,False
ur5e,bf00607eead830299afd278a5dee1b54efb66be303bb7ba780f8643d904bcc60,near_limit,easy,3.305154800415039,1.7676782,hard,True
ur5e,26c294cbbfda2346b601a081b91ca8998c4021b9b9c85354a2d4a4e983bb08d8,workspace_boundary,easy,2.9268832206726074,1.6608002,hard,True
ur5e,33f197a2af68e9095e11296ea20fa54c39806c884756b9c1441eacd9f654f210,id,easy,3.4705090522766113,3.2993006,hard,True
ur5e,5cbdba379361c0ab6be38d256c8948d5c3b8d9527efa74158940d8f11d97f992,id,easy,2.842092990875244,2.0328896,hard,True
ur5e,3872b3b32043b7639f8c07ac2111008b8d922d09ae8f1932e9c0d0a0bdb8b71f,id,easy,4.636938571929932,3.3520322,hard,True
ur5e,130e5aa5e645f494f72603e45fcdb38820727018be747839454b7c4329379d91,hard_valid,easy,3.3725271224975586,3.7260269999999998,hard,True
ur5e,6868ad8d2f782db9ee15e5bc5bc94124252b4fb8c2340ef370ab296d68f3e415,near_limit,easy,2.661491870880127,1.5575648,hard,True
ur5e,351b6e4e2fa77ccfdb1008598c1cc83b0ab3d02d1cd487af8d64fa5c6b49933e,large_step,easy,73.21703338623047,37.6358216,reject,False
ur5e,437a478c7705b2aec22dcfc103cdf840da57622e477017c526bd5fbbe803bc8c,hard_valid,easy,4.327038764953613,3.8343255999999997,hard,True
ur5e,51b3dfcd6d4e765e494e62ac89c2d914c9d3af6d64850011d4cad0c4aa4e1a6e,near_singular,easy,2.9751410484313965,1.6288186,hard,True
ur5e,c6f0de56840c4c98cd57e0d2abf12a9e5596ed778e52a737057db95bf5965cb7,large_step,easy,83.92047882080078,45.3018162,reject,False
ur5e,8b48952b41fb662c18042a5826e1e16e7c63a9709e52b0fb1926e7a6549b5f0c,id,easy,2.489250898361206,2.0946124,hard,True
ur5e,6eb1834ef539847b5ec3c426c703eb6dedc6460ea4494de1abf2b2853d41dc21,unreachable,easy,164.9292449951172,109.8727792,reject,False
