robot,cohort,group,method,uid,unique_qps,kernel_ns,return_ns,total_ns,all_quality_pass
panda,natural,unconstrained,qpoases,5560810f9d87891ba612f00a19811ec608860538b5dbf8f478a2cc168f4d1547,125,2257.5216,12127.6752,55624.8912,True
panda,natural,unconstrained,qpoases,4afc296390cd2da8318a4ba9544aebe6e73de828b20fea6cbaeedda3bf7a189f,125,2377.8736,11972.0352,55868.0944,True
panda,natural,unconstrained,qpoases,f77f30aad07c01747cccac5f99de0454266b5b9453dc6357da97f2c8d2529cfc,125,2302.08,11672.6368,55241.1312,True
panda,natural,unconstrained,qpoases,b88225558b53c7528d4fc1a56455ceac395ea6a65306515006580362af026e1e,125,2535.0096,12039.0352,56175.6208,True
panda,targeted,all,active_numpy,617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f,303,25777.605280528052,26067.20330033003,71088.59339933994,True
panda,targeted,all,active_numpy,1085f3e04aaffe00c129d91100b2cf03f3de069fa72a1f43ac92c05905fe372d,4,49294.75,49574.6,95848.35,True
panda,targeted,all,active_numpy,79076cd9aa84b436fcbb836548e693b733aa35a2d7be5ccd28163e80bd3fcb82,15,44650.706666666665,44898.50666666667,90997.96,True
panda,targeted,all,active_numpy,9e7027908956f6feea8630c453988b56b38fb5654bc6494312db6fec4fe6e93e,4,45295.0,45595.4,91775.85,True
panda,targeted,all,active_numpy,f273e2cf840747e85e3dc4a774925882a9057bc0672355948aab35c0de41c7d8,14,26450.64285714286,26696.4,71636.25714285714,True
panda,targeted,all,active_numpy,d7da3b52b00c623aa961e4db17e1e3c8b05d3c4295e5905a19047bd8a7f4482c,37,25676.6,25901.45945945946,70717.5945945946,True
panda,targeted,all,active_numpy,a32f076fd84a50b0746febbd023dfac09cce4d08b2e19b8eee9393caa4f35a24,3,44995.2,45325.86666666667,91050.26666666666,True
panda,targeted,all,active_numpy,39418c26c7c0ee7720f0a16e2b5930a336a74379ed31dd975416d5d9ab5766b1,4,45097.65,45364.1,91509.85,True
panda,targeted,all,active_numpy,d677d8817a9086e31204c00a069fcd9714941f266e92b8c76d39517d2a87c663,302,27294.823178807947,27564.53443708609,72686.75695364238,True
panda,targeted,all,active_numpy,a4757ca54027f468f26f705c836838ae45f57658e775c4c60a7395323f3fb346,5,51324.2,51595.52,97880.28,True
panda,targeted,all,active_numpy,1b1432b684aef0b401c66b39b447aa074258ccfbe4d804811e9c02688243235a,11,28613.563636363637,28856.745454545453,74060.41818181818,True
panda,targeted,all,active_numpy,6292d6a262da269233959d5b381d94998db141290bc3e30dd2208b51a11c8100,302,24602.450993377483,24898.02582781457,69630.94304635761,True
panda,targeted,all,active_numpy,c2ebae0d24e306f3744e9ac2a38add8502705448e7eda234f19e3082f56fa52c,31,35191.30322580645,35422.329032258065,80739.89032258064,True
panda,targeted,all,active_numpy,98aff3582a84a6146748002550a34794014c19c6a94d633ebdfdfefa61217699,39,26243.37948717949,26476.5641025641,71474.94871794872,True
panda,targeted,all,active_numpy,16eb39236436e36522bf1742998d048f374e3572a63c53e2c2e5ca5d926ace93,303,26345.646864686467,26590.02112211221,71405.81716171617,True
panda,targeted,all,active_numpy,3a59b93a4c9e9c6b108b10e05344815f47411a6ce98c5ae4e2ed358ddc1d7440,10,29665.74,29921.18,74859.36,True
panda,targeted,all,active_numpy,76723c8484a05a7bc2bff4047708ad396e6759dff58cd347e4b36eeb1bdedfd0,2,51824.6,52225.1,98331.8,True
panda,targeted,all,active_numpy,4f1940d91117f91ea27fc47a289476bf2361c47cbbb34e21aa92e2a9bf8c25da,303,28805.77095709571,29083.44224422442,74084.14587458746,True
panda,targeted,all,active_numpy,9289844cd619fe3c022d910841ace12e165e07777f181c72cc2a1aec1da2e3fb,3,45255.333333333336,45582.933333333334,91895.13333333333,True
panda,targeted,all,active_numpy,9408a6fe715e7be47720924bb6ceeff40609fd34a88003747eb1e71abe1a9a2f,2,58837.2,59204.8,105680.0,True
panda,targeted,all,active_numpy,700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062,302,25504.541721854304,25815.246357615895,70625.60529801325,True
panda,targeted,all,active_numpy,2cd27cc14429c5bb9961620d46292e849640359e5072de88384099e723596b3b,1,45985.2,46404.0,92936.8,True
panda,targeted,all,clip,617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f,303,5852.597359735973,6119.29900990099,47839.578217821785,False
panda,targeted,all,clip,1085f3e04aaffe00c129d91100b2cf03f3de069fa72a1f43ac92c05905fe372d,4,5390.9,5631.4,47505.6,False
panda,targeted,all,clip,79076cd9aa84b436fcbb836548e693b733aa35a2d7be5ccd28163e80bd3fcb82,15,5265.2,5476.946666666667,47016.46666666667,False
panda,targeted,all,clip,9e7027908956f6feea8630c453988b56b38fb5654bc6494312db6fec4fe6e93e,4,5344.95,5607.6,47076.1,False
panda,targeted,all,clip,f273e2cf840747e85e3dc4a774925882a9057bc0672355948aab35c0de41c7d8,14,5115.157142857143,5309.771428571428,46464.62857142857,False
panda,targeted,all,clip,d7da3b52b00c623aa961e4db17e1e3c8b05d3c4295e5905a19047bd8a7f4482c,37,8768.945945945947,8957.648648648648,50424.843243243246,False
panda,targeted,all,clip,a32f076fd84a50b0746febbd023dfac09cce4d08b2e19b8eee9393caa4f35a24,3,5163.866666666667,5476.933333333333,47028.86666666667,False
panda,targeted,all,clip,39418c26c7c0ee7720f0a16e2b5930a336a74379ed31dd975416d5d9ab5766b1,4,5353.4,5634.5,47019.1,False
panda,targeted,all,clip,d677d8817a9086e31204c00a069fcd9714941f266e92b8c76d39517d2a87c663,302,5517.42582781457,5761.103311258278,47433.58940397351,False
panda,targeted,all,clip,a4757ca54027f468f26f705c836838ae45f57658e775c4c60a7395323f3fb346,5,5263.56,5499.16,46994.52,False
panda,targeted,all,clip,1b1432b684aef0b401c66b39b447aa074258ccfbe4d804811e9c02688243235a,11,5152.690909090909,5382.690909090909,46694.70909090909,False
panda,targeted,all,clip,6292d6a262da269233959d5b381d94998db141290bc3e30dd2208b51a11c8100,302,5526.716556291391,5799.24238410596,47965.69801324503,False
panda,targeted,all,clip,c2ebae0d24e306f3744e9ac2a38add8502705448e7eda234f19e3082f56fa52c,31,5188.832258064516,5379.941935483871,46837.08387096774,False
panda,targeted,all,clip,98aff3582a84a6146748002550a34794014c19c6a94d633ebdfdfefa61217699,39,5691.051282051282,5884.707692307692,47350.63076923077,False
panda,targeted,all,clip,16eb39236436e36522bf1742998d048f374e3572a63c53e2c2e5ca5d926ace93,303,5573.82706270627,5785.366336633663,47295.797359735974,False
panda,targeted,all,clip,3a59b93a4c9e9c6b108b10e05344815f47411a6ce98c5ae4e2ed358ddc1d7440,10,5309.2,5539.6,47089.46,False
panda,targeted,all,clip,76723c8484a05a7bc2bff4047708ad396e6759dff58cd347e4b36eeb1bdedfd0,2,5448.8,5783.7,47167.2,False
panda,targeted,all,clip,4f1940d91117f91ea27fc47a289476bf2361c47cbbb34e21aa92e2a9bf8c25da,303,5392.843564356435,5646.498349834984,47248.481188118814,False
panda,targeted,all,clip,9289844cd619fe3c022d910841ace12e165e07777f181c72cc2a1aec1da2e3fb,3,5305.733333333334,5602.733333333334,46926.0,False
panda,targeted,all,clip,9408a6fe715e7be47720924bb6ceeff40609fd34a88003747eb1e71abe1a9a2f,2,5419.3,5757.3,47510.2,False
panda,targeted,all,clip,700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062,302,5377.014569536424,5660.2966887417215,47204.31523178808,False
panda,targeted,all,clip,2cd27cc14429c5bb9961620d46292e849640359e5072de88384099e723596b3b,1,5533.4,6007.8,47623.4,False
panda,targeted,all,osqp_cached,617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f,303,2384911.385478548,2410112.5689768977,2460310.3960396037,True
panda,targeted,all,osqp_cached,1085f3e04aaffe00c129d91100b2cf03f3de069fa72a1f43ac92c05905fe372d,4,70570.75,97087.2,143770.65,True
panda,targeted,all,osqp_cached,79076cd9aa84b436fcbb836548e693b733aa35a2d7be5ccd28163e80bd3fcb82,15,40408.12,62252.41333333333,107351.44,True
panda,targeted,all,osqp_cached,9e7027908956f6feea8630c453988b56b38fb5654bc6494312db6fec4fe6e93e,4,17711.95,39976.7,84846.45,True
panda,targeted,all,osqp_cached,f273e2cf840747e85e3dc4a774925882a9057bc0672355948aab35c0de41c7d8,14,74818.44285714286,96422.18571428572,141347.3142857143,True
panda,targeted,all,osqp_cached,d7da3b52b00c623aa961e4db17e1e3c8b05d3c4295e5905a19047bd8a7f4482c,37,63903.51891891892,85807.83243243243,130890.36216216216,True
