robot,cohort,group,comparison,metric,all_qps,quality_paired_qps,source_uids,ratio,ci95_low,ci95_high,unit
ur5e,natural,unconstrained,active_numpy / clip,kernel_ns,997,997,8,4.523667742220184,4.378403617881357,4.646811841137837,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,unconstrained,active_numpy / clip,return_ns,997,997,8,4.427239211699402,4.28760690297614,4.545742717938249,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,unconstrained,active_numpy / clip,total_ns,997,997,8,1.4630647958807934,1.4553355362543698,1.4715225346811274,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,all,active_numpy / qpoases,kernel_ns,1903,1903,16,4.486633506581384,3.6290927375224538,5.893226506676211,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,all,active_numpy / qpoases,return_ns,1903,1903,16,2.1459053675259403,1.9362215976956014,2.407813541392463,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,all,active_numpy / qpoases,total_ns,1903,1903,16,1.3360535929035773,1.2769949336050905,1.3950028720806649,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,all,active_numpy / osqp_cached,kernel_ns,1903,1903,16,0.40578104386386027,0.16916378789519132,1.6127146233402199,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,all,active_numpy / osqp_cached,return_ns,1903,1903,16,0.3295130541557006,0.15487114647069083,0.8399649898070756,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,all,active_numpy / osqp_cached,total_ns,1903,1903,16,0.5023123668466445,0.2807172533158018,0.9031634912703044,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,all,active_numpy / clip,kernel_ns,1903,5,5,6.426178119670701,5.182047407921135,8.448893792836834,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,all,active_numpy / clip,return_ns,1903,5,5,6.295476563527852,5.090825008353227,8.240062847360644,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,all,active_numpy / clip,total_ns,1903,5,5,1.8501912055535374,1.775140881303198,1.9311305429846457,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,internal_set_change,active_numpy / qpoases,kernel_ns,174,174,16,4.938557768862905,3.723991667398262,7.198648793813843,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,internal_set_change,active_numpy / qpoases,return_ns,174,174,16,2.441268644319888,2.014887468499988,3.119110511474429,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,internal_set_change,active_numpy / qpoases,total_ns,174,174,16,1.4358008905439588,1.3141879269785581,1.6031129259160377,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,internal_set_change,active_numpy / osqp_cached,kernel_ns,174,174,16,1.740791085049242,1.5022649041950948,2.0382270322655853,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,internal_set_change,active_numpy / osqp_cached,return_ns,174,174,16,0.9304027546227566,0.8154065764059192,1.081071544313986,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,internal_set_change,active_numpy / osqp_cached,total_ns,174,174,16,0.9526293401262481,0.8882648972696168,1.0365459640273824,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,internal_set_change,active_numpy / clip,kernel_ns,174,5,5,6.426178119670701,5.182047407921135,8.448893792836834,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,internal_set_change,active_numpy / clip,return_ns,174,5,5,6.295476563527852,5.090825008353227,8.240062847360644,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,internal_set_change,active_numpy / clip,total_ns,174,5,5,1.8501912055535374,1.775140881303198,1.9311305429846457,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,multiple_active,active_numpy / qpoases,kernel_ns,1719,1719,2,13.046401188508765,9.985275661390146,15.93477824024898,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,multiple_active,active_numpy / qpoases,return_ns,1719,1719,2,2.5934118059541307,1.9234226545628434,3.2692754498022647,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,multiple_active,active_numpy / qpoases,total_ns,1719,1719,2,1.3447433432349043,1.2025901735305229,1.4868718485655725,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,multiple_active,active_numpy / osqp_cached,kernel_ns,1719,1719,2,0.04639513303555582,0.03795908902205669,0.07433554484410024,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,multiple_active,active_numpy / osqp_cached,return_ns,1719,1719,2,0.045183739172903414,0.03733060297062244,0.06999338757565689,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,multiple_active,active_numpy / osqp_cached,total_ns,1719,1719,2,0.10312471781839114,0.07670447561519987,0.17964067477246828,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,one_active,active_numpy / qpoases,kernel_ns,179,179,16,4.048470260343672,3.315498840655286,5.294992370654786,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,one_active,active_numpy / qpoases,return_ns,179,179,16,2.0246152473649337,1.8370997498883106,2.270384876883121,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,one_active,active_numpy / qpoases,total_ns,179,179,16,1.308780021339976,1.254424392535125,1.3663423310924387,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,one_active,active_numpy / osqp_cached,kernel_ns,179,179,16,0.812302310911369,0.40851042696907847,1.5537512555527717,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,one_active,active_numpy / osqp_cached,return_ns,179,179,16,0.5487885910101005,0.3278524295774937,0.8178667703892797,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,one_active,active_numpy / osqp_cached,total_ns,179,179,16,0.7098454655853337,0.512397962197343,0.8892315769661069,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,sequence_set_change,active_numpy / qpoases,kernel_ns,104,104,16,4.469849693445435,3.587095574507151,5.959671377445235,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,sequence_set_change,active_numpy / qpoases,return_ns,104,104,16,2.265739668236414,1.9700651589575455,2.717875440061233,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
