robot,uid,site_id,family,method,known_zero,zero_all_repeats,exact_changed_any,meaningful_changed_any,objective_max,tau_max,max_change_rad,numerical_mean_ms,reconstructed_outer_mean_ms
panda,bb2d7133de7083285ff7ede00b959e62fc3bf5dc626bfa521b77361d0f3f759e,trajectory_34,high_curvature,tar_corrected,True,True,False,False,0,0,0,3.3362273333333334,3.6149513333333334
panda,c27c85dfc1ac902402f2c27d5ecd007325d528654413acef4dab0af30af48583,trajectory_37,high_curvature,tar_corrected,True,True,False,False,0,0,0,3.3140913333333333,3.4988563333333333
panda,c99e2c9b46eb1858a0dd2f525833e49b6f0b7c25001781f1b00044934372d935,trajectory_18,near_singular,tar_corrected,True,True,False,False,0,0,0,4.809166666666667,4.995113666666667
panda,ca9065ec04392f64d1cce7cea6e6ae7ba224495be6a41fa0902e34ddeb925465,trajectory_17,near_singular,tar_corrected,True,True,False,False,0,0,0,4.796009,4.973666
panda,cdb906e5ffe0888b5856461ef6bee1b8809232e928fd853beb25f1903a7d798a,trajectory_07,smooth,tar_corrected,True,True,False,False,0,0,0,3.350503,3.626683
panda,d8e06950cec2579c739f7f6d3dbb3628755dfd76be5740fad3bec38b4ef94cc6,trajectory_11,near_singular,tar_corrected,True,True,False,False,0,0,0,4.93905,5.154117
panda,e7257c22abc9d850802582540365f4bc972868280e40708e45700776b6ad2aca,trajectory_35,high_curvature,tar_corrected,True,True,False,False,0,0,0,3.3103063333333336,3.4969173333333337
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,tar_corrected,True,True,False,False,0,0,0,3.300665,3.492878
panda,ea5503530085a4b7fba1457389f090742de31c9aa6ebe8907aa867289b032370,trajectory_12,near_singular,tar_corrected,True,True,False,False,0,0,0,4.822160333333333,5.539369333333333
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trajectory_04,smooth,tar_corrected,True,True,False,False,0,0,0,3.39139,3.709222
panda,f77f30aad07c01747cccac5f99de0454266b5b9453dc6357da97f2c8d2529cfc,trajectory_30,high_curvature,tar_corrected,True,True,False,False,0,0,0,3.3092796666666664,3.5338186666666664
panda,f786741c9f59d7d552811f1959141226fb4d169d5c149b34b1fb99edb7839b2c,trajectory_32,high_curvature,tar_corrected,True,True,False,False,0,0,0,3.2803383333333334,3.4853343333333333
panda,fd96ca4300b705b343cbde5bb7d97076acca0d187b1d78fc9094c6cac23b640b,trajectory_36,high_curvature,tar_corrected,True,True,False,False,0,0,0,3.3100346666666667,3.4977266666666664
ur5e,08551a27ac837f8ed54c41a0759eec98dbd199480066ac542298cbb032f6d99a,trajectory_22,joint_limit_return,tar_old,True,False,True,False,7.97984278229707e-20,0,1.8751222796709044e-11,4.834834666666667,5.013759666666667
ur5e,08f895e22c5162e0796964649a1fcdb582c61bccc5e4d0e8b349bbca35756523,trajectory_23,joint_limit_return,tar_old,True,False,True,True,4.6408911475687645e-10,0,1.917282944408072e-06,5.095696,7.235144
ur5e,118730753d57a2523105ec3ee6ba017c9c2775dda076f4c79f2396693e83c7a9,trajectory_35,high_curvature,tar_old,True,False,True,False,2.0313901235730992e-20,0,1.1622036666381064e-11,4.811571666666667,4.979159666666667
ur5e,13896bc6c5f688854ad405268705ab3bb2a8fec56ac1e75c8a872707a3f652f8,trajectory_08,smooth,tar_old,True,False,True,False,3.6288846051731666e-20,0,1.432898244502212e-11,4.861203666666667,5.039475666666667
ur5e,1572bafea0edc3c6cc05d2a9eabd19a06035670328035c0b780d47b54a683769,trajectory_31,high_curvature,tar_old,True,False,True,False,1.1033311482283443e-20,0,5.661915380983373e-12,4.871940666666667,5.038336666666667
ur5e,17d92c7319719a45d08d673e5023c3f00687e4f5a57bdebde3dccc6370b94c3a,trajectory_18,near_singular,tar_old,True,False,True,False,8.259303352868635e-20,0,1.667554982986985e-11,4.897930333333333,5.080929333333333
ur5e,1c73e520a3d5bd8f7e29cb08d559a6364a6bdec344a07acd40f2375a56459f79,trajectory_37,high_curvature,tar_old,True,False,True,False,5.550882317296381e-20,0,1.9963253272692327e-11,4.920815666666667,5.101341666666667
ur5e,2037257a8eb29f55e1baa50497e60c0cb87331a5da7e7a4344c8cded212a709f,trajectory_01,smooth,tar_old,True,False,True,False,3.52802224040409e-20,0,1.1618705997307188e-11,4.852735666666667,5.126580666666667
ur5e,2136e60219e4240e7b97c87a2f481c6642991ff7128b97a75454ffcee69e4a9c,trajectory_07,smooth,tar_old,True,False,True,False,6.432388592569482e-20,0,1.95547467107815e-11,4.885338333333333,5.060653333333333
ur5e,234cd2a268d2d4ebc0f1b5ca1926ee196812079496ff3e6e19f17e48a5761d2c,trajectory_26,joint_limit_return,tar_old,True,False,True,False,4.592696037709721e-20,0,1.2647660696529783e-11,4.832536666666667,5.006331666666667
ur5e,28c799f101b845f2577d1584bde9de07634bcdda61cf814be0670f4c7adce911,trajectory_21,joint_limit_return,tar_old,True,False,True,False,1.7607005513504434e-18,0,1.1798517718375479e-10,4.825607,5.002966
ur5e,382307fdf25e31f8b1ae5c14a7545e81bf0c54489223c4626934c3dbe31a195e,trajectory_30,high_curvature,tar_old,True,False,True,False,2.1141224230632866e-20,0,9.220180174907e-12,4.878159666666667,5.068716666666667
ur5e,386ce328d9e893da466d8af1dc09a15e66ae16a35efe9585b2d68e67da964fb7,trajectory_05,smooth,tar_old,True,False,True,False,2.1311528152407045e-20,0,1.0683010032153106e-11,4.844636,5.092532
ur5e,3bd332b9ef08ab00b11a865fd161af952ecc92241dd59aeac869f7688ac64b79,trajectory_36,high_curvature,tar_old,True,False,True,False,1.125823327331394e-19,0,2.6777913220144e-11,4.810697666666667,4.987365666666667
ur5e,5547871d76b6176b3e5dd5d8f20eebc72645f4fdb4a7e415a21928fb85392f9e,trajectory_38,high_curvature,tar_old,True,False,True,False,3.4972165564715576e-20,0,1.52380330575852e-11,4.880973666666667,5.049954666666667
ur5e,5de0f5ff5025c915a9ca0194e6813b77637e2059d947b69d324216690202559b,trajectory_09,smooth,tar_old,True,False,True,False,9.071586835371169e-21,0,6.201317237497506e-12,4.95119,5.118696
ur5e,5e7743615ad75a997da2a3dfac5ecbaa6539b43fd5db8ecf4d7f9cc7331b3e15,trajectory_27,joint_limit_return,tar_old,True,False,True,False,3.0763003671478455e-19,0,4.910116757628202e-11,4.859563,5.030491
ur5e,5ff81edc43cf92c445ae661655f0f074229d3861bbbd0b57d14ad453615b9e25,trajectory_17,near_singular,tar_old,True,False,True,False,2.4449795376886033e-19,0,4.097877592812438e-11,4.914066333333333,5.173476333333333
ur5e,6105bc9f0df7e8baadfc8dd255f78c7bb3ddb066573e8f4fde9c385dbe5db694,trajectory_10,near_singular,tar_old,True,False,True,False,6.226697760047081e-20,0,1.6828316518058273e-11,4.857987333333333,5.033289333333333
ur5e,68244e8dec0d66d1a48832b1992c69f7c4c907fc930b958710e9220ae46bd192,trajectory_14,near_singular,tar_old,True,False,True,False,1.4631282684891458e-20,0,7.45004058444465e-12,4.804999333333333,5.090020333333333
ur5e,816b8a675263f8ec8337dc224a3ea9971c9a8387f6953eb1fd1c846b6d1a7c4a,trajectory_29,joint_limit_return,tar_old,True,False,True,False,1.1174609725988997e-19,0,2.1603163702366146e-11,4.808913,4.9762
ur5e,929479d86d1af1569abbd00ff695f793876d0c13d1b6ef36f9f39dc04d36f80c,trajectory_13,near_singular,tar_old,True,False,True,False,2.5972421698519193e-20,0,1.1969314428483813e-11,4.804038333333333,4.979969333333333
ur5e,9a5eaa5a533abb994b7505aca361cebaf65ef495d064d694df4c023580e9cd0b,trajectory_00,smooth,tar_old,True,False,True,False,2.786935746139643e-20,0,9.665379607781688e-12,4.935158333333333,5.110613333333333
ur5e,9ab3a7e22a338adf15a7eb240986a1d682820bcf958fc25dd9058bd66c51d502,trajectory_12,near_singular,tar_old,True,False,True,False,1.185255587245168e-20,0,8.673950446791423e-12,4.839472333333333,5.018133333333333
ur5e,a079baf3b1644afc829cc82c6747ab4482a4f1778e24be557741a87f9aefa38f,trajectory_33,high_curvature,tar_old,True,False,True,False,4.937203557241636e-20,0,1.1870171512384786e-11,4.927984,5.169114
ur5e,a4d21e54d799674aa3de252efe1304776a18586a5f8d95b6f975dad09cacd372,trajectory_28,joint_limit_return,tar_old,True,False,True,False,1.386368725996902e-19,0,3.2025937457547116e-11,4.824360666666667,5.002192666666667
ur5e,a68ec605ba66c3e27686650c1fdc577d4ff40b0c237bb80f93dc329bed511c56,trajectory_39,high_curvature,tar_old,True,False,True,False,4.940875256026726e-20,0,1.5622614313315353e-11,5.082253,5.254342
ur5e,ad91c93d906d04e8aa7467228cb161965123769d55ad38469161e7830e742868,trajectory_34,high_curvature,tar_old,True,False,True,False,9.47764370594611e-20,0,1.992150888696642e-11,4.870689,5.042797
ur5e,ae12f9762615d4c9ac155883dd03d430cba862223b3fb491a4a1d1189e10a2b8,trajectory_04,smooth,tar_old,True,False,True,False,7.830476933367554e-20,0,1.9058532529925287e-11,4.907039666666667,5.072511666666667
ur5e,b0e17067aaf6e660b04f8be634d639d569df55018bfb39821596146afb9736de,trajectory_03,smooth,tar_old,True,False,True,False,9.533076026574806e-20,0,2.4864554859505006e-11,4.847166666666667,5.055876666666667
ur5e,bf166cd6db08076d8c85cfd7e7364d2446c3c1ec592ea82609b812c0faa204ea,trajectory_15,near_singular,tar_old,True,False,True,False,2.5994477521794715e-20,0,1.219779832695167e-11,4.868396,5.042563
ur5e,c0f0fa5983ead9bf72ff425c510b3208de5bd46dcc8efd876a735c868767ac8e,trajectory_20,joint_limit_return,tar_old,True,False,True,False,1.6129096608559173e-19,0,2.9023672354355767e-11,4.792046333333333,4.961141333333333
ur5e,ce26ff5e9952bacd57c54933b78db77a6ea0e1070f6563c04194dc00457f2656,trajectory_16,near_singular,tar_old,True,False,True,False,4.5648287240963364e-20,0,1.5101364603253842e-11,5.106164,5.324656
ur5e,cf0b2892659faaddd69ba9d6172f4d41b4cbbe81ea9aa1fa891f59fcc8daec21,trajectory_19,near_singular,tar_old,True,False,True,False,4.5389109145981536e-20,0,1.6643797451365572e-11,4.872080333333333,5.037149333333333
ur5e,d1ef5ab32f38a93c076857d0eea5dc9836af8df3c2111b752fe4a419473c1ff4,trajectory_24,joint_limit_return,tar_old,True,False,True,False,7.567256519385195e-20,0,1.9693580100010877e-11,4.819651,5.030846
ur5e,d30c1e5c8c16af6e606ac7829229200ccae448efeb1a9cdad8b80da506691864,trajectory_25,joint_limit_return,tar_old,True,False,True,False,1.4437043404740416e-19,0,3.0253133331825666e-11,4.832086666666667,4.994134666666667
ur5e,da8a1e7a5ca60a1e40bacf3e76f1002ab39a7b3cb6f8290450d6356089897d78,trajectory_32,high_curvature,tar_old,True,False,True,False,1.1591577915753397e-19,0,2.5404345294077757e-11,4.881769,5.043634
ur5e,e2e620aa17071c959d153796e3b230f5780cc2b167c0a2e0b4bb029087169848,trajectory_06,smooth,tar_old,True,False,True,False,1.116448978309933e-19,0,2.3838681029175746e-11,4.854803666666667,5.093447666666667
ur5e,e4188d53efbb54472d782b035a4214854136b6bb171d9aee6282590944abd39b,trajectory_11,near_singular,tar_old,True,False,True,False,1.6271081586558858e-20,0,7.615019725903949e-12,4.906573,5.08677
ur5e,f87cbb198e6aa95e16ea15160dd1d4f545d70b0d61622238ff991b3a2d27786a,trajectory_02,smooth,tar_old,True,False,True,False,3.564450484891346e-20,0,1.1269651878365039e-11,4.825337333333333,5.009554333333333
ur5e,08551a27ac837f8ed54c41a0759eec98dbd199480066ac542298cbb032f6d99a,trajectory_22,joint_limit_return,tar_corrected,True,True,False,False,0,0,0,5.782652,5.961577
ur5e,08f895e22c5162e0796964649a1fcdb582c61bccc5e4d0e8b349bbca35756523,trajectory_23,joint_limit_return,tar_corrected,True,True,False,False,0,0,0,4.577873666666667,6.717321666666667
ur5e,118730753d57a2523105ec3ee6ba017c9c2775dda076f4c79f2396693e83c7a9,trajectory_35,high_curvature,tar_corrected,True,True,False,False,0,0,0,3.1101926666666664,3.2777806666666667
ur5e,13896bc6c5f688854ad405268705ab3bb2a8fec56ac1e75c8a872707a3f652f8,trajectory_08,smooth,tar_corrected,True,True,False,False,0,0,0,3.0923503333333335,3.2706223333333333
