problem_id,robot,stratum,kappa,method,repeat,reason,theta,dual_updates,active_updates,upper,lower,gap,pzero,model_fraction,bounds_valid,raw_gap,objective,feasible_box_violation,normal_residual,dual_lower,box_minorant_lower,task_squared,outer_ns,kernel_ns,conversion_ns,verifier_calls,command_accepted,common_gap,tight_quality_pass,common_normalized_gap,model_fraction_vs_reference,objective_difference_vs_clarabel,raw_box_violation,roundoff_projection,raw_epigraph_violation,native_theta_weights,iterations,status,native_primal_objective,native_dual_objective,native_primal_residual,native_dual_residual,setup_update_ns,solve_ns,native_seconds,updated,total_ns,box_qp_updates,primal_upper,converged,task_feasible_early,deadline
panda_trajectory_21_k1_f149,panda,regular_first_subproblems,1,clarabel_epigraph,2,,0.3798906248632046,,,,,,,,,,0.06369652863651208,0.0,4.5062756046823776e-05,0.06369642709412947,0.06369642709412945,"[1.2547675317314192e-06,1.2547517546684188e-06]",156367,150426,4168,0,,2.673324617230577e-10,True,2.673324617230577e-10,,0.0,0.0,0.0,0.0,"[0.37989062487312386,0.620109375152987]",11,Solved,0.06369652866284377,0.06369652806594159,3.6773648083500036e-10,1.4222479029301235e-11,23214,66526,0.00022956,True,148257,,,,,
panda_trajectory_21_k1_f149,panda,regular_first_subproblems,1,old_command,2,,0.5,1,,,,,,,,,0.06369705774274599,0.0,2.7245515444068443e-14,0.06369645573481753,0.06369645573481753,"[7.144645050339586e-07,1.9184803619683596e-06]",308588,169808,4474,2,True,5.293735663713939e-07,False,5.293735663713939e-07,,5.291062339096708e-07,,,,,,task_feasible_early,,,,,,,,,,1,,False,True,False
panda_trajectory_21_k1_f149,panda,regular_first_subproblems,1,cached_command,1,task_first,0.5,1,,,,,,,,,0.06369705774274599,0.0,3.192504173130471e-14,0.06369645573481753,0.06369645573481753,"[7.144645050342813e-07,1.918480361968592e-06]",283007,143157,4693,2,True,5.293735663713939e-07,False,5.293735663713939e-07,,5.291062339096708e-07,,,,,,,,,,,,,,,,,,,,
panda_trajectory_21_k1_f149,panda,regular_first_subproblems,1,relative_command,1,task_first,0.5,1,,,,,,,,,0.06369705774274599,0.0,3.192504173130471e-14,0.06369645573481753,0.06369645573481753,"[7.144645050342813e-07,1.918480361968592e-06]",277142,142468,4257,2,True,5.293735663713939e-07,False,5.293735663713939e-07,,5.291062339096708e-07,,,,,,,,,,,,,,,,,,,,
panda_trajectory_21_k1_f149,panda,regular_first_subproblems,1,old_command,1,,0.5,1,,,,,,,,,0.06369705774274599,0.0,2.7245515444068443e-14,0.06369645573481753,0.06369645573481753,"[7.144645050339586e-07,1.9184803619683596e-06]",304641,169059,4003,2,True,5.293735663713939e-07,False,5.293735663713939e-07,,5.291062339096708e-07,,,,,,task_feasible_early,,,,,,,,,,1,,False,True,False
panda_trajectory_21_k1_f149,panda,regular_first_subproblems,1,cached_tight,1,tight_gap,0.3856362725279163,2,2,0.06369655528221459,0.0636965283691796,2.691303498114639e-08,6.546214141792001,0.999999995848367,True,2.691303498114639e-08,0.06369655528221459,0.0,2.670449884045373e-14,0.0636965283691796,0.0636965283691796,"[1.2011513718759455e-06,1.270940022208589e-06]",188158,148568,4703,0,,2.69130349672686e-08,True,2.69130349672686e-08,0.9999999958896059,2.6645702505545543e-08,,,,,,,,,,,,,,,,,,,,
panda_trajectory_21_k1_f149,panda,regular_first_subproblems,1,clarabel_command,1,,0.3798906248632046,,,,,,,,,,0.06369652863651208,0.0,4.5062756046823776e-05,0.06369642709412947,0.06369642709412945,"[1.2547675317314192e-06,1.2547517546684188e-06]",261141,146870,4474,1,True,2.673324617230577e-10,True,2.673324617230577e-10,,0.0,0.0,0.0,0.0,"[0.37989062487312386,0.620109375152987]",11,Solved,0.06369652866284377,0.06369652806594159,3.6773648083500036e-10,1.4222479029301235e-11,24159,63460,0.000225372,True,144860,,,,,
panda_trajectory_21_k1_f149,panda,regular_first_subproblems,1,clarabel_epigraph,1,,0.3798906248632046,,,,,,,,,,0.06369652863651208,0.0,4.5062756046823776e-05,0.06369642709412947,0.06369642709412945,"[1.2547675317314192e-06,1.2547517546684188e-06]",150382,144075,4562,0,,2.673324617230577e-10,True,2.673324617230577e-10,,0.0,0.0,0.0,0.0,"[0.37989062487312386,0.620109375152987]",11,Solved,0.06369652866284377,0.06369652806594159,3.6773648083500036e-10,1.4222479029301235e-11,23154,61391,0.000224353,True,142153,,,,,
panda_trajectory_21_k1_f149,panda,regular_first_subproblems,1,old_tight,1,,0.3856362725278188,2,,,,2.69130349672686e-08,,,,2.69130349672686e-08,0.06369655528221459,0.0,1.3091219639867969e-14,0.06369652836917962,0.06369652836917962,"[1.2011513718692525e-06,1.2709400222023912e-06]",192755,152048,4314,0,,2.69130349672686e-08,True,2.69130349672686e-08,,2.6645702505545543e-08,,,,,,gap_converged,,,,,,,,,,2,0.06369655528221459,True,False,False
panda_trajectory_21_k1_f149,panda,regular_first_subproblems,1,relative_progress,1,relative_progress,0.5,1,1,0.06369705774274599,0.06369645573481753,6.020079284657642e-07,6.546214141792001,0.9999999071336234,True,6.020079284657642e-07,0.06369705774274599,0.0,3.192504173130471e-14,0.06369645573481753,0.06369645573481753,"[7.144645050342813e-07,1.918480361968592e-06]",113681,75235,4113,0,,5.293735663713939e-07,False,5.293735663713939e-07,0.9999999183795145,5.291062339096708e-07,,,,,,,,,,,,,,,,,,,,
panda_trajectory_21_k1_f149,panda,regular_first_subproblems,1,cached_command,0,task_first,0.5,1,,,,,,,,,0.06369705774274599,0.0,3.192504173130471e-14,0.06369645573481753,0.06369645573481753,"[7.144645050342813e-07,1.918480361968592e-06]",282427,144319,4300,2,True,5.293735663713939e-07,False,5.293735663713939e-07,,5.291062339096708e-07,,,,,,,,,,,,,,,,,,,,
panda_trajectory_21_k1_f149,panda,regular_first_subproblems,1,old_command,0,,0.5,1,,,,,,,,,0.06369705774274599,0.0,2.7245515444068443e-14,0.06369645573481753,0.06369645573481753,"[7.144645050339586e-07,1.9184803619683596e-06]",307232,171515,4336,2,True,5.293735663713939e-07,False,5.293735663713939e-07,,5.291062339096708e-07,,,,,,task_feasible_early,,,,,,,,,,1,,False,True,False
panda_trajectory_21_k1_f149,panda,regular_first_subproblems,1,clarabel_epigraph,0,,0.3798906248632046,,,,,,,,,,0.06369652863651208,0.0,4.5062756046823776e-05,0.06369642709412947,0.06369642709412945,"[1.2547675317314192e-06,1.2547517546684188e-06]",155705,149622,4343,0,,2.673324617230577e-10,True,2.673324617230577e-10,,0.0,0.0,0.0,0.0,"[0.37989062487312386,0.620109375152987]",11,Solved,0.06369652866284377,0.06369652806594159,3.6773648083500036e-10,1.4222479029301235e-11,24819,65236,0.000226503,True,147529,,,,,
panda_trajectory_21_k1_f149,panda,regular_first_subproblems,1,relative_command,0,task_first,0.5,1,,,,,,,,,0.06369705774274599,0.0,3.192504173130471e-14,0.06369645573481753,0.06369645573481753,"[7.144645050342813e-07,1.918480361968592e-06]",275647,139433,4394,2,True,5.293735663713939e-07,False,5.293735663713939e-07,,5.291062339096708e-07,,,,,,,,,,,,,,,,,,,,
panda_trajectory_21_k1_f149,panda,regular_first_subproblems,1,clarabel_command,0,,0.3798906248632046,,,,,,,,,,0.06369652863651208,0.0,4.5062756046823776e-05,0.06369642709412947,0.06369642709412945,"[1.2547675317314192e-06,1.2547517546684188e-06]",249489,138566,4318,1,True,2.673324617230577e-10,True,2.673324617230577e-10,,0.0,0.0,0.0,0.0,"[0.37989062487312386,0.620109375152987]",11,Solved,0.06369652866284377,0.06369652806594159,3.6773648083500036e-10,1.4222479029301235e-11,24038,58237,0.000220645,True,136750,,,,,
panda_trajectory_21_k1_f149,panda,regular_first_subproblems,1,relative_progress,0,relative_progress,0.5,1,1,0.06369705774274599,0.06369645573481753,6.020079284657642e-07,6.546214141792001,0.9999999071336234,True,6.020079284657642e-07,0.06369705774274599,0.0,3.192504173130471e-14,0.06369645573481753,0.06369645573481753,"[7.144645050342813e-07,1.918480361968592e-06]",118211,80248,4147,0,,5.293735663713939e-07,False,5.293735663713939e-07,0.9999999183795145,5.291062339096708e-07,,,,,,,,,,,,,,,,,,,,
panda_trajectory_21_k1_f149,panda,regular_first_subproblems,1,old_tight,0,,0.3856362725278188,2,,,,2.69130349672686e-08,,,,2.69130349672686e-08,0.06369655528221459,0.0,1.3091219639867969e-14,0.06369652836917962,0.06369652836917962,"[1.2011513718692525e-06,1.2709400222023912e-06]",192657,152259,4527,0,,2.69130349672686e-08,True,2.69130349672686e-08,,2.6645702505545543e-08,,,,,,gap_converged,,,,,,,,,,2,0.06369655528221459,True,False,False
panda_trajectory_21_k1_f149,panda,regular_first_subproblems,1,cached_tight,0,tight_gap,0.3856362725279163,2,2,0.06369655528221459,0.0636965283691796,2.691303498114639e-08,6.546214141792001,0.999999995848367,True,2.691303498114639e-08,0.06369655528221459,0.0,2.670449884045373e-14,0.0636965283691796,0.0636965283691796,"[1.2011513718759455e-06,1.270940022208589e-06]",190003,150747,4312,0,,2.69130349672686e-08,True,2.69130349672686e-08,0.9999999958896059,2.6645702505545543e-08,,,,,,,,,,,,,,,,,,,,
panda_trajectory_10_k0_f3,panda,regular_first_subproblems,0,clarabel_epigraph,4,,0.2566835211533148,,,,,,,,,,6.720530721389196e-06,0.0,1.725541551235098e-07,6.7205292301913894e-06,6.7205292301913894e-06,"[9.112286463709121e-10,9.112381950319817e-10]",195959,188974,4919,0,,1.491197806342381e-12,True,1.491197806342381e-12,,0.0,0.0,0.0,3.8052894586133064e-15,"[0.2566835211533148,0.7433164788466853]",16,AlmostSolved,6.720530717583905e-06,6.720530717525477e-06,7.084265019064955e-06,3.297886426651381e-17,25685,93814,0.000256781,True,186674,,,,,
panda_trajectory_10_k0_f3,panda,regular_first_subproblems,0,cached_tight,4,tight_gap,0.5,1,1,6.721201534880213e-06,6.720315130583261e-06,8.86404296951628e-10,1.2358148752180822,0.9999999992827331,True,8.86404296951628e-10,6.721201534880213e-06,0.0,1.249185926169645e-14,6.720315130583261e-06,6.720315130583261e-06,"[2.404479146167514e-10,2.0132565085204676e-09]",127753,88546,4410,0,,6.72304688823457e-10,True,6.72304688823457e-10,0.9999999994571864,6.708134910171146e-10,,,,,,,,,,,,,,,,,,,,
panda_trajectory_10_k0_f3,panda,regular_first_subproblems,0,relative_progress,4,relative_progress,0.5,1,1,6.721201534880213e-06,6.720315130583261e-06,8.86404296951628e-10,1.2358148752180822,0.9999999992827331,True,8.86404296951628e-10,6.721201534880213e-06,0.0,1.249185926169645e-14,6.720315130583261e-06,6.720315130583261e-06,"[2.404479146167514e-10,2.0132565085204676e-09]",120875,79571,4378,0,,6.72304688823457e-10,True,6.72304688823457e-10,0.9999999994571864,6.708134910171146e-10,,,,,,,,,,,,,,,,,,,,
panda_trajectory_10_k0_f3,panda,regular_first_subproblems,0,relative_command,4,task_first,0.5,1,,,,,,,,,6.721201534880213e-06,0.0,1.249185926169645e-14,6.720315130583261e-06,6.720315130583261e-06,"[2.404479146167514e-10,2.0132565085204676e-09]",289928,152940,4508,2,True,6.72304688823457e-10,True,6.72304688823457e-10,,6.708134910171146e-10,,,,,,,,,,,,,,,,,,,,
panda_trajectory_10_k0_f3,panda,regular_first_subproblems,0,old_tight,4,,0.5,1,,,,8.864042968770891e-10,,,,8.864042968770891e-10,6.721201534880135e-06,0.0,8.215650382226158e-15,6.720315130583258e-06,6.720315130583258e-06,"[2.404479145198885e-10,2.013256508275157e-09]",123672,85178,4289,0,,6.7230468874553e-10,True,6.7230468874553e-10,,6.708134909391876e-10,,,,,,gap_converged,,,,,,,,,,1,6.721201534880135e-06,True,False,False
panda_trajectory_10_k0_f3,panda,regular_first_subproblems,0,cached_command,4,task_first,0.5,1,,,,,,,,,6.721201534880213e-06,0.0,1.249185926169645e-14,6.720315130583261e-06,6.720315130583261e-06,"[2.404479146167514e-10,2.0132565085204676e-09]",273281,138037,5881,2,True,6.72304688823457e-10,True,6.72304688823457e-10,,6.708134910171146e-10,,,,,,,,,,,,,,,,,,,,
panda_trajectory_10_k0_f3,panda,regular_first_subproblems,0,old_command,4,,0.5,1,,,,,,,,,6.721201534880135e-06,0.0,8.215650382226158e-15,6.720315130583258e-06,6.720315130583258e-06,"[2.404479145198885e-10,2.013256508275157e-09]",296839,160166,3900,2,True,6.7230468874553e-10,True,6.7230468874553e-10,,6.708134909391876e-10,,,,,,task_feasible_early,,,,,,,,,,1,,False,True,False
