robot,method,baseline,metric,units,difference,difference_ci,ratio,ratio_ci
panda,balance_progress_k1,task_balance_k1,deadline_completion,80,0.0,"[-0.01666666666666667,0.01666666666666667]",0.9999999999999998,"[0.9829059829059827,1.0172413793103445]"
panda,balance_progress_k1,task_balance_k1,total_latency_ns,80,-50256738.025,"[-70660657.29583333,-36481660.4065625]",0.5066290819288877,"[0.4975081548225123,0.5152584686019196]"
panda,balance_progress_k1,task_balance_k1,frame_success,80,5.555555555555591e-05,"[0.0,0.00013888888888888978]",1.000056157690796,"[1.0,1.000140406054309]"
panda,balance_progress_k1,task_balance_k1,acceleration_rms,80,-0.01862608269307102,"[-0.04775756416815004,5.597065128836141e-06]",0.9949559840584223,"[0.9871291064507075,1.0000016740963]"
panda,balance_progress_k1,task_balance_k1,successful_prefix,80,0.5916666666666668,"[0.0,1.479166666666667]",1.0040029317246435,"[1.0,1.0100677802671507]"
panda,balance_progress_k1,trac_task_5ms,completion,80,-0.0125,"[-0.05,0.025]",0.9873417721518988,"[0.9487179487179487,1.025974025974026]"
panda,balance_progress_k1,trac_task_5ms,deadline_completion,80,-0.01666666666666667,"[-0.0625,0.025]",0.983050847457627,"[0.9369747899159662,1.026086956521739]"
panda,balance_progress_k1,trac_task_5ms,total_latency_ns,80,19664477.94166667,"[-19277.05677083138,43772999.60916669]",1.6156155454133891,"[0.9994777585644817,2.50833940748662]"
panda,balance_progress_k1,trac_task_5ms,frame_success,80,-0.004861111111111112,"[-0.023388888888888893,0.012833333333333332]",0.9951105026403286,"[0.9763363498398068,1.01306080909168]"
panda,balance_progress_k1,trac_task_5ms,acceleration_rms,80,0.5885284106397753,"[-0.18236905094025335,1.3954279466482584]",1.190736680677565,"[0.9435060972179209,1.483236114410186]"
panda,balance_progress_k1,trac_task_5ms,successful_prefix,80,-0.625,"[-3.4375,2.2375]",0.9958060728065761,"[0.9770833333333333,1.0152133265340813]"
panda,balance_progress_k1,trac_task_20ms,completion,80,-0.0125,"[-0.05,0.025]",0.9873417721518988,"[0.9487179487179487,1.025974025974026]"
panda,balance_progress_k1,trac_task_20ms,deadline_completion,80,-0.020833333333333336,"[-0.06666666666666668,0.020833333333333332]",0.9789029535864978,"[0.9333333333333332,1.0216450216450217]"
panda,balance_progress_k1,trac_task_20ms,total_latency_ns,80,7186120.845833331,"[-36460135.849895835,40175347.97729167]",1.1617725194883215,"[0.5491759879268571,2.513721492862983]"
panda,balance_progress_k1,trac_task_20ms,frame_success,80,-0.005083333333333334,"[-0.023833333333333335,0.012166666666666664]",0.9948881253666304,"[0.9758975223327153,1.0123739299940673]"
panda,balance_progress_k1,trac_task_20ms,acceleration_rms,80,0.5128434099491596,"[-0.2767017973532404,1.3260204272170972]",1.1622285880816428,"[0.9214841039314692,1.4511470057451372]"
panda,balance_progress_k1,trac_task_20ms,successful_prefix,80,-0.7625,"[-3.575,1.825]",0.9948881253666304,"[0.9758975223327153,1.0123739299940673]"
ur5e,balance_cached_k1,task_balance_k1,completion,80,0.0041666666666666675,"[0.0,0.0125]",1.00418410041841,"[1.0,1.0126582278481013]"
ur5e,balance_cached_k1,task_balance_k1,deadline_completion,80,0.0041666666666666675,"[0.0,0.0125]",1.00418410041841,"[1.0,1.0126582278481013]"
ur5e,balance_cached_k1,task_balance_k1,total_latency_ns,80,-34063929.145833336,"[-34579445.63125,-33667858.347500004]",0.5034791652559993,"[0.5000925500588395,0.5056655073804971]"
ur5e,balance_cached_k1,task_balance_k1,frame_success,80,2.7777777777777955e-05,"[0.0,8.333333333333387e-05]",1.0000277785494043,"[1.0,1.0000833402783564]"
ur5e,balance_cached_k1,task_balance_k1,acceleration_rms,80,-0.005254667065992184,"[-0.01576400119939309,1.3005203511329278e-12]",0.9988294817660467,"[0.996138661057567,1.000000000000279]"
ur5e,balance_cached_k1,task_balance_k1,successful_prefix,80,0.2791666666666666,"[0.0,0.8374999999999998]",1.0018645813040938,"[1.0,1.0056146819743568]"
