robot,method,family,queries,calls,success_by_repeat,verified_success,within20,missed_per_repeat,stable_missed_uids,mixed_uids,p50_p95_p99_ms,mean_latency_ms,cumulative_ms_per_sweep,late_calls,accepted_position_p50_p95_p99_max_m,accepted_orientation_p50_p95_p99_max_rad,edge_fraction
ur5e,task_balance_k1,hard_feasible,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[1.205858,2.60390015,2.76245445]",1.2417369413333332,620.8684706666667,0,"[1.7348170553989826e-05,0.0008786664257263642,0.0009801670924393206,0.0009950799551409245]","[3.2351026356157487e-05,0.0031711788707677463,0.0038798279038481315,0.007182758514585289]",0.038
ur5e,balance_cached_k1,all,2000,6000,"[2000,2000,2000]",1.0,1.0,"[0,0,0]",0,0,"[0.293099,1.0856606500000001,2.2631599500000004]",0.430059815,860.11963,0,"[6.269748429336936e-05,0.0007098039336942625,0.0009213099511975356,0.0009950799551409245]","[0.00012580750877185667,0.0018607581167532467,0.003606558474789162,0.007762970944548852]",0.0125
ur5e,balance_cached_k1,local,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.283473,0.32509764999999996,0.35726977000000004]",0.288622496,144.311248,0,"[0.00010326836603368053,0.0004317601709876271,0.0007105332034835833,0.0008369177444113265]","[0.00014667199553188373,0.0007189342194779567,0.001300183690187799,0.0056368827422437675]",0.0
ur5e,balance_cached_k1,near_singular,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.285284,0.3319905999999999,0.4565718899999997]",0.293876004,146.938002,0,"[6.455625946087468e-05,0.0005468117252627246,0.0008045900230202234,0.0009872813350674295]","[0.00016773419035729232,0.0013484062338825528,0.005297284142378482,0.007762970944548852]",0.006
ur5e,balance_cached_k1,near_limit,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.285004,0.33286679999999996,0.38267614]",0.291954842,145.977421,0,"[7.352588912409275e-05,0.000542335740732797,0.0008354365227976066,0.0009709337902649222]","[0.0001320983212782267,0.0008949862367254159,0.0014304819173711185,0.004866271313408072]",0.006
ur5e,balance_cached_k1,hard_feasible,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.752544,2.2233170999999996,2.36768671]",0.8457859179999999,422.892959,0,"[1.7348170553987014e-05,0.0008786664257260955,0.0009801670924392146,0.0009950799551409245]","[3.2351026356075995e-05,0.003171178870767472,0.0038798279038481315,0.0071827585145853865]",0.038
ur5e,balance_progress_k1,all,2000,6000,"[2000,2000,2000]",1.0,1.0,"[0,0,0]",0,0,"[0.2929405,0.48317235,0.53279563]",0.32184551299999997,643.691026,0,"[6.198622728697422e-05,0.0006862201871413623,0.0009144623576208186,0.0009950799551409245]","[0.00012105482253095696,0.001750064633330358,0.0034560073962303928,0.007762970944548852]",0.0115
ur5e,balance_progress_k1,local,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.2845205,0.3266463,0.36266092]",0.28844208866666665,144.22104433333334,0,"[0.00010326836603368053,0.0004317601709876271,0.0007105332034835833,0.0008369177444113265]","[0.00014667199553188373,0.0007189342194779567,0.001300183690187799,0.0056368827422437675]",0.0
ur5e,balance_progress_k1,near_singular,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.2848545,0.3306874,0.42322366999999994]",0.28902109533333337,144.51054766666667,0,"[6.455625946087468e-05,0.0005381727423956048,0.0007481153641984098,0.0009872813350674295]","[0.00016439871588778173,0.0013403204188653908,0.005297284142378482,0.007762970944548852]",0.004
ur5e,balance_progress_k1,near_limit,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.284073,0.33487884999999995,0.36730369]",0.289595082,144.797541,0,"[7.352588912409275e-05,0.000542335740732797,0.0008354365227976066,0.0009709337902649222]","[0.0001320983212782267,0.0008949862367254159,0.0014304819173711185,0.004866271313408072]",0.006
ur5e,balance_progress_k1,hard_feasible,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.438285,0.5261800999999999,0.57104934]",0.42032378600000003,210.161893,0,"[1.6446786520422303e-05,0.0008578977384084926,0.0009753142588601659,0.0009950799551409245]","[2.7360435287266873e-05,0.003078519251314148,0.0038152015573526144,0.0071827585145853865]",0.036
ur5e,trac_task_5ms,all,2000,6000,"[1999,1999,2000]",0.9996666666666667,0.9996666666666667,"[1,1,0]",0,1,"[0.212423,0.26388550000000005,0.3970512200000012]",0.235898394,471.796788,0,"[6.662361298524346e-05,0.0004737216686172833,0.0006922320968693518,0.0009181046448264866]","[7.674828080757769e-05,0.0010203501715388135,0.00342244907930219,0.007345682801710552]",0.0010003334444814939
ur5e,trac_task_5ms,local,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.20738,0.248424,0.28281572]",0.21099938266666668,105.49969133333333,0,"[0.00010442726275758725,0.0004286008092813236,0.0005820952805369649,0.0008224973381293629]","[0.0001378431942170022,0.0007369143434817688,0.0013014140175747234,0.006293959444047275]",0.0
ur5e,trac_task_5ms,near_singular,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.2136585,0.28306755,3.5849599199999997]",0.27200642066666664,136.00321033333333,0,"[0.00010888214833729825,0.0004582045285300174,0.0006046765929098132,0.0009181046448264866]","[8.632420522199576e-05,0.0014207696517412655,0.004418334074838741,0.007118259815973196]",0.004
ur5e,trac_task_5ms,near_limit,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.209023,0.25587814999999997,0.29804008000000004]",0.220572562,110.286281,0,"[7.194590115992701e-05,0.0004950799193249322,0.0006677233203277914,0.0008455974642166731]","[0.00011326714384494386,0.0008300091186538271,0.0019712161928855717,0.004866271313408072]",0.0
ur5e,trac_task_5ms,hard_feasible,500,1500,"[499,499,500]",0.9986666666666667,0.9986666666666667,"[1,1,0]",0,1,"[0.2225395,0.2690183,0.33716771999999995]",0.24001521066666667,120.00760533333333,0,"[1.1762346309705554e-05,0.0005282526798653655,0.0007527295983300937,0.0008980151065040376]","[1.2704924359526616e-05,0.001895887633929687,0.0038664677173054236,0.007345682801710552]",0.0
ur5e,trac_task_20ms,all,2000,6000,"[2000,2000,2000]",1.0,1.0,"[0,0,0]",0,0,"[0.2129045,0.26375875,0.42264990000000024]",0.23527092566666669,470.54185133333334,0,"[6.629158183715195e-05,0.0004737216686172833,0.0006917683532235502,0.0009181046448264866]","[7.666859549535713e-05,0.001034136030620678,0.0034045164693731395,0.007118259815973196]",0.001
ur5e,trac_task_20ms,local,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.207715,0.24678345000000002,0.27340234999999996]",0.21106262599999998,105.531313,0,"[0.00010442726275758725,0.0004286008092813236,0.000605762167513179,0.0008224973381293629]","[0.0001378431942170022,0.0007369143434817688,0.0013014140175747234,0.0034043353318991046]",0.0
ur5e,trac_task_20ms,near_singular,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.2130065,0.28223099999999995,3.34496771]",0.2717825446666667,135.89127233333335,0,"[0.00010806318727632924,0.00045242672905073127,0.0006041913247018088,0.0009181046448264866]","[8.632420522199576e-05,0.0014209853526637839,0.004419163935804237,0.007118259815973196]",0.004
ur5e,trac_task_20ms,near_limit,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.2098375,0.2561689,0.29507474999999994]",0.22295537866666665,111.47768933333333,0,"[7.277715475181837e-05,0.0004950799193249322,0.0006851627315115771,0.0008455974642166731]","[0.0001138625861051675,0.0008300091186538271,0.002452086520668078,0.004866271313408072]",0.0
ur5e,trac_task_20ms,hard_feasible,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.2226725,0.27148764999999997,0.31633176]",0.23528315333333333,117.64157666666667,0,"[1.1851344450637103e-05,0.0005282526798653655,0.0007513561797178973,0.0008980151065040376]","[1.2678504305609145e-05,0.0018817926759484654,0.0038664677173054236,0.00671593615295156]",0.0
