site_id,candidate_id,variant,repeat,accepted,failure_kind,position_error,orientation_error,velocity_margin,q
case_03_pre_failure,candidate_08,reused_ordinary,0,False,solver_failure,0.0014824386543495652,0.01284294297798027,0.0436,"[-2.5293365810307753, -0.08340744942955287, -1.2216109910089912, -0.36403473292596605, 1.6037275602784078, 0.20151872410669536, -0.6536678311232419]"
case_03_pre_failure,candidate_09,reused_ordinary,1,True,accepted,9.287894495452393e-06,1.3779453039970798e-06,0.002153661595517914,"[-2.5755748588456107, -0.09160077986253376, -1.135573318042872, -0.3693823657071556, 1.5436606042678944, 0.20439371056353214, -0.6635635657202987]"
case_03_pre_failure,candidate_00,reused_ordinary,0,False,solver_failure,0.001394595737122606,0.012426891623272098,0.0436,"[-2.5349211704867685, -0.0892611422010342, -1.189669151620736, -0.3673078744945731, 1.5725777802751864, 0.20570825140077728, -0.658067130862223]"
case_03_pre_failure,candidate_00,reused_ordinary,2,False,solver_failure,0.001394595737122606,0.012426891623272098,0.0436,"[-2.5349211704867685, -0.0892611422010342, -1.189669151620736, -0.3673078744945731, 1.5725777802751864, 0.20570825140077728, -0.658067130862223]"
case_03_pre_failure,candidate_08,reused_ordinary,2,False,solver_failure,0.0014824386543495652,0.01284294297798027,0.0436,"[-2.5293365810307753, -0.08340744942955287, -1.2216109910089912, -0.36403473292596605, 1.6037275602784078, 0.20151872410669536, -0.6536678311232419]"
case_03_pre_failure,candidate_00,reused_ordinary,3,False,solver_failure,0.001394595737122606,0.012426891623272098,0.0436,"[-2.5349211704867685, -0.0892611422010342, -1.189669151620736, -0.3673078744945731, 1.5725777802751864, 0.20570825140077728, -0.658067130862223]"
case_03_pre_failure,candidate_09,reused_ordinary,0,False,solver_failure,0.00139443012664059,0.012429324760746492,0.0436,"[-2.552623167477403, -0.08880765663354132, -1.177019656447354, -0.3691154977395197, 1.5751000687517562, 0.20486835842983628, -0.6606100115249115]"
case_03_pre_failure,candidate_00,reused_ordinary,1,False,solver_failure,0.001394595737122606,0.012426891623272098,0.0436,"[-2.5349211704867685, -0.0892611422010342, -1.189669151620736, -0.3673078744945731, 1.5725777802751864, 0.20570825140077728, -0.658067130862223]"
case_03_pre_failure,candidate_08,reused_ordinary,3,False,solver_failure,0.0014824386543495652,0.01284294297798027,0.0436,"[-2.5293365810307753, -0.08340744942955287, -1.2216109910089912, -0.36403473292596605, 1.6037275602784078, 0.20151872410669536, -0.6536678311232419]"
case_03_pre_failure,candidate_09,reused_ordinary,2,False,solver_failure,0.00139443012664059,0.012429324760746492,0.0436,"[-2.552623167477403, -0.08880765663354132, -1.177019656447354, -0.3691154977395197, 1.5751000687517562, 0.20486835842983628, -0.6606100115249115]"
case_03_pre_failure,candidate_09,reused_ordinary,3,True,accepted,8.761662230253668e-06,2.2986191131957524e-06,1.3877787807814457e-16,"[-2.5841354449419156, -0.09052837924230278, -1.1334196564473542, -0.3697178555868309, 1.5495383241919576, 0.20330735234542108, -0.6641075439949761]"
case_03_pre_failure,candidate_08,reused_ordinary,1,False,solver_failure,0.0014824386543495652,0.01284294297798027,0.0436,"[-2.5293365810307753, -0.08340744942955287, -1.2216109910089912, -0.36403473292596605, 1.6037275602784078, 0.20151872410669536, -0.6536678311232419]"
