run_id,site_id,uid,role,candidate_id,variant,repeat,frame,frames,complete,accepted_frames,first_failure,first_failure_kind,contiguous_success_frames,total_latency_ns,refinement_latency_ns,refinement_residual_calls,refinement_scipy_nfev,initial_refinement_latency_ns,initial_refinement_residual_calls,native_trac_fev,total_fev,witness
case_01_pre_failure_matched_00_ordinary_matched_r4,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,matched_00,ordinary_matched,4,33,30,False,0,34,solver_failure,0,163754577,0,0,0,0,0,,,
case_01_pre_failure_matched_01_ordinary_matched_r0,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,matched_01,ordinary_matched,0,33,30,True,30,,,30,16191403,0,0,0,0,0,,,successful_witnesses/case_01_pre_failure_matched_01_ordinary_matched_r0.json
case_01_pre_failure_matched_03_ordinary_matched_r3,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,matched_03,ordinary_matched,3,33,30,False,0,34,solver_failure,0,163490295,0,0,0,0,0,,,
case_01_pre_failure_matched_04_ordinary_matched_r1,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,matched_04,ordinary_matched,1,33,30,True,30,,,30,15696602,0,0,0,0,0,,,successful_witnesses/case_01_pre_failure_matched_04_ordinary_matched_r1.json
case_01_pre_failure_matched_05_ordinary_matched_r2,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,matched_05,ordinary_matched,2,33,30,True,30,,,30,17239302,0,0,0,0,0,,,successful_witnesses/case_01_pre_failure_matched_05_ordinary_matched_r2.json
case_01_pre_failure_matched_00_ordinary_matched_r1,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,matched_00,ordinary_matched,1,33,30,False,0,34,solver_failure,0,163862255,0,0,0,0,0,,,
case_01_pre_failure_matched_02_ordinary_matched_r4,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,matched_02,ordinary_matched,4,33,30,True,30,,,30,15323805,0,0,0,0,0,,,successful_witnesses/case_01_pre_failure_matched_02_ordinary_matched_r4.json
case_01_pre_failure_matched_04_ordinary_matched_r2,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,matched_04,ordinary_matched,2,33,30,True,30,,,30,15437754,0,0,0,0,0,,,successful_witnesses/case_01_pre_failure_matched_04_ordinary_matched_r2.json
case_01_pre_failure_candidate_00_uniform_refinement_r2,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,candidate_00,uniform_refinement,2,33,30,False,0,34,solver_failure,0,163893943,0,0,0,173287319,1600,,,
case_01_pre_failure_matched_03_ordinary_matched_r2,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,matched_03,ordinary_matched,2,33,30,False,0,34,solver_failure,0,164169125,0,0,0,0,0,,,
