slot,robot,family,method,repeat,status,optimizer_build_time,optimizer_solver_time,optimizer_elapsed,optimizer_iterations,optimizer_status,optimizer_sample_constraint_violation,optimizer_solver_feasible,verified_improved_incumbents,checkpoint_1.0_available_s,checkpoint_1.0_source,checkpoint_1.0_objective,checkpoint_1.0_relative_to_initial,checkpoint_5.0_available_s,checkpoint_5.0_source,checkpoint_5.0_objective,checkpoint_5.0_relative_to_initial,checkpoint_10.0_available_s,checkpoint_10.0_source,checkpoint_10.0_objective,checkpoint_10.0_relative_to_initial,checkpoint_30.0_available_s,checkpoint_30.0_source,checkpoint_30.0_objective,checkpoint_30.0_relative_to_initial,primary_control_change_max_rad
ur5e_cylinder_p1_u,ur5e,cylinder,B2,2,planner_feasible,4.051151641004253,26.907395217989688,30.95854634400166,60,User_Requested_Stop,0.0,,0,,,,,1.6993012669991003,verified_initial_path,23.918464850189068,1.0,1.6993012669991003,verified_initial_path,23.918464850189068,1.0,1.6993012669991003,verified_initial_path,23.918464850189068,1.0,0.0
ur5e_cylinder_p1_u,ur5e,cylinder,G,0,planner_feasible,2.180731642001774,28.816939604992513,30.997671042001457,50,User_Requested_Stop,1.071605080652339,False,1,,,,,3.7934823940013302,nonlinear_validated_iterate,13.56145517735741,0.9999999999999996,3.7934823940013302,nonlinear_validated_iterate,13.56145517735741,0.9999999999999996,3.7934823940013302,nonlinear_validated_iterate,13.56145517735741,0.9999999999999996,
ur5e_cylinder_p1_u,ur5e,cylinder,G,1,planner_feasible,2.1898207850026665,28.759429219993763,30.94924979499774,50,User_Requested_Stop,1.071605080652339,False,1,,,,,3.8036967480002204,nonlinear_validated_iterate,13.56145517735741,0.9999999999999996,3.8036967480002204,nonlinear_validated_iterate,13.56145517735741,0.9999999999999996,3.8036967480002204,nonlinear_validated_iterate,13.56145517735741,0.9999999999999996,
ur5e_cylinder_p1_u,ur5e,cylinder,G,2,planner_feasible,2.184832847007783,28.627539894994698,30.812372583008255,50,User_Requested_Stop,1.071605080652339,False,1,,,,,3.789855170005467,nonlinear_validated_iterate,13.56145517735741,0.9999999999999996,3.789855170005467,nonlinear_validated_iterate,13.56145517735741,0.9999999999999996,3.789855170005467,nonlinear_validated_iterate,13.56145517735741,0.9999999999999996,
ur5e_cylinder_p1_v,ur5e,cylinder,B1,0,planner_feasible,2.1845018320018426,27.99449840199668,30.17900010800804,45,User_Requested_Stop,0.0,True,3,,,,,3.7850432220002403,nonlinear_validated_iterate,5.884916652255964,0.9999999999999997,3.7850432220002403,nonlinear_validated_iterate,5.884916652255964,0.9999999999999997,27.152702366001904,nonlinear_validated_iterate,0.3744699362978418,0.06363215631172785,
ur5e_cylinder_p1_v,ur5e,cylinder,B1,1,planner_feasible,2.194607055003871,28.019227590004448,30.213834513007896,45,User_Requested_Stop,0.0,True,3,,,,,3.793997439002851,nonlinear_validated_iterate,5.884916652255964,0.9999999999999997,3.793997439002851,nonlinear_validated_iterate,5.884916652255964,0.9999999999999997,27.17121257900726,nonlinear_validated_iterate,0.3744699362978418,0.06363215631172785,
ur5e_cylinder_p1_v,ur5e,cylinder,B1,2,planner_feasible,2.186734235001495,28.004064531996846,30.190798572002677,45,User_Requested_Stop,0.0,True,3,,,,,3.7810847389919218,nonlinear_validated_iterate,5.884916652255964,0.9999999999999997,3.7810847389919218,nonlinear_validated_iterate,5.884916652255964,0.9999999999999997,27.161535363993607,nonlinear_validated_iterate,0.3744699362978418,0.06363215631172785,
ur5e_cylinder_p1_v,ur5e,cylinder,B2,0,planner_feasible,3.7898947710054927,27.400657589998445,31.190551876992686,85,User_Requested_Stop,0.03530549399564786,,8,,,,,1.7008755480055697,verified_initial_path,24.525237233352428,1.0,8.35926646599546,nonlinear_validated_iterate,24.480337009958884,0.9981692236871624,21.207139334001113,nonlinear_validated_iterate,23.223817575536767,0.9469354915741313,0.0007587658365597605
ur5e_cylinder_p1_v,ur5e,cylinder,B2,1,planner_feasible,3.7714593409909867,26.314510761003476,30.085969626990845,80,User_Requested_Stop,0.003369327504697539,,8,,,,,1.7298593659943435,verified_initial_path,24.525237233352428,1.0,8.350084198988043,nonlinear_validated_iterate,24.480337009958884,0.9981692236871624,21.29366400699655,nonlinear_validated_iterate,23.223817575536767,0.9469354915741313,0.0007587658365597605
ur5e_cylinder_p1_v,ur5e,cylinder,B2,2,planner_feasible,3.76528789200529,27.41117312600545,31.1764605470089,85,User_Requested_Stop,0.03530549399564786,,8,,,,,1.7251287960098125,verified_initial_path,24.525237233352428,1.0,8.300727239009575,nonlinear_validated_iterate,24.480337009958884,0.9981692236871624,21.213345702009974,nonlinear_validated_iterate,23.223817575536767,0.9469354915741313,0.0007587658365597605
