input_id,robot,method,source_methods,source_trajectories,accepted_fraction,within_20ms_fraction,latency_ms_mean,evaluations_mean,iterations_mean,statuses
38a05d1395bf5c619495c550deeb27ab986b2f0ac6adb5ae722cd2a37e61e49e,panda,task_excess_lbfgsb,"[""single_gn_osqp""]","[""617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f""]",0.0,0.0,6.502961666666667,37.0,,"{""optimizer_stop"":3}"
38a05d1395bf5c619495c550deeb27ab986b2f0ac6adb5ae722cd2a37e61e49e,panda,task_excess_isotropic,"[""single_gn_osqp""]","[""617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f""]",1.0,1.0,1.7778973333333332,10.0,3.0,"{""task_admissible"":3}"
38a05d1395bf5c619495c550deeb27ab986b2f0ac6adb5ae722cd2a37e61e49e,panda,point_loop_control,"[""single_gn_osqp""]","[""617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f""]",0.0,0.0,12.309740333333334,89.0,17.0,"{""stationary"":3}"
39c75753efb5d6819f9e2fa625acc562639c1984188f4add89936eef1680ed81,panda,single_gn_k0,"[""single_gn_osqp""]","[""6292d6a262da269233959d5b381d94998db141290bc3e30dd2208b51a11c8100""]",0.0,0.0,4.143047,106.0,18.0,"{""stationary"":3}"
39c75753efb5d6819f9e2fa625acc562639c1984188f4add89936eef1680ed81,panda,single_gn_k1,"[""single_gn_osqp""]","[""6292d6a262da269233959d5b381d94998db141290bc3e30dd2208b51a11c8100""]",0.0,0.0,4.050969,104.0,17.0,"{""stationary"":3}"
39c75753efb5d6819f9e2fa625acc562639c1984188f4add89936eef1680ed81,panda,task_excess_gn,"[""single_gn_osqp""]","[""6292d6a262da269233959d5b381d94998db141290bc3e30dd2208b51a11c8100""]",1.0,1.0,1.8624446666666667,10.0,5.0,"{""task_admissible"":3}"
39c75753efb5d6819f9e2fa625acc562639c1984188f4add89936eef1680ed81,panda,task_excess_lbfgsb,"[""single_gn_osqp""]","[""6292d6a262da269233959d5b381d94998db141290bc3e30dd2208b51a11c8100""]",1.0,1.0,3.4633733333333336,19.0,,"{""task_admissible"":3}"
39c75753efb5d6819f9e2fa625acc562639c1984188f4add89936eef1680ed81,panda,task_excess_isotropic,"[""single_gn_osqp""]","[""6292d6a262da269233959d5b381d94998db141290bc3e30dd2208b51a11c8100""]",1.0,1.0,1.2128463333333332,7.0,2.0,"{""task_admissible"":3}"
39c75753efb5d6819f9e2fa625acc562639c1984188f4add89936eef1680ed81,panda,point_loop_control,"[""single_gn_osqp""]","[""6292d6a262da269233959d5b381d94998db141290bc3e30dd2208b51a11c8100""]",0.0,0.0,12.737668,92.0,18.0,"{""stationary"":3}"
3cb5ae5e3ed83e96de6ea7b6a86708da3bcaaf99454050465495c03aa329b03d,panda,single_gn_k0,"[""single_gn_osqp""]","[""617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f""]",0.0,0.0,3.8220246666666666,100.0,15.0,"{""stationary"":3}"
3cb5ae5e3ed83e96de6ea7b6a86708da3bcaaf99454050465495c03aa329b03d,panda,single_gn_k1,"[""single_gn_osqp""]","[""617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f""]",0.0,0.0,3.9846113333333335,106.0,14.0,"{""no_descent"":3}"
3cb5ae5e3ed83e96de6ea7b6a86708da3bcaaf99454050465495c03aa329b03d,panda,task_excess_gn,"[""single_gn_osqp""]","[""617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f""]",1.0,1.0,2.9615693333333333,17.0,7.0,"{""task_admissible"":3}"
3cb5ae5e3ed83e96de6ea7b6a86708da3bcaaf99454050465495c03aa329b03d,panda,task_excess_lbfgsb,"[""single_gn_osqp""]","[""617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f""]",0.0,0.0,6.533941,37.0,,"{""optimizer_stop"":3}"
3cb5ae5e3ed83e96de6ea7b6a86708da3bcaaf99454050465495c03aa329b03d,panda,task_excess_isotropic,"[""single_gn_osqp""]","[""617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f""]",1.0,1.0,1.7632386666666668,10.0,3.0,"{""task_admissible"":3}"
3cb5ae5e3ed83e96de6ea7b6a86708da3bcaaf99454050465495c03aa329b03d,panda,point_loop_control,"[""single_gn_osqp""]","[""617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f""]",0.0,0.0,15.382552333333335,112.0,19.0,"{""stationary"":3}"
4481318d5ddc42ad85a73ca7db0930f598865b9f9facc5c5befea12352f1e43b,panda,single_gn_k0,"[""single_gn_k1""]","[""4f1940d91117f91ea27fc47a289476bf2361c47cbbb34e21aa92e2a9bf8c25da""]",0.0,0.0,3.8461543333333337,100.0,15.0,"{""stationary"":3}"
