input_id,robot,point_failure_fraction,task_excess_accept_fraction,stable_recovery,point_endpoint_near_stationary_raw_1e_5,near_stationary_with_independent_legal_command,categories,maximum_projected_gradient_inf,maximum_projected_gradient_scaled,endpoint_active_constraints
5be03d09d1d94309b2e2bcdbd947cd30c346ebece6c2b58ab606780cb72ba53a,panda,1.0,1.0,True,True,True,"[""orientation_fail""]",3.6664202833769366e-06,2.78189254169743e-06,"[{""joint"":2,""side"":""upper"",""kind"":""frame_displacement"",""gradient"":-0.19820665246132352},{""joint"":6,""side"":""lower"",""kind"":""frame_displacement"",""gradient"":0.31795898958045066}]"
5c20cedcb0e226c817c20c7973b792c6237dae669f8f72560feb8931f1a58fdd,panda,1.0,0.0,False,True,False,"[""both_fail""]",1.4265288315051805e-06,1.0270519300796592e-06,"[{""joint"":0,""side"":""lower"",""kind"":""frame_displacement"",""gradient"":0.3058931666580975},{""joint"":6,""side"":""lower"",""kind"":""frame_displacement"",""gradient"":0.3889549201222351}]"
5c958deb3dc1f5919302388d58c9a5d961bec7d2f0bb8d7685e59c6d95b72459,panda,1.0,0.0,False,True,False,"[""both_fail""]",1.9603329332040786e-06,8.504862217982403e-07,"[{""joint"":2,""side"":""lower"",""kind"":""frame_displacement"",""gradient"":0.22249578837931683},{""joint"":5,""side"":""lower"",""kind"":""frame_displacement"",""gradient"":1.3049555453811053}]"
627e5c96e87407119a14e91c76336465ed5c018ce852ee1b241cf08a79550502,ur5e,1.0,1.0,True,True,True,"[""position_fail""]",1.7007841259797374e-06,1.4990286013982857e-06,"[{""joint"":5,""side"":""upper"",""kind"":""frame_displacement"",""gradient"":-0.13459084395938475}]"
6a7217fc67b9b7666d71bab36d05ac04297bba7ad75a01c4adcae0a4a9b88de5,ur5e,1.0,0.0,False,True,False,"[""position_fail""]",1.7461903452087313e-06,4.2282220956900734e-07,"[{""joint"":0,""side"":""upper"",""kind"":""frame_displacement"",""gradient"":-3.1298453716247883}]"
6b6aaf1e1768445f8c978d98191ac18f2fdd9339e124c9caf1411cec09edf352,ur5e,1.0,0.0,False,True,False,"[""position_fail""]",1.746190513962631e-06,4.2282225042709607e-07,"[{""joint"":0,""side"":""upper"",""kind"":""frame_displacement"",""gradient"":-3.1298453716633654}]"
6bbddc027841533c944d5fccacaa71c6ae80d2814987226ff64e72d169d46a50,panda,1.0,0.0,False,True,False,"[""both_fail""]",7.690226986323268e-07,2.0363306557085267e-07,"[{""joint"":1,""side"":""upper"",""kind"":""frame_displacement"",""gradient"":-2.776511916060856},{""joint"":2,""side"":""lower"",""kind"":""frame_displacement"",""gradient"":0.6254212373087826}]"
777cecb834c2d2a97ee11f30726a9c1a3bfdbf129e98653491a9be48b524a07f,panda,1.0,0.0,False,True,False,"[""position_fail""]",3.7925206353151e-07,1.1585877296471164e-07,"[{""joint"":2,""side"":""upper"",""kind"":""physical"",""gradient"":-0.21269563908122835},{""joint"":4,""side"":""lower"",""kind"":""physical"",""gradient"":2.2733996211665635}]"
7ade05b4a35b609b65f62a72b9938ae9cfaaadc9380544f3dc0319f559c13519,panda,1.0,1.0,True,False,False,"[""position_fail""]",0.721990096348343,0.1316185473806402,"[{""joint"":0,""side"":""lower"",""kind"":""frame_displacement"",""gradient"":4.485473823536065}]"
7e954bb8a4f7b108c34380f1fc198c04883f2e3b2216de70ca4aae281e3842d4,panda,1.0,1.0,True,True,True,"[""orientation_fail""]",4.2984070613982794e-07,7.148052674428516e-08,"[{""joint"":0,""side"":""upper"",""kind"":""frame_displacement"",""gradient"":-0.0015723819380957238},{""joint"":6,""side"":""upper"",""kind"":""physical"",""gradient"":-5.013395895605842}]"
83087a7c16bc37c3c61ae735e33ac0bd25ea0555435bd0734c25156637b53d14,panda,1.0,0.0,False,True,False,"[""position_fail""]",1.9240660760200257e-06,5.684651144033627e-07,"[{""joint"":2,""side"":""lower"",""kind"":""frame_displacement"",""gradient"":0.26776881267288566},{""joint"":4,""side"":""upper"",""kind"":""frame_displacement"",""gradient"":-2.3846686934156813}]"
8cf5b09c2aa354206fc25bce07f8ae45d95624abf37fb6bc2c6205e2350c43bd,panda,1.0,1.0,True,False,False,"[""position_fail""]",0.3020495059827737,0.05803209780934997,"[{""joint"":0,""side"":""lower"",""kind"":""frame_displacement"",""gradient"":4.204869673591368}]"
